symbol_family,passive_inner_awareness_state,count,wait_count,trade_count,withheld_best_trade_count,tp_count,sl_count,reward_sum,avg_reward,avg_best_reward,actions,best_actions,runs,debug_roots,debug_root_count,passive_only,influences_action
dio_15ms,inner_overcautious_carrying_pressure,4,4,0,4,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe13_with_world|debug\dio_mini_inner_awareness_trace_probe15_with_world,2,True,False
dio_173s,inner_context_dependent_withholding,4,4,0,4,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe14_with_world|debug\dio_mini_inner_awareness_trace_probe15_with_world,2,True,False
dio_199c,inner_overcautious_carrying_pressure,4,4,0,4,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe13_with_world|debug\dio_mini_inner_awareness_trace_probe15_with_world,2,True,False
dio_1g18,inner_cautious_potential,4,4,0,4,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe13_with_world|debug\dio_mini_inner_awareness_trace_probe15_with_world,2,True,False
dio_1gxl,inner_overcautious_carrying_pressure,4,4,0,4,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe14_with_world|debug\dio_mini_inner_awareness_trace_probe15_with_world,2,True,False
dio_1pfo,inner_overcautious_carrying_pressure,4,4,0,4,0,0,0.0,0.0,0.061002,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe14_with_world|debug\dio_mini_inner_awareness_trace_probe15_with_world,2,True,False
dio_1w4m,inner_cautious_potential,4,4,0,4,0,0,0.0,0.0,0.745399,WAIT,LONG|SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe16_with_world,1,True,False
dio_1wie,inner_overcautious_carrying_pressure,4,4,0,4,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe13_with_world|debug\dio_mini_inner_awareness_trace_probe14_with_world,2,True,False
dio_00qb,unloaded,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe18_with_world,1,True,False
dio_02qu,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe18_with_world,1,True,False
dio_040y,unloaded,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe17_with_world,1,True,False
dio_04z7,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe17_with_world,1,True,False
dio_04zi,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe16_with_world,1,True,False
dio_05s4,inner_overcautious_carrying_pressure,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe13_with_world,1,True,False
dio_06bd,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe16_with_world,1,True,False
dio_0989,inner_overcautious_carrying_pressure,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe14_with_world,1,True,False
dio_0arw,unloaded,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe18_with_world,1,True,False
dio_0avw,inner_overcautious_carrying_pressure,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe13_with_world,1,True,False
dio_0b66,inner_overcautious_carrying_pressure,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe14_with_world,1,True,False
dio_0be3,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe14_with_world,1,True,False
dio_0ems,inner_action_trust_seed,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe18_with_world,1,True,False
dio_0fa9,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe16_with_world,1,True,False
dio_0fiy,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe18_with_world,1,True,False
dio_0fzl,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe17_with_world,1,True,False
dio_0g0p,inner_overcautious_carrying_pressure,2,2,0,2,0,0,0.0,0.0,0.167866,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe12_with_world,1,True,False
dio_0gtz,inner_overcautious_carrying_pressure,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe12_with_world,1,True,False
dio_0igh,unloaded,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe18_with_world,1,True,False
dio_0jco,inner_overcautious_carrying_pressure,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe13_with_world,1,True,False
dio_0n45,inner_overcautious_carrying_pressure,2,2,0,2,0,0,0.0,0.0,0.242291,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe14_with_world,1,True,False
dio_0n9e,inner_action_trust_seed,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe17_with_world,1,True,False
dio_0ofo,unloaded,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe17_with_world,1,True,False
dio_0ojr,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe16_with_world,1,True,False
dio_0ps1,unloaded,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe17_with_world,1,True,False
dio_0rb2,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe16_with_world,1,True,False
dio_0t0v,unloaded,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe18_with_world,1,True,False
dio_0u8u,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe12_with_world,1,True,False
dio_0ufv,inner_overcautious_carrying_pressure,2,2,0,2,0,0,0.0,0.0,0.36855,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe12_with_world,1,True,False
dio_0vc8,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,0.438144,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe16_with_world,1,True,False
dio_0x1o,unloaded,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe18_with_world,1,True,False
dio_0xpt,inner_overcautious_carrying_pressure,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe14_with_world,1,True,False
dio_0y8w,inner_overcautious_carrying_pressure,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe12_with_world,1,True,False
dio_10dk,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe17_with_world,1,True,False
dio_10kx,inner_open_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe16_with_world,1,True,False
dio_1361,inner_overcautious_carrying_pressure,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe12_with_world,1,True,False
dio_13u8,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe17_with_world,1,True,False
dio_13zu,inner_overcautious_carrying_pressure,2,2,0,2,0,0,0.0,0.0,0.023364,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe13_with_world,1,True,False
dio_14eb,inner_overcautious_carrying_pressure,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe12_with_world,1,True,False
dio_14i8,inner_overcautious_carrying_pressure,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe12_with_world,1,True,False
dio_16yc,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe18_with_world,1,True,False
dio_1ayy,inner_overcautious_carrying_pressure,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe12_with_world,1,True,False
dio_1c6b,inner_open_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe17_with_world,1,True,False
dio_1d1z,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe17_with_world,1,True,False
dio_1d3r,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe17_with_world,1,True,False
dio_1d8w,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe12_with_world,1,True,False
dio_1f4v,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe16_with_world,1,True,False
dio_1f9y,inner_open_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe17_with_world,1,True,False
dio_1g2t,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe18_with_world,1,True,False
dio_1g7l,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe16_with_world,1,True,False
dio_1icz,unloaded,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe18_with_world,1,True,False
dio_1jn5,inner_overcautious_carrying_pressure,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe12_with_world,1,True,False
dio_1jo7,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,0.541401,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe16_with_world,1,True,False
dio_1k0r,inner_open_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe16_with_world,1,True,False
dio_1k7y,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe17_with_world,1,True,False
dio_1k8m,inner_overcautious_carrying_pressure,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe13_with_world,1,True,False
dio_1mpo,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe12_with_world,1,True,False
dio_1mx2,inner_overcautious_carrying_pressure,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe15_with_world,1,True,False
dio_1mym,unloaded,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe17_with_world,1,True,False
dio_1q9b,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe16_with_world,1,True,False
dio_1qig,inner_open_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe16_with_world,1,True,False
dio_1qwp,inner_open_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe18_with_world,1,True,False
dio_1rv1,inner_overcautious_carrying_pressure,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe14_with_world,1,True,False
dio_1t1w,inner_overcautious_carrying_pressure,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe14_with_world,1,True,False
dio_1t73,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe16_with_world,1,True,False
dio_1txv,inner_open_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe18_with_world,1,True,False
dio_1uv4,inner_cautious_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe13_with_world,1,True,False
dio_1vjg,inner_open_potential,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,LONG,1|2,debug\dio_mini_inner_awareness_trace_probe16_with_world,1,True,False
dio_1vpi,inner_action_trust_seed,2,2,0,2,0,0,0.0,0.0,1.0,WAIT,SHORT,1|2,debug\dio_mini_inner_awareness_trace_probe18_with_world,1,True,False
