phase,phase_run,global_run,data_path,candles,episodes,trades,long_trades,short_trades,waits,total_reward,avg_reward,unique_symbols,avg_trade_readiness,max_trade_readiness,avg_associative_trade,max_associative_trade,avg_maturity_gap,max_maturity_gap,avg_mature_transfer,max_mature_transfer,avg_observation_trade_signal,max_observation_trade_signal,avg_observation_trade_readiness,max_observation_trade_readiness,observation_learning_events,avg_observation_learning_pressure,max_observation_learning_pressure,top_long_family,top_long_trust,top_short_family,top_short_trust
rauschen,2,12,data\kontrolliert_rauschen_2episoden_5m_SOLUSDT.csv,22,16,0,0,0,16,0.0,0.0,16,0.01063,0.020653,0.047374,0.068578,0.036743,0.051581,0.01063,0.020653,0.002836,0.010582,0.000312,0.001164,16,0.040464,0.056239,dio_0byw,0.9791495515170688,dio_0n4c,0.47447156587200845
rauschen,3,13,data\kontrolliert_rauschen_2episoden_5m_SOLUSDT.csv,22,9,2,1,1,7,3.084839,0.34276,9,0.02332,0.062886,0.050343,0.07276,0.027584,0.049264,0.022759,0.062886,0.003497,0.015763,0.000385,0.001734,7,0.038617,0.053398,dio_0byw,0.9791495515170688,dio_0n4c,0.47447156587200845
rauschen,4,14,data\kontrolliert_rauschen_2episoden_5m_SOLUSDT.csv,22,8,2,1,1,6,2.455283,0.30691,8,0.04979,0.22656,0.056252,0.077333,0.026244,0.044156,0.030009,0.077333,0.003628,0.015763,0.000399,0.001734,6,0.041096,0.051367,dio_0byw,0.9791495515170688,dio_1r0h,0.5288318784500498
sensorische_varianz,1,15,data\kontrolliert_sensorische_varianz_2episoden_5m_SOLUSDT.csv,22,16,0,0,0,16,0.0,0.0,16,0.003426,0.005727,0.048937,0.08182,0.045512,0.076093,0.003426,0.005727,0.0,0.0,0.0,0.0,15,0.046487,0.078097,dio_0byw,0.9791495515170688,dio_1r0h,0.5288318784500498
sensorische_varianz,2,16,data\kontrolliert_sensorische_varianz_2episoden_5m_SOLUSDT.csv,22,16,0,0,0,16,0.0,0.0,16,0.011729,0.019185,0.042747,0.061216,0.031017,0.047633,0.011729,0.019185,0.002429,0.004751,0.000267,0.000523,15,0.034205,0.051534,dio_0byw,0.9791495515170688,dio_1r0h,0.5288318784500498
sensorische_varianz,3,17,data\kontrolliert_sensorische_varianz_2episoden_5m_SOLUSDT.csv,22,8,2,1,1,6,2.907659,0.363457,8,0.027314,0.0674,0.046077,0.063857,0.022964,0.049187,0.023114,0.043827,0.003167,0.007886,0.000348,0.000867,5,0.029861,0.039798,dio_0byw,0.9791495515170688,dio_1r0h,0.5288318784500498
sensorische_varianz,4,18,data\kontrolliert_sensorische_varianz_2episoden_5m_SOLUSDT.csv,22,8,2,1,1,6,1.878202,0.234775,8,0.042194,0.151756,0.050519,0.066706,0.020741,0.0518,0.029778,0.066706,0.002945,0.007886,0.000324,0.000867,5,0.031008,0.050019,dio_0byw,0.9791495515170688,dio_1r0h,0.5288318784500498
sensorischer_drift,1,19,data\kontrolliert_sensorischer_drift_2episoden_5m_SOLUSDT.csv,22,8,2,1,1,6,2.750752,0.343844,8,0.124855,0.926537,0.047259,0.07225,0.030534,0.045059,0.016725,0.07225,0.000812,0.006236,8.9e-05,0.000686,5,0.041187,0.046246,dio_0byw,0.9963378450739097,dio_1r0h,0.5288318784500498
sensorischer_drift,2,20,data\kontrolliert_sensorischer_drift_2episoden_5m_SOLUSDT.csv,22,8,2,1,1,6,2.750752,0.343844,8,0.153568,0.933243,0.044995,0.06737,0.021334,0.038528,0.023661,0.06737,0.002743,0.006236,0.000302,0.000686,5,0.031735,0.03911,dio_0byw,1.0,dio_1r0h,0.5288318784500498
sensorischer_drift,3,21,data\kontrolliert_sensorischer_drift_2episoden_5m_SOLUSDT.csv,22,8,2,1,1,6,2.480921,0.310115,8,0.132344,0.934755,0.0495,0.067521,0.026533,0.046377,0.022967,0.067521,0.001469,0.005104,0.000162,0.000561,4,0.037493,0.046279,dio_0byw,1.0,dio_1r0h,0.5288318784500498
sensorischer_drift,4,22,data\kontrolliert_sensorischer_drift_2episoden_5m_SOLUSDT.csv,22,8,2,1,1,6,2.002973,0.250372,8,0.134225,0.934534,0.048099,0.06436,0.025364,0.044537,0.022735,0.06436,0.00135,0.005167,0.000148,0.000568,4,0.03588,0.04571,dio_0byw,1.0,dio_1r0h,0.5288318784500498
