family,action_transition_class,dio_trace_code,trace_strength,phases,phase_count,reward_sum,executed_rows,observed_rows,direct_positive_action,observation_to_positive_action,held_observation,human_hint,trace_line
dio_14mj,matured_action_pattern,dio_trace_reif_handlung,1.0,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",3,7.185447,9,3,2,1,0,gesehen -> beobachtet -> gehandelt -> bestaetigt,"dio_14mj | dio_trace_reif_handlung | strength=1.000000 | phases=sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat | reward=7.185447 | gesehen -> beobachtet -> gehandelt -> bestaetigt"
dio_060l,local_observation_to_action,dio_trace_lokal_reift,0.443475,sensor_relation_probe2,1,1.190707,1,3,0,1,0,lokal beobachtet und spaeter gehandelt,dio_060l | dio_trace_lokal_reift | strength=0.443475 | phases=sensor_relation_probe2 | reward=1.190707 | lokal beobachtet und spaeter gehandelt
dio_0thk,local_observation_to_action,dio_trace_lokal_reift,0.439039,sensor_relation_probe3,1,1.156708,1,3,0,1,0,lokal beobachtet und spaeter gehandelt,dio_0thk | dio_trace_lokal_reift | strength=0.439039 | phases=sensor_relation_probe3 | reward=1.156708 | lokal beobachtet und spaeter gehandelt
dio_0wv3,local_observation_to_action,dio_trace_lokal_reift,0.412768,sensor_relation_probe6_variation,1,0.947695,1,3,0,1,0,lokal beobachtet und spaeter gehandelt,dio_0wv3 | dio_trace_lokal_reift | strength=0.412768 | phases=sensor_relation_probe6_variation | reward=0.947695 | lokal beobachtet und spaeter gehandelt
dio_0nm2,local_observation_to_action,dio_trace_lokal_reift,0.411697,sensor_relation_probe4,1,1.024116,1,3,0,1,0,lokal beobachtet und spaeter gehandelt,dio_0nm2 | dio_trace_lokal_reift | strength=0.411697 | phases=sensor_relation_probe4 | reward=1.024116 | lokal beobachtet und spaeter gehandelt
dio_1sxo,local_observation_to_action,dio_trace_lokal_reift,0.385548,order_shift_varianz,1,0.993834,1,1,0,1,0,lokal beobachtet und spaeter gehandelt,dio_1sxo | dio_trace_lokal_reift | strength=0.385548 | phases=order_shift_varianz | reward=0.993834 | lokal beobachtet und spaeter gehandelt
dio_1ax9,local_observation_to_action,dio_trace_lokal_reift,0.377274,sensor_relation_probe2,1,1.237693,1,2,0,1,0,lokal beobachtet und spaeter gehandelt,dio_1ax9 | dio_trace_lokal_reift | strength=0.377274 | phases=sensor_relation_probe2 | reward=1.237693 | lokal beobachtet und spaeter gehandelt
dio_07wx,local_observation_to_action,dio_trace_lokal_reift,0.357821,sensor_relation_probe6_variation,1,0.758933,1,3,0,1,0,lokal beobachtet und spaeter gehandelt,dio_07wx | dio_trace_lokal_reift | strength=0.357821 | phases=sensor_relation_probe6_variation | reward=0.758933 | lokal beobachtet und spaeter gehandelt
dio_1tik,direct_mature_pattern,dio_trace_direkt_reif,1.0,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",3,3.63996,8,4,2,0,1,"wiederkehrend gehandelt, ohne lokale Uebergangsphase","dio_1tik | dio_trace_direkt_reif | strength=1.000000 | phases=sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat | reward=3.639960 | wiederkehrend gehandelt, ohne lokale Uebergangsphase"
dio_1alf,direct_mature_pattern,dio_trace_direkt_reif,0.799729,"sensor_relation_probe4,sensor_relation_probe4_repeat",2,2.107256,4,4,1,0,1,"wiederkehrend gehandelt, ohne lokale Uebergangsphase","dio_1alf | dio_trace_direkt_reif | strength=0.799729 | phases=sensor_relation_probe4,sensor_relation_probe4_repeat | reward=2.107256 | wiederkehrend gehandelt, ohne lokale Uebergangsphase"
dio_18jg,direct_mature_pattern,dio_trace_direkt_reif,0.731871,"sensor_relation_probe5,sensor_relation_probe5_repeat",2,1.753144,4,4,1,0,1,"wiederkehrend gehandelt, ohne lokale Uebergangsphase","dio_18jg | dio_trace_direkt_reif | strength=0.731871 | phases=sensor_relation_probe5,sensor_relation_probe5_repeat | reward=1.753144 | wiederkehrend gehandelt, ohne lokale Uebergangsphase"
dio_01yf,direct_mature_pattern,dio_trace_direkt_reif,0.620412,"order_shift,sensor_relation_probe3",2,1.876634,2,2,1,0,1,"wiederkehrend gehandelt, ohne lokale Uebergangsphase","dio_01yf | dio_trace_direkt_reif | strength=0.620412 | phases=order_shift,sensor_relation_probe3 | reward=1.876634 | wiederkehrend gehandelt, ohne lokale Uebergangsphase"
dio_1k0r,local_direct_action,dio_trace_lokal_direkt,1.0,sensor_relation_probe3,1,4.7844,3,0,1,0,0,lokal direkt gehandelt,dio_1k0r | dio_trace_lokal_direkt | strength=1.000000 | phases=sensor_relation_probe3 | reward=4.784400 | lokal direkt gehandelt
dio_0v36,local_direct_action,dio_trace_lokal_direkt,0.849369,sensor_relation_probe4,1,3.423192,3,0,1,0,0,lokal direkt gehandelt,dio_0v36 | dio_trace_lokal_direkt | strength=0.849369 | phases=sensor_relation_probe4 | reward=3.423192 | lokal direkt gehandelt
dio_1kqv,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.771058,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",5,0.0,0,20,0,0,5,"gesehen, aber nicht gehandelt","dio_1kqv | dio_trace_gehaltene_beobachtung | strength=0.771058 | phases=sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_1nlc,local_direct_action,dio_trace_lokal_direkt,0.735685,sensor_relation_probe6_variation,1,2.666613,3,0,1,0,0,lokal direkt gehandelt,dio_1nlc | dio_trace_lokal_direkt | strength=0.735685 | phases=sensor_relation_probe6_variation | reward=2.666613 | lokal direkt gehandelt
dio_0xgj,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.723561,"sensor_relation_probe5_repeat,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",3,0.0,0,12,0,0,3,"gesehen, aber nicht gehandelt","dio_0xgj | dio_trace_gehaltene_beobachtung | strength=0.723561 | phases=sensor_relation_probe5_repeat,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_0kpn,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.684875,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat,sensor_relation_probe6_variation",4,0.0,0,13,0,0,4,"gesehen, aber nicht gehandelt","dio_0kpn | dio_trace_gehaltene_beobachtung | strength=0.684875 | phases=sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat,sensor_relation_probe6_variation | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_0f4h,local_direct_action,dio_trace_lokal_direkt,0.588703,order_shift,1,2.0,1,0,1,0,0,lokal direkt gehandelt,dio_0f4h | dio_trace_lokal_direkt | strength=0.588703 | phases=order_shift | reward=2.000000 | lokal direkt gehandelt
dio_01nr,observation_maturing_pattern,dio_trace_reif_beobachtung,0.539138,"sensor_relation_probe2,sensor_relation_probe6_variation",2,1.340779,1,3,0,1,1,wiederkehrend beobachtet und handlungsnah,"dio_01nr | dio_trace_reif_beobachtung | strength=0.539138 | phases=sensor_relation_probe2,sensor_relation_probe6_variation | reward=1.340779 | wiederkehrend beobachtet und handlungsnah"
dio_0v15,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.446224,"sensor_relation_probe4,sensor_relation_probe4_repeat",2,0.0,0,8,0,0,2,"gesehen, aber nicht gehandelt","dio_0v15 | dio_trace_gehaltene_beobachtung | strength=0.446224 | phases=sensor_relation_probe4,sensor_relation_probe4_repeat | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_1y2t,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.420842,"sensor_relation_probe4,sensor_relation_probe4_repeat",2,0.0,0,8,0,0,2,"gesehen, aber nicht gehandelt","dio_1y2t | dio_trace_gehaltene_beobachtung | strength=0.420842 | phases=sensor_relation_probe4,sensor_relation_probe4_repeat | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_0e10,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.397462,"sensor_relation_probe5,sensor_relation_probe5_repeat",2,0.0,0,8,0,0,2,"gesehen, aber nicht gehandelt","dio_0e10 | dio_trace_gehaltene_beobachtung | strength=0.397462 | phases=sensor_relation_probe5,sensor_relation_probe5_repeat | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_0rps,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.31364,"sensor_relation_probe4,sensor_relation_probe4_repeat",2,0.0,0,8,0,0,2,"gesehen, aber nicht gehandelt","dio_0rps | dio_trace_gehaltene_beobachtung | strength=0.313640 | phases=sensor_relation_probe4,sensor_relation_probe4_repeat | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_185j,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.278072,"order_shift,sensor_relation_probe3",2,0.0,0,6,0,0,2,"gesehen, aber nicht gehandelt","dio_185j | dio_trace_gehaltene_beobachtung | strength=0.278072 | phases=order_shift,sensor_relation_probe3 | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_00eh,burdened_action_pattern,dio_trace_belastet,0.25427,order_shift,1,-0.431148,1,1,0,0,0,Handlung erzeugte Belastung,dio_00eh | dio_trace_belastet | strength=0.254270 | phases=order_shift | reward=-0.431148 | Handlung erzeugte Belastung
dio_1ytj,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.20524,order_shift_varianz,1,0.0,0,4,0,0,1,"gesehen, aber nicht gehandelt","dio_1ytj | dio_trace_gehaltene_beobachtung | strength=0.205240 | phases=order_shift_varianz | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_1hkr,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.187951,order_shift_varianz,1,0.0,0,4,0,0,1,"gesehen, aber nicht gehandelt","dio_1hkr | dio_trace_gehaltene_beobachtung | strength=0.187951 | phases=order_shift_varianz | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_03fl,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.163968,order_shift_varianz,1,0.0,0,4,0,0,1,"gesehen, aber nicht gehandelt","dio_03fl | dio_trace_gehaltene_beobachtung | strength=0.163968 | phases=order_shift_varianz | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_0wgd,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.160972,sensor_relation_probe6_variation,1,0.0,0,4,0,0,1,"gesehen, aber nicht gehandelt","dio_0wgd | dio_trace_gehaltene_beobachtung | strength=0.160972 | phases=sensor_relation_probe6_variation | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_1wwt,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.160844,order_shift,1,0.0,0,4,0,0,1,"gesehen, aber nicht gehandelt","dio_1wwt | dio_trace_gehaltene_beobachtung | strength=0.160844 | phases=order_shift | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_15r2,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.153562,sensor_relation_probe2,1,0.0,0,3,0,0,1,"gesehen, aber nicht gehandelt","dio_15r2 | dio_trace_gehaltene_beobachtung | strength=0.153562 | phases=sensor_relation_probe2 | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_1og7,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.152412,sensor_relation_probe4,1,0.0,0,3,0,0,1,"gesehen, aber nicht gehandelt","dio_1og7 | dio_trace_gehaltene_beobachtung | strength=0.152412 | phases=sensor_relation_probe4 | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_0oqk,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.151816,sensor_relation_probe2,1,0.0,0,4,0,0,1,"gesehen, aber nicht gehandelt","dio_0oqk | dio_trace_gehaltene_beobachtung | strength=0.151816 | phases=sensor_relation_probe2 | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_1on4,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.146918,sensor_relation_probe2,1,0.0,0,4,0,0,1,"gesehen, aber nicht gehandelt","dio_1on4 | dio_trace_gehaltene_beobachtung | strength=0.146918 | phases=sensor_relation_probe2 | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_0hiu,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.146754,sensor_relation_probe4,1,0.0,0,3,0,0,1,"gesehen, aber nicht gehandelt","dio_0hiu | dio_trace_gehaltene_beobachtung | strength=0.146754 | phases=sensor_relation_probe4 | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_1iwb,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.145274,sensor_relation_probe2,1,0.0,0,4,0,0,1,"gesehen, aber nicht gehandelt","dio_1iwb | dio_trace_gehaltene_beobachtung | strength=0.145274 | phases=sensor_relation_probe2 | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_1k0x,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.142714,sensor_relation_probe6_variation,1,0.0,0,3,0,0,1,"gesehen, aber nicht gehandelt","dio_1k0x | dio_trace_gehaltene_beobachtung | strength=0.142714 | phases=sensor_relation_probe6_variation | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_08wa,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.141904,order_shift,1,0.0,0,4,0,0,1,"gesehen, aber nicht gehandelt","dio_08wa | dio_trace_gehaltene_beobachtung | strength=0.141904 | phases=order_shift | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_1bkh,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.138896,sensor_relation_probe6_variation,1,0.0,0,3,0,0,1,"gesehen, aber nicht gehandelt","dio_1bkh | dio_trace_gehaltene_beobachtung | strength=0.138896 | phases=sensor_relation_probe6_variation | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_09dp,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.138144,sensor_relation_probe5,1,0.0,0,3,0,0,1,"gesehen, aber nicht gehandelt","dio_09dp | dio_trace_gehaltene_beobachtung | strength=0.138144 | phases=sensor_relation_probe5 | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_0p8l,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.136734,sensor_relation_probe5_variation,1,0.0,0,3,0,0,1,"gesehen, aber nicht gehandelt","dio_0p8l | dio_trace_gehaltene_beobachtung | strength=0.136734 | phases=sensor_relation_probe5_variation | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_0g8c,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.13651,sensor_relation_probe4,1,0.0,0,3,0,0,1,"gesehen, aber nicht gehandelt","dio_0g8c | dio_trace_gehaltene_beobachtung | strength=0.136510 | phases=sensor_relation_probe4 | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_017u,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.13593,sensor_relation_probe6_variation,1,0.0,0,3,0,0,1,"gesehen, aber nicht gehandelt","dio_017u | dio_trace_gehaltene_beobachtung | strength=0.135930 | phases=sensor_relation_probe6_variation | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_1hhw,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.134886,sensor_relation_probe4,1,0.0,0,3,0,0,1,"gesehen, aber nicht gehandelt","dio_1hhw | dio_trace_gehaltene_beobachtung | strength=0.134886 | phases=sensor_relation_probe4 | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_151h,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.13312,order_shift_varianz,1,0.0,0,4,0,0,1,"gesehen, aber nicht gehandelt","dio_151h | dio_trace_gehaltene_beobachtung | strength=0.133120 | phases=order_shift_varianz | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_1tsz,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.131186,sensor_relation_probe5,1,0.0,0,3,0,0,1,"gesehen, aber nicht gehandelt","dio_1tsz | dio_trace_gehaltene_beobachtung | strength=0.131186 | phases=sensor_relation_probe5 | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_1kfx,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.130944,sensor_relation_probe5_variation,1,0.0,0,3,0,0,1,"gesehen, aber nicht gehandelt","dio_1kfx | dio_trace_gehaltene_beobachtung | strength=0.130944 | phases=sensor_relation_probe5_variation | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_11wk,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.130524,sensor_relation_probe6_variation,1,0.0,0,4,0,0,1,"gesehen, aber nicht gehandelt","dio_11wk | dio_trace_gehaltene_beobachtung | strength=0.130524 | phases=sensor_relation_probe6_variation | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_066x,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.129108,order_shift_varianz,1,0.0,0,3,0,0,1,"gesehen, aber nicht gehandelt","dio_066x | dio_trace_gehaltene_beobachtung | strength=0.129108 | phases=order_shift_varianz | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_0iy2,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.125586,order_shift_varianz,1,0.0,0,3,0,0,1,"gesehen, aber nicht gehandelt","dio_0iy2 | dio_trace_gehaltene_beobachtung | strength=0.125586 | phases=order_shift_varianz | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_05x4,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.123654,sensor_relation_probe6_variation,1,0.0,0,2,0,0,1,"gesehen, aber nicht gehandelt","dio_05x4 | dio_trace_gehaltene_beobachtung | strength=0.123654 | phases=sensor_relation_probe6_variation | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_005q,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.123586,sensor_relation_probe6_variation,1,0.0,0,3,0,0,1,"gesehen, aber nicht gehandelt","dio_005q | dio_trace_gehaltene_beobachtung | strength=0.123586 | phases=sensor_relation_probe6_variation | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_16yf,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.123418,sensor_relation_probe5,1,0.0,0,2,0,0,1,"gesehen, aber nicht gehandelt","dio_16yf | dio_trace_gehaltene_beobachtung | strength=0.123418 | phases=sensor_relation_probe5 | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_0f9v,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.12337,sensor_relation_probe4,1,0.0,0,2,0,0,1,"gesehen, aber nicht gehandelt","dio_0f9v | dio_trace_gehaltene_beobachtung | strength=0.123370 | phases=sensor_relation_probe4 | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_1xfl,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.123242,sensor_relation_probe5,1,0.0,0,3,0,0,1,"gesehen, aber nicht gehandelt","dio_1xfl | dio_trace_gehaltene_beobachtung | strength=0.123242 | phases=sensor_relation_probe5 | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_0q8z,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.12285,order_shift_varianz,1,0.0,0,2,0,0,1,"gesehen, aber nicht gehandelt","dio_0q8z | dio_trace_gehaltene_beobachtung | strength=0.122850 | phases=order_shift_varianz | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_05pr,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.122172,sensor_relation_probe5_variation,1,0.0,0,3,0,0,1,"gesehen, aber nicht gehandelt","dio_05pr | dio_trace_gehaltene_beobachtung | strength=0.122172 | phases=sensor_relation_probe5_variation | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_026q,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.121902,sensor_relation_probe3,1,0.0,0,2,0,0,1,"gesehen, aber nicht gehandelt","dio_026q | dio_trace_gehaltene_beobachtung | strength=0.121902 | phases=sensor_relation_probe3 | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_0x50,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.121312,sensor_relation_probe3,1,0.0,0,2,0,0,1,"gesehen, aber nicht gehandelt","dio_0x50 | dio_trace_gehaltene_beobachtung | strength=0.121312 | phases=sensor_relation_probe3 | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_0hzw,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.121266,sensor_relation_probe4,1,0.0,0,2,0,0,1,"gesehen, aber nicht gehandelt","dio_0hzw | dio_trace_gehaltene_beobachtung | strength=0.121266 | phases=sensor_relation_probe4 | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_1nky,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.121158,sensor_relation_probe5,1,0.0,0,2,0,0,1,"gesehen, aber nicht gehandelt","dio_1nky | dio_trace_gehaltene_beobachtung | strength=0.121158 | phases=sensor_relation_probe5 | reward=0.000000 | gesehen, aber nicht gehandelt"
dio_18fu,held_observation_pattern,dio_trace_gehaltene_beobachtung,0.120864,sensor_relation_probe5,1,0.0,0,2,0,0,1,"gesehen, aber nicht gehandelt","dio_18fu | dio_trace_gehaltene_beobachtung | strength=0.120864 | phases=sensor_relation_probe5 | reward=0.000000 | gesehen, aber nicht gehandelt"
