family,classification,trace_notes,phases,phase_count,executed_runs,observed_runs,reward_sum,reward_per_executed_run,visual_mcm,tone_tension,bearing_neighbor_count,same_family_relation_count
dio_0f4h,positive_einzelspur,ausgefuehrt|positive_konsequenz|sensorische_nachbarn,order_shift,1,1,0,2.0,2.0,0.994056,0.939385,5,0
dio_1r0b,positive_einzelspur,ausgefuehrt|positive_konsequenz,shift,1,2,0,1.959404,0.979702,0.866835,0.603844,0,0
dio_1h5i,positive_einzelspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,order_shift,1,1,2,1.652416,1.652416,0.966362,0.976322,5,0
dio_0ga4,positive_einzelspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe,1,1,2,1.355456,1.355456,0.995353,0.925447,5,0
dio_15th,positive_einzelspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,order_shift_drift,1,1,2,1.296838,1.296838,0.962733,0.943116,5,0
dio_1tzc,positive_einzelspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,order_shift_resonanz,1,1,2,1.238489,1.238489,0.968545,0.794705,2,0
dio_1ax9,positive_einzelspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe2,1,1,2,1.237693,1.237693,0.944146,0.887864,7,0
dio_0cn1,positive_einzelspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,order_shift_resonanz,1,1,3,1.191733,1.191733,0.935847,0.617204,1,0
dio_060l,positive_einzelspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe2,1,1,3,1.190707,1.190707,0.971986,0.704945,3,0
dio_1sxo,positive_einzelspur,ausgefuehrt|beobachtet|positive_konsequenz,order_shift_varianz,1,1,1,0.993834,0.993834,0.801728,0.952709,0,0
dio_1erd,positive_einzelspur,ausgefuehrt|beobachtet|positive_konsequenz,sensor_relation_probe,1,1,3,0.979017,0.979017,0.85857,0.848864,0,0
dio_1e6y,positive_einzelspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,order_shift_drift,1,1,3,0.941453,0.941453,0.983794,0.873401,1,0
dio_17tf,positive_einzelspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe,1,1,3,0.745509,0.745509,0.984275,0.8626,5,0
dio_0qb3,positive_einzelspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,sensor_relation_probe2,1,1,3,0.576544,0.576544,0.975347,0.977726,5,0
dio_0odx,positive_einzelspur,ausgefuehrt|beobachtet|positive_konsequenz|sensorische_nachbarn,shift,1,2,2,0.520934,0.260467,0.911981,0.777749,2,0
dio_1mml,positive_einzelspur,ausgefuehrt|positive_konsequenz,shift,1,1,0,0.237245,0.237245,0.912398,0.578349,0,0
dio_03fl,beobachteter_nachhall,weltuebergreifend|beobachtet|nachhall_gehalten,"order_shift_varianz,sensor_relation_probe",2,0,5,0.0,0.0,0.897901,0.705407,0,0
dio_1ieq,beobachteter_nachhall,weltuebergreifend|beobachtet|nachhall_gehalten,"order_shift_drift,sensor_relation_probe",2,0,2,0.0,0.0,0.949071,0.795444,0,0
dio_08wa,stabile_beobachtung,beobachtet,order_shift,1,0,4,0.0,0.0,0.886663,0.597352,0,0
dio_1wwt,stabile_beobachtung,beobachtet,order_shift,1,0,4,0.0,0.0,0.967863,0.837527,0,0
dio_151h,stabile_beobachtung,beobachtet,order_shift_varianz,1,0,4,0.0,0.0,0.884571,0.606009,0,0
dio_0my4,stabile_beobachtung,beobachtet,order_shift_drift,1,0,4,0.0,0.0,0.925599,0.626393,0,0
