text_island_symbol,anchor_exchange_state,left_inner_state,right_inner_state,score_delta,family_stability,anchor_families,added_families,removed_families,left_maturity_state,right_maturity_state,left_score,right_score,left_families,right_families,dio_anchor_exchange_sentence,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_text_19slka4,anchor_thinning,inner_drift_watch_space,inner_drift_watch_space,0.0109816,0.5,dio_0x0x,,dio_0nwm,new_unconfirmed_text_island,new_unconfirmed_text_island,0.311784267,0.322765867,dio_0nwm|dio_0x0x,dio_0x0x,"dio_text_19slka4: anchor_thinning; anchor=dio_0x0x; added=-; removed=dio_0nwm; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_19tfip4,same_family_basis,inner_foreign_boundary_space,inner_foreign_boundary_space,0.0,1.0,dio_000f|dio_0lbg,,,new_unconfirmed_text_island,new_unconfirmed_text_island,0.333333333,0.333333333,dio_000f|dio_0lbg,dio_000f|dio_0lbg,"dio_text_19tfip4: same_family_basis; anchor=dio_000f|dio_0lbg; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_1a4tj06,new_text_island,absent,inner_unconfirmed_raw_space,0.213333333,0.0,,dio_1rl5|dio_1si6,,absent,new_unconfirmed_text_island,0.0,0.213333333,,dio_1rl5|dio_1si6,"dio_text_1a4tj06: new_text_island; anchor=-; added=dio_1rl5|dio_1si6; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_1a7yl1w,new_text_island,absent,inner_unconfirmed_raw_space,0.213333333,0.0,,dio_0ww2|dio_17y0,,absent,new_unconfirmed_text_island,0.0,0.213333333,,dio_0ww2|dio_17y0,"dio_text_1a7yl1w: new_text_island; anchor=-; added=dio_0ww2|dio_17y0; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_1a8y6fr,new_text_island,absent,inner_unconfirmed_raw_space,0.213333333,0.0,,dio_0pni|dio_12wo,,absent,new_unconfirmed_text_island,0.0,0.213333333,,dio_0pni|dio_12wo,"dio_text_1a8y6fr: new_text_island; anchor=-; added=dio_0pni|dio_12wo; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_1b1j4sj,same_family_basis,inner_foreign_boundary_space,inner_foreign_boundary_space,0.0,1.0,dio_0lhb|dio_1e0b,,,new_unconfirmed_text_island,new_unconfirmed_text_island,0.333333333,0.333333333,dio_0lhb|dio_1e0b,dio_0lhb|dio_1e0b,"dio_text_1b1j4sj: same_family_basis; anchor=dio_0lhb|dio_1e0b; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_1bbd5is,same_family_basis,inner_foreign_boundary_space,inner_foreign_boundary_space,0.0,1.0,dio_04v2|dio_0mj0|dio_17c5|dio_1bvz|dio_1evj,,,new_unconfirmed_text_island,new_unconfirmed_text_island,0.353333333,0.353333333,dio_04v2|dio_0mj0|dio_17c5|dio_1bvz|dio_1evj,dio_04v2|dio_0mj0|dio_17c5|dio_1bvz|dio_1evj,"dio_text_1bbd5is: same_family_basis; anchor=dio_04v2|dio_0mj0|dio_17c5|dio_1bvz|dio_1evj; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_1bcj70r,same_family_basis,inner_foreign_boundary_space,inner_foreign_boundary_space,0.0,1.0,dio_0bhk|dio_0h5v,,,new_unconfirmed_text_island,new_unconfirmed_text_island,0.333333333,0.333333333,dio_0bhk|dio_0h5v,dio_0bhk|dio_0h5v,"dio_text_1bcj70r: same_family_basis; anchor=dio_0bhk|dio_0h5v; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_1bfznl8,same_family_basis,inner_unconfirmed_raw_space,inner_unconfirmed_raw_space,0.0,1.0,dio_113w|dio_1i05|dio_1s6i,,,new_unconfirmed_text_island,new_unconfirmed_text_island,0.22,0.22,dio_113w|dio_1i05|dio_1s6i,dio_113w|dio_1i05|dio_1s6i,"dio_text_1bfznl8: same_family_basis; anchor=dio_113w|dio_1i05|dio_1s6i; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
dio_text_1big7bt,same_family_basis,inner_drift_watch_space,inner_drift_watch_space,0.0,1.0,dio_0892,,,new_unconfirmed_text_island,new_unconfirmed_text_island,0.2238698,0.2238698,dio_0892,dio_0892,"dio_text_1big7bt: same_family_basis; anchor=dio_0892; added=-; removed=-; passiv, keine Handlung.",True,False,False,False,False,False,False,False
