family,base_families,stage_count,visible_count,missing_count,coupled_stage_count,island_stage_count,max_coupled_degree,avg_vector_drift,max_vector_drift,inner_spacetime_state,inner_spacetime_reading,passive_only,controlled_dataset_scope,long_run_claim,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_0ka4,dio_10qz|dio_114i,5,4,1,0,4,0,0.002323407,0.003853969,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_0kae,dio_10qz|dio_114i,5,1,4,0,1,0,0.0,0.0,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_0kdz,dio_10qz|dio_114i,5,5,0,0,5,0,0.000808771,0.001262687,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0kg9,dio_10qz|dio_114i,5,5,0,0,5,0,0.00080515,0.001877601,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0kmw,dio_10qz|dio_114i,5,1,4,0,1,0,0.0,0.0,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_0ksa,dio_10qz|dio_114i,5,5,0,0,5,0,0.001645093,0.004629129,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0kua,dio_10qz|dio_114i,5,4,1,0,4,0,0.001054778,0.002043159,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_0l9d,dio_10qz|dio_114i,5,5,0,0,5,0,0.001158932,0.001855856,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0lck,dio_10qz|dio_114i,5,5,0,0,5,0,0.001157053,0.002224095,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0lco,dio_10qz|dio_114i,5,1,4,0,1,0,0.0,0.0,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_0lf6,dio_10qz|dio_114i,5,5,0,0,5,0,0.001011409,0.002727834,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0lr0,dio_10qz|dio_114i,5,5,0,0,5,0,0.000847316,0.001142615,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0lrt,dio_10qz|dio_114i,5,5,0,0,5,0,0.02692774,0.102515114,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0lt8,dio_10qz|dio_114i,5,5,0,0,5,0,0.001193094,0.001796841,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0lu5,dio_10qz|dio_114i,5,5,0,0,5,0,0.000347793,0.00052901,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0lvo,dio_10qz|dio_114i,5,3,2,0,3,0,0.001237035,0.00193778,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
dio_0m1m,dio_10qz|dio_114i,5,5,0,0,5,0,0.001564783,0.00222288,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0m7s,dio_10qz|dio_114i,5,5,0,0,5,0,0.000992789,0.003123073,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0m9e,dio_10qz|dio_114i,5,5,0,0,5,0,0.000795027,0.001913629,spacetime_latent_persistent_trace,"Spur bleibt ueber Zeit sichtbar, aber ohne aktuelle Kopplung.",True,True,False,False,False,False,False,False,False,False
dio_0mhr,dio_10qz|dio_114i,5,4,1,0,4,0,0.000282709,0.000386729,spacetime_fading_trace,Spur verliert Sichtbarkeit und wirkt auslaufend.,True,True,False,False,False,False,False,False,False,False
