family,phases,phase_count,action_transition_class,class_counts,direct_positive_action,observation_to_positive_action,held_observation,burdened_action,rows,executed_rows,observed_rows,raw_trade_rows,reward_sum,executed_reward_sum,observed_best_reward_sum,max_executed_trade_readiness,max_observed_trade_readiness,max_executed_mature_transfer,max_observed_mature_transfer
dio_01nr,"sensor_relation_probe2,sensor_relation_probe6_variation",2,observation_maturing_pattern,"{""held_observation"": 1, ""observation_to_positive_action"": 1}",0,1,1,0,4,1,3,1,1.340779,1.340779,3.525991,0.095516,0.043606,0.061025,0.043606
dio_1tik,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",3,direct_mature_pattern,"{""direct_positive_action"": 2, ""held_observation"": 1}",2,0,1,0,12,8,4,8,3.63996,3.63996,1.81998,0.293257,0.018826,0.07365,0.018826
dio_1alf,"sensor_relation_probe4,sensor_relation_probe4_repeat",2,direct_mature_pattern,"{""direct_positive_action"": 1, ""held_observation"": 1}",1,0,1,0,8,4,4,4,2.107256,2.107256,2.107256,0.174089,0.020175,0.062233,0.020175
dio_01yf,"order_shift,sensor_relation_probe3",2,direct_mature_pattern,"{""direct_positive_action"": 1, ""held_observation"": 1}",1,0,1,0,4,2,2,2,1.876634,1.876634,2.348112,0.095628,0.010823,0.060205,0.010823
dio_18jg,"sensor_relation_probe5,sensor_relation_probe5_repeat",2,direct_mature_pattern,"{""direct_positive_action"": 1, ""held_observation"": 1}",1,0,1,0,8,4,4,4,1.753144,1.753144,1.753144,0.146068,0.018145,0.06666,0.018145
dio_1kqv,"sensor_relation_probe5,sensor_relation_probe5_repeat,sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",5,held_observation_pattern,"{""held_observation"": 5}",0,0,5,0,20,0,20,14,0.0,0.0,4.438116,0.0,0.095158,0.0,0.0759
dio_0kpn,"sensor_relation_probe5_variation,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat,sensor_relation_probe6_variation",4,held_observation_pattern,"{""held_observation"": 4}",0,0,4,0,13,0,13,9,0.0,0.0,6.11287,0.0,0.162273,0.0,0.072602
dio_0xgj,"sensor_relation_probe5_repeat,sensor_relation_probe5_variation_after_neighbor_store,sensor_relation_probe5_variation_repeat",3,held_observation_pattern,"{""held_observation"": 3}",0,0,3,0,12,0,12,9,0.0,0.0,11.231492,0.0,0.290407,0.0,0.073154
dio_185j,"order_shift,sensor_relation_probe3",2,held_observation_pattern,"{""held_observation"": 2}",0,0,2,0,6,0,6,0,0.0,0.0,2.527816,0.0,0.029036,0.0,0.029036
dio_0v15,"sensor_relation_probe4,sensor_relation_probe4_repeat",2,held_observation_pattern,"{""held_observation"": 2}",0,0,2,0,8,0,8,5,0.0,0.0,5.219264,0.0,0.135678,0.0,0.070546
dio_1y2t,"sensor_relation_probe4,sensor_relation_probe4_repeat",2,held_observation_pattern,"{""held_observation"": 2}",0,0,2,0,8,0,8,4,0.0,0.0,4.268696,0.0,0.111154,0.0,0.069688
dio_0rps,"sensor_relation_probe4,sensor_relation_probe4_repeat",2,held_observation_pattern,"{""held_observation"": 2}",0,0,2,0,8,0,8,0,0.0,0.0,1.321456,0.0,0.03682,0.0,0.03682
dio_0e10,"sensor_relation_probe5,sensor_relation_probe5_repeat",2,held_observation_pattern,"{""held_observation"": 2}",0,0,2,0,8,0,8,4,0.0,0.0,3.46496,0.0,0.091512,0.0,0.06595
dio_1k0r,sensor_relation_probe3,1,local_direct_action,"{""direct_positive_action"": 1}",1,0,0,0,3,3,0,3,4.7844,4.7844,0.0,0.24434,0.0,0.068919,0.0
dio_0v36,sensor_relation_probe4,1,local_direct_action,"{""direct_positive_action"": 1}",1,0,0,0,3,3,0,3,3.423192,3.423192,0.0,0.201403,0.0,0.065067,0.0
dio_1ioc,order_shift_varianz,1,local_observation_to_action,"{""observation_to_positive_action"": 1}",0,1,0,0,4,2,2,2,3.339704,3.339704,3.339704,0.14884,0.013386,0.07267,0.013386
dio_121e,order_shift,1,local_observation_to_action,"{""observation_to_positive_action"": 1}",0,1,0,0,4,2,2,2,3.042412,3.042412,3.042412,0.136014,0.012705,0.070953,0.012705
dio_1nlc,sensor_relation_probe6_variation,1,local_direct_action,"{""direct_positive_action"": 1}",1,0,0,0,3,3,0,3,2.666613,2.666613,0.0,0.175134,0.0,0.072224,0.0
dio_1vpi,sensor_relation_probe6_variation,1,local_observation_to_action,"{""observation_to_positive_action"": 1}",0,1,0,0,4,2,2,2,2.597526,2.597526,2.597526,0.117684,0.011885,0.067033,0.011885
dio_1mx6,sensor_relation_probe3,1,local_observation_to_action,"{""observation_to_positive_action"": 1}",0,1,0,0,4,2,2,2,2.572766,2.572766,2.572766,0.116205,0.011417,0.064309,0.011417
dio_1dmh,sensor_relation_probe3,1,local_observation_to_action,"{""observation_to_positive_action"": 1}",0,1,0,0,4,2,2,2,2.480166,2.480166,2.480166,0.111283,0.010389,0.057605,0.010389
dio_1uyk,sensor_relation_probe2,1,local_observation_to_action,"{""observation_to_positive_action"": 1}",0,1,0,0,4,2,2,2,2.46987,2.46987,2.46987,0.111429,0.011088,0.060893,0.011088
dio_0f4h,order_shift,1,local_direct_action,"{""direct_positive_action"": 1}",1,0,0,0,1,1,0,1,2.0,2.0,0.0,0.172588,0.0,0.061115,0.0
dio_1h5i,order_shift,1,local_observation_to_action,"{""observation_to_positive_action"": 1}",0,1,0,0,3,1,2,1,1.652416,1.652416,3.304832,0.064142,0.01199,0.060884,0.01199
dio_1ax9,sensor_relation_probe2,1,local_observation_to_action,"{""observation_to_positive_action"": 1}",0,1,0,0,3,1,2,1,1.237693,1.237693,2.475386,0.048781,0.010023,0.048781,0.010023
dio_060l,sensor_relation_probe2,1,local_observation_to_action,"{""observation_to_positive_action"": 1}",0,1,0,0,4,1,3,1,1.190707,1.190707,3.572121,0.096467,0.022487,0.06317,0.022487
dio_0thk,sensor_relation_probe3,1,local_observation_to_action,"{""observation_to_positive_action"": 1}",0,1,0,0,4,1,3,1,1.156708,1.156708,3.470124,0.09405,0.022147,0.065401,0.022147
dio_0nm2,sensor_relation_probe4,1,local_observation_to_action,"{""observation_to_positive_action"": 1}",0,1,0,0,4,1,3,1,1.024116,1.024116,3.072348,0.083767,0.02004,0.064916,0.02004
dio_1sxo,order_shift_varianz,1,local_observation_to_action,"{""observation_to_positive_action"": 1}",0,1,0,0,2,1,1,1,0.993834,0.993834,0.993834,0.076944,0.037579,0.069375,0.037579
dio_0u8f,sensor_relation_probe7_belastung,1,local_observation_to_action,"{""observation_to_positive_action"": 1}",0,1,0,0,4,1,3,1,0.99229,0.99229,2.97687,0.08198,0.020356,0.071857,0.020356
dio_19i4,sensor_relation_probe7_belastung,1,local_observation_to_action,"{""observation_to_positive_action"": 1}",0,1,0,0,4,1,3,1,0.860328,0.860328,2.580984,0.070375,0.017235,0.065746,0.017235
dio_07wx,sensor_relation_probe6_variation,1,local_observation_to_action,"{""observation_to_positive_action"": 1}",0,1,0,0,4,1,3,1,0.758933,0.758933,2.276799,0.063977,0.01669,0.063977,0.01669
dio_08wa,order_shift,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,4,0,4,0,0.0,0.0,0.963604,0.0,0.010952,0.0,0.010952
dio_1wwt,order_shift,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,4,0,4,0,0.0,0.0,2.255772,0.0,0.020422,0.0,0.020422
dio_0knp,order_shift,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,0.14634,0.0,0.005342,0.0,0.005342
dio_1i0f,order_shift,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,2,0,2,0,0.0,0.0,1.586678,0.0,0.009083,0.0,0.009083
dio_0nvr,order_shift,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,2,0,2,0,0.0,0.0,0.207332,0.0,0.005061,0.0,0.005061
dio_0d07,order_shift,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,2,0,2,0,0.0,0.0,0.550904,0.0,0.005243,0.0,0.005243
dio_018g,order_shift,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,1,0,1,0,0.0,0.0,0.231148,0.0,0.004547,0.0,0.004547
dio_1j0n,order_shift,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,1,0,1,0,0.0,0.0,1.209428,0.0,0.004095,0.0,0.004095
dio_1ytj,order_shift_varianz,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,4,0,4,2,0.0,0.0,6.137268,0.0,0.05088,0.0,0.03436
dio_1hkr,order_shift_varianz,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,4,0,4,2,0.0,0.0,4.556132,0.0,0.038451,0.0,0.0295
dio_03fl,order_shift_varianz,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,4,0,4,1,0.0,0.0,2.39274,0.0,0.021984,0.0,0.021984
dio_151h,order_shift_varianz,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,4,0,4,0,0.0,0.0,0.327368,0.0,0.00656,0.0,0.00656
dio_0iy2,order_shift_varianz,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,0.825897,0.0,0.007793,0.0,0.007793
dio_066x,order_shift_varianz,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,1.182012,0.0,0.009554,0.0,0.009554
dio_0q8z,order_shift_varianz,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,2,0,2,0,0.0,0.0,2.613504,0.0,0.011425,0.0,0.011425
dio_0mp4,order_shift_varianz,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,1,0,1,0,0.0,0.0,0.20525,0.0,0.004609,0.0,0.004609
dio_0r8e,order_shift_varianz,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,1,0,1,0,0.0,0.0,0.361444,0.0,0.004006,0.0,0.004006
dio_1on4,sensor_relation_probe2,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,4,0,4,0,0.0,0.0,1.228,0.0,0.013459,0.0,0.013459
dio_0oqk,sensor_relation_probe2,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,4,0,4,0,0.0,0.0,1.49702,0.0,0.015908,0.0,0.015908
dio_1iwb,sensor_relation_probe2,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,4,0,4,0,0.0,0.0,1.190456,0.0,0.012637,0.0,0.012637
dio_15r2,sensor_relation_probe2,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,3.408597,0.0,0.021781,0.0,0.021781
dio_1fcl,sensor_relation_probe2,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,2,0,2,0,0.0,0.0,2.07212,0.0,0.00995,0.0,0.00995
dio_00t3,sensor_relation_probe2,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,2,0,2,0,0.0,0.0,1.308448,0.0,0.008194,0.0,0.008194
dio_14ch,sensor_relation_probe2,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,2,0,2,0,0.0,0.0,0.642432,0.0,0.006117,0.0,0.006117
dio_01ql,sensor_relation_probe2,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,2,0,2,0,0.0,0.0,0.003086,0.0,0.00402,0.0,0.00402
dio_1ce7,sensor_relation_probe2,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,2,0,2,0,0.0,0.0,2.047786,0.0,0.0093,0.0,0.0093
dio_1c48,sensor_relation_probe2,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,2,0,2,0,0.0,0.0,2.047786,0.0,0.009361,0.0,0.009361
dio_0789,sensor_relation_probe2,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,1,0,1,0,0.0,0.0,1.225414,0.0,0.004254,0.0,0.004254
dio_1mic,sensor_relation_probe2,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,1,0,1,0,0.0,0.0,0.517408,0.0,0.003916,0.0,0.003916
dio_0hla,sensor_relation_probe3,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,2,0,2,0,0.0,0.0,1.054918,0.0,0.00698,0.0,0.00698
dio_026q,sensor_relation_probe3,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,2,0,2,0,0.0,0.0,2.649002,0.0,0.010951,0.0,0.010951
dio_0x50,sensor_relation_probe3,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,2,0,2,0,0.0,0.0,2.677556,0.0,0.010656,0.0,0.010656
dio_07z2,sensor_relation_probe3,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,2,0,2,0,0.0,0.0,2.288552,0.0,0.009538,0.0,0.009538
dio_0if9,sensor_relation_probe3,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,2,0,2,0,0.0,0.0,1.054918,0.0,0.007002,0.0,0.007002
dio_0ie2,sensor_relation_probe3,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,1,0,1,0,0.0,0.0,0.60267,0.0,0.003869,0.0,0.003869
dio_0hiu,sensor_relation_probe4,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,2.643525,0.0,0.018377,0.0,0.018377
dio_0g8c,sensor_relation_probe4,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,1.655475,0.0,0.013255,0.0,0.013255
dio_0yok,sensor_relation_probe4,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,0.103713,0.0,0.004194,0.0,0.004194
dio_1hhw,sensor_relation_probe4,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,1.624635,0.0,0.012443,0.0,0.012443
dio_1og7,sensor_relation_probe4,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,3.428376,0.0,0.021206,0.0,0.021206
dio_09n6,sensor_relation_probe4,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,2,0,2,0,0.0,0.0,1.348196,0.0,0.007635,0.0,0.007635
dio_0hzw,sensor_relation_probe4,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,2,0,2,0,0.0,0.0,2.528926,0.0,0.010633,0.0,0.010633
dio_0f9v,sensor_relation_probe4,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,2,0,2,0,0.0,0.0,2.822974,0.0,0.011685,0.0,0.011685
dio_0eh8,sensor_relation_probe4,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,2,0,2,0,0.0,0.0,2.045008,0.0,0.009781,0.0,0.009781
dio_09dp,sensor_relation_probe5,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,1.947753,0.0,0.014072,0.0,0.014072
dio_1xfl,sensor_relation_probe5,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,0.352611,0.0,0.006621,0.0,0.006621
dio_15bt,sensor_relation_probe5,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,0.103959,0.0,0.004737,0.0,0.004737
dio_1tsz,sensor_relation_probe5,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,1.26819,0.0,0.010593,0.0,0.010593
dio_16yf,sensor_relation_probe5,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,2,0,2,0,0.0,0.0,2.969572,0.0,0.011709,0.0,0.011709
dio_1nky,sensor_relation_probe5,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,2,0,2,0,0.0,0.0,2.713522,0.0,0.010579,0.0,0.010579
dio_18fu,sensor_relation_probe5,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,2,0,2,0,0.0,0.0,2.643352,0.0,0.010432,0.0,0.010432
dio_0p8l,sensor_relation_probe5_variation,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,1.79832,0.0,0.013367,0.0,0.013367
dio_05pr,sensor_relation_probe5_variation,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,0.252321,0.0,0.006086,0.0,0.006086
dio_1et3,sensor_relation_probe5_variation,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,0.053322,0.0,0.004667,0.0,0.004667
dio_1kfx,sensor_relation_probe5_variation,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,1.216989,0.0,0.010472,0.0,0.010472
dio_11wk,sensor_relation_probe6_variation,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,4,0,4,0,0.0,0.0,0.063792,0.0,0.005262,0.0,0.005262
dio_0wgd,sensor_relation_probe6_variation,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,4,0,4,0,0.0,0.0,1.974828,0.0,0.020486,0.0,0.020486
dio_017u,sensor_relation_probe6_variation,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,1.699599,0.0,0.012965,0.0,0.012965
dio_005q,sensor_relation_probe6_variation,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,0.507918,0.0,0.006793,0.0,0.006793
dio_1bkh,sensor_relation_probe6_variation,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,1.977327,0.0,0.014448,0.0,0.014448
dio_1k0x,sensor_relation_probe6_variation,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,2.270046,0.0,0.016357,0.0,0.016357
dio_05x4,sensor_relation_probe6_variation,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,2,0,2,0,0.0,0.0,2.969572,0.0,0.011827,0.0,0.011827
dio_0sul,sensor_relation_probe6_variation,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,1,0,1,0,0.0,0.0,1.28944,0.0,0.004711,0.0,0.004711
dio_0i9h,sensor_relation_probe6_variation,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,1,0,1,0,0.0,0.0,0.232535,0.0,0.005126,0.0,0.005126
dio_00h2,sensor_relation_probe6_variation,1,quiet_pattern,"{""quiet_family"": 1}",0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dio_1h5y,sensor_relation_probe7_belastung,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,4,0,4,0,0.0,0.0,2.280068,0.0,0.021709,0.0,0.021709
dio_19p6,sensor_relation_probe7_belastung,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,4,0,4,0,0.0,0.0,0.602808,0.0,0.009402,0.0,0.009402
dio_1916,sensor_relation_probe7_belastung,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,1.55148,0.0,0.012126,0.0,0.012126
dio_15or,sensor_relation_probe7_belastung,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,0.893556,0.0,0.008954,0.0,0.008954
dio_0aa6,sensor_relation_probe7_belastung,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,0.541917,0.0,0.007113,0.0,0.007113
dio_0mst,sensor_relation_probe7_belastung,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,0.744984,0.0,0.007795,0.0,0.007795
dio_0qrm,sensor_relation_probe7_belastung,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,2.917185,0.0,0.018928,0.0,0.018928
dio_1yeo,sensor_relation_probe7_belastung,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,3.056367,0.0,0.02019,0.0,0.02019
dio_15r8,sensor_relation_probe7_belastung,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,1.039551,0.0,0.010147,0.0,0.010147
dio_0ud7,sensor_relation_probe7_belastung,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,3,0,3,0,0.0,0.0,0.849309,0.0,0.008038,0.0,0.008038
dio_0lyu,sensor_relation_probe7_belastung,1,held_observation_pattern,"{""held_observation"": 1}",0,0,1,0,1,0,1,0,0.0,0.0,0.248328,0.0,0.004027,0.0,0.004027
dio_00rd,sensor_relation_probe7_belastung,1,quiet_pattern,"{""quiet_family"": 1}",0,0,0,0,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dio_00eh,order_shift,1,burdened_action_pattern,"{""direct_burdened_action"": 1}",0,0,0,1,2,1,1,1,-0.431148,-0.431148,0.231148,0.072906,0.010662,0.066364,0.010662
