family,relation_count,support_count,conflict_count,neutral_count,best_support_family,best_support_action,best_support_similarity,best_support_score,best_conflict_family,best_conflict_actions,best_conflict_similarity,best_conflict_score,support_ratio,conflict_ratio
dio_081d,58,29,26,3,dio_0nmi,LONG,0.969767,0.970342,dio_1144,LONG/SHORT,0.986766,0.989463,0.5,0.448276
dio_0dcm,58,25,30,3,dio_1r0h,SHORT,0.948684,0.963269,dio_0qyu,SHORT/LONG,0.953903,0.956028,0.431034,0.517241
dio_1rka,58,29,26,3,dio_0rgr,LONG,0.953108,0.953992,dio_1144,LONG/SHORT,0.621958,0.623316,0.5,0.448276
dio_0rgr,58,29,26,3,dio_1rka,LONG,0.953108,0.953992,dio_1144,LONG/SHORT,0.573381,0.574032,0.5,0.448276
dio_14zx,58,25,30,3,dio_1bzs,SHORT,0.936099,0.948968,dio_1uez,SHORT/LONG,0.785475,0.808748,0.431034,0.517241
dio_1bzs,58,25,30,3,dio_14zx,SHORT,0.936099,0.948968,dio_1uez,SHORT/LONG,0.680028,0.68771,0.431034,0.517241
dio_1ml8,58,29,26,3,dio_081d,LONG,0.929522,0.931321,dio_1144,LONG/SHORT,0.901249,0.902951,0.5,0.448276
dio_07yj,58,29,26,3,dio_1tki,LONG,0.912292,0.914393,dio_13wt,LONG/SHORT,0.86717,0.869093,0.5,0.448276
dio_1tki,58,29,26,3,dio_07yj,LONG,0.912292,0.914393,dio_13wt,LONG/SHORT,0.807417,0.809507,0.5,0.448276
dio_0irs,58,29,26,3,dio_052z,LONG,0.903651,0.914038,dio_0n4c,LONG/SHORT,0.8745,0.888342,0.5,0.448276
dio_0qyu,58,29,26,3,dio_0byw,LONG,0.86237,0.906196,dio_1r0h,LONG/SHORT,0.958105,0.975909,0.5,0.448276
dio_1ieq,58,29,26,3,dio_0oio,LONG,0.886822,0.88871,dio_0rh0,LONG/SHORT,0.844181,0.844794,0.5,0.448276
dio_0oio,58,29,26,3,dio_1ieq,LONG,0.886822,0.88871,dio_0rh0,LONG/SHORT,0.633503,0.634307,0.5,0.448276
dio_0rej,58,25,30,3,dio_0v7w,SHORT,0.829541,0.83357,dio_0wsj,SHORT/LONG,0.809749,0.811666,0.431034,0.517241
dio_0zlr,58,25,30,3,dio_1bzs,SHORT,0.826927,0.831026,dio_1uez,SHORT/LONG,0.43856,0.443246,0.431034,0.517241
dio_0rh0,58,25,30,3,dio_0lt6,SHORT,0.825063,0.830447,dio_1ieq,SHORT/LONG,0.844181,0.844794,0.431034,0.517241
dio_0b0d,58,25,30,3,dio_0av4,SHORT,0.803046,0.805175,dio_1uez,SHORT/LONG,0.73933,0.744207,0.431034,0.517241
dio_0av4,58,25,30,3,dio_0b0d,SHORT,0.803046,0.805175,dio_07mf,SHORT/LONG,0.638093,0.639418,0.431034,0.517241
dio_1144,58,25,30,3,dio_14zx,SHORT,0.796308,0.804121,dio_081d,SHORT/LONG,0.986766,0.989463,0.431034,0.517241
dio_1at7,58,25,30,3,dio_0w1v,SHORT,0.803194,0.803368,dio_07mf,SHORT/LONG,0.469093,0.469171,0.431034,0.517241
dio_1iuq,58,25,30,3,dio_0av4,SHORT,0.795856,0.797673,dio_07mf,SHORT/LONG,0.941112,0.942246,0.431034,0.517241
dio_1sxo,58,25,30,3,dio_1r0h,SHORT,0.747922,0.755267,dio_0qyu,SHORT/LONG,0.831829,0.833013,0.431034,0.517241
dio_18iw,58,25,30,3,dio_0309,SHORT,0.75069,0.750781,dio_1j78,SHORT/LONG,0.985866,0.985895,0.431034,0.517241
dio_0309,58,25,30,3,dio_18iw,SHORT,0.75069,0.750781,dio_1j78,SHORT/LONG,0.793563,0.793588,0.431034,0.517241
dio_13wt,58,25,30,3,dio_0nv8,SHORT,0.728453,0.735585,dio_1tg9,SHORT/LONG,0.896197,0.89861,0.431034,0.517241
dio_1lz7,58,25,30,3,dio_0w1v,SHORT,0.711438,0.712287,dio_0xq8,SHORT/LONG,0.332909,0.333289,0.431034,0.517241
dio_1j78,58,29,26,3,dio_0uct,LONG,0.709262,0.709566,dio_18iw,LONG/SHORT,0.985866,0.985895,0.5,0.448276
dio_07mf,58,29,26,3,dio_1j78,LONG,0.693302,0.693364,dio_1iuq,LONG/SHORT,0.941112,0.942246,0.5,0.448276
dio_0nny,58,29,26,3,dio_0rgr,LONG,0.66488,0.665282,dio_1144,LONG/SHORT,0.469939,0.470608,0.5,0.448276
dio_0xq8,58,29,26,3,dio_0rgr,LONG,0.460201,0.460615,dio_1lz7,LONG/SHORT,0.332909,0.333289,0.5,0.448276
dio_11wp,58,0,0,58,-,-,0.0,0.0,-,-,0.0,0.0,0.0,0.0
dio_12qo,58,0,0,58,-,-,0.0,0.0,-,-,0.0,0.0,0.0,0.0
dio_1ll4,58,0,0,58,-,-,0.0,0.0,-,-,0.0,0.0,0.0,0.0
