run,tick,symbol_family,action,raw_action,best_action_training,binding_state,episode_relation,phase_active,phase_age,phase_distance,episode_binding_pressure,episode_release_pressure,score_wait,score_long,score_short,reward,best_reward_training,unrealized_best_reward,held_impulse_potential
126,14,dio_1wie,WAIT,WAIT,SHORT,observed_not_bound,none,0,8,0.376915,0.0,1.0,0.055085,-0.062222,0.025102,0.0,0.794658,0.794658,0.0
126,15,dio_05s4,WAIT,WAIT,SHORT,observed_not_bound,none,0,9,0.508631,0.0,1.0,0.057256,-0.069537,-0.044239,0.0,0.194175,0.194175,0.0
126,16,dio_14jl,WAIT,WAIT,LONG,observed_not_bound,none,0,10,0.80622,0.0,1.0,0.063585,-0.033972,-0.075673,0.0,0.360587,0.360587,0.0
126,17,dio_12jm,WAIT,WAIT,LONG,observed_not_bound,none,0,11,0.508843,0.0,1.0,0.058234,-0.005228,-0.07406,0.0,0.56072,0.56072,0.0
126,18,dio_1uv4,WAIT,WAIT,LONG,observed_not_bound,none,0,12,0.679971,0.0,1.0,0.05977,-0.068438,-0.076439,0.0,0.163713,0.163713,0.0
127,1,dio_0c6o,LONG,LONG,LONG,executed_aligned,none,0,9999,1.0,0.0,1.0,0.04332,0.256968,-0.057432,1.148164,1.148164,0.0,0.0
127,6,dio_0hd3,SHORT,SHORT,SHORT,executed_aligned,different_contact,0,5,0.236379,0.0,1.0,0.043583,-0.061429,0.323741,1.459285,1.459285,0.0,0.0
127,11,dio_0avw,WAIT,WAIT,SHORT,observed_not_bound,different_contact,0,5,0.369591,0.0,1.0,0.052393,-0.069362,-0.017244,0.0,0.244014,0.244014,0.0
127,12,dio_0jco,WAIT,SHORT,SHORT,held_useful_impulse,same_episode,1,6,0.558146,0.373453,0.172178,0.055406,-0.066972,0.062169,0.0,0.733987,0.733987,0.733987
127,13,dio_1g18,WAIT,SHORT,SHORT,held_useful_impulse,same_episode,1,7,0.686595,0.289057,0.21611,0.058573,-0.067608,0.073047,0.0,0.796759,0.796759,0.796759
127,14,dio_1wie,SHORT,SHORT,SHORT,executed_aligned,none,0,8,0.376915,0.0,1.0,0.053613,-0.06212,0.075539,0.794658,0.794658,0.0,0.0
