family,local_action,local_confirmation,state,confirmation_label,runs,rows,executed_long,executed_short,best_long,best_short,reward_sum,observation_learning_events,avg_observation_pressure,best_support_family,best_support_action,best_support_score,support_matches_local,best_conflict_family,best_conflict_actions,best_conflict_score,phase,support_pair
dio_0v7w,SHORT,0.225097,observed_related,observed_related_potential,"4,5,6",3,0,0,0,3,0.0,3,0.028318,dio_0w1v,SHORT,1.00388,1,dio_0wsj,SHORT/LONG,0.534239,referenz,dio_0v7w<->dio_0w1v
dio_0nny,LONG,0.221703,observed_related,observed_related_potential,"1,2",2,0,0,2,0,0.0,2,0.009462,dio_0rgr,LONG,0.665282,1,dio_1144,LONG/SHORT,0.470608,referenz,dio_0nny<->dio_0rgr
dio_0w1v,SHORT,0.221677,observed_related,observed_related_potential,"1,2",2,0,0,0,2,0.0,2,0.009317,dio_0v7w,SHORT,1.00388,1,dio_01nf,SHORT/LONG,0.526655,referenz,dio_0v7w<->dio_0w1v
dio_0qyu,LONG,0.221593,observed_related,observed_related_potential,"1,2",2,0,0,2,0,0.0,2,0.008849,dio_0byw,LONG,0.911316,1,dio_1r0h,LONG/SHORT,0.975909,referenz,dio_0byw<->dio_0qyu
dio_0xq8,LONG,0.22153,observed_related,observed_related_potential,"1,2",2,0,0,2,0,0.0,2,0.008499,dio_0rgr,LONG,0.460615,1,dio_1lz7,LONG/SHORT,0.333289,referenz,dio_0rgr<->dio_0xq8
dio_1tki,LONG,0.221493,observed_related,observed_related_potential,"1,2",2,0,0,2,0,0.0,2,0.008296,dio_07yj,LONG,0.914393,1,dio_13wt,LONG/SHORT,0.809507,referenz,dio_07yj<->dio_1tki
dio_0zlr,SHORT,0.221169,observed_related,observed_related_potential,"1,2,3",3,0,0,0,3,0.0,3,0.006492,dio_05z6,SHORT,0.930504,1,dio_1uez,SHORT/LONG,0.443246,referenz,dio_05z6<->dio_0zlr
dio_1144,SHORT,0.221063,observed_related,observed_related_potential,"1,2",2,0,0,0,2,0.0,2,0.005908,dio_14zx,SHORT,0.804121,1,dio_081d,SHORT/LONG,0.989463,referenz,dio_1144<->dio_14zx
dio_0rej,SHORT,0.221046,observed_related,observed_related_potential,"1,2",2,0,0,0,2,0.0,2,0.00581,dio_0v7w,SHORT,0.83357,1,dio_0wsj,SHORT/LONG,0.811666,referenz,dio_0rej<->dio_0v7w
dio_11wp,-,0.0,local_only,unconfirmed,"3,4,5,6",4,0,0,0,0,0.0,0,0.0,-,-,0.0,0,-,-,0.0,referenz,-
dio_12qo,-,0.0,local_only,unconfirmed,"1,2",2,0,0,0,0,0.0,0,0.0,-,-,0.0,0,-,-,0.0,referenz,-
dio_1r0h,SHORT,0.575538,locally_confirmed,executed_local_confirmation,"11,12,13,14",4,0,2,0,4,3.275704,2,0.08555,dio_0n4c,SHORT,1.069861,1,dio_0byw,SHORT/LONG,1.27699,rauschen,dio_0n4c<->dio_1r0h
dio_1uez,LONG,0.446938,locally_confirmed,executed_local_confirmation,"11,12,13",3,1,0,3,0,1.446988,2,0.038242,dio_1vb3,LONG,0.987352,1,dio_074d,LONG/SHORT,0.914925,rauschen,dio_1uez<->dio_1vb3
dio_0f4h,LONG,0.368216,locally_confirmed,executed_local_confirmation,"11,12,13,14",4,1,0,4,0,0.817431,3,0.037501,dio_1vb3,LONG,1.001633,1,dio_1144,LONG/SHORT,0.880533,rauschen,dio_0f4h<->dio_1vb3
dio_0dcm,SHORT,0.234177,observed_related,observed_related_potential,"11,12",2,0,0,0,2,0.0,2,0.078761,dio_1r0h,SHORT,0.963269,1,dio_0qyu,SHORT/LONG,0.956028,rauschen,dio_0dcm<->dio_1r0h
dio_1sxo,SHORT,0.231742,observed_related,observed_related_potential,"11,12",2,0,0,0,2,0.0,2,0.065236,dio_1r0h,SHORT,0.755267,1,dio_0qyu,SHORT/LONG,0.833013,rauschen,dio_1r0h<->dio_1sxo
dio_1j78,LONG,0.231441,observed_related,observed_related_potential,"11,12",2,0,0,2,0,0.0,2,0.06356,dio_01xf,LONG,0.715926,1,dio_18iw,LONG/SHORT,0.985895,rauschen,dio_01xf<->dio_1j78
dio_1mml,LONG,0.23047,observed_related,observed_related_potential,"11,12,13,14",4,0,0,4,0,0.0,4,0.058169,dio_01xf,LONG,0.994884,1,dio_18iw,LONG/SHORT,0.712864,rauschen,dio_01xf<->dio_1mml
dio_0309,SHORT,0.230271,observed_related,observed_related_potential,"11,12",2,0,0,0,2,0.0,2,0.057063,dio_0jqv,SHORT,0.930662,1,dio_1j78,SHORT/LONG,0.793588,rauschen,dio_0309<->dio_0jqv
dio_0nmi,LONG,0.228113,observed_related,observed_related_potential,"11,12,13,14",4,0,0,4,0,0.0,4,0.045075,dio_0f4h,LONG,0.993617,1,dio_1144,LONG/SHORT,0.92198,rauschen,dio_0f4h<->dio_0nmi
dio_1v23,LONG,0.227973,observed_related,observed_related_potential,"11,12,13,14",4,0,0,4,0,0.0,4,0.044295,dio_179o,LONG,0.98709,1,dio_074d,LONG/SHORT,0.583168,rauschen,dio_179o<->dio_1v23
dio_1vb3,LONG,0.22709,observed_related,observed_related_potential,"11,12,13,14",4,0,0,4,0,0.0,4,0.039389,dio_0f4h,LONG,1.001633,1,dio_074d,LONG/SHORT,0.881416,rauschen,dio_0f4h<->dio_1vb3
dio_0k53,LONG,0.226823,observed_related,observed_related_potential,"11,12",2,0,0,2,0,0.0,2,0.037905,dio_0f4h,LONG,0.999916,1,dio_074d,LONG/SHORT,0.912781,rauschen,dio_0f4h<->dio_0k53
dio_1tg9,LONG,0.226572,observed_related,observed_related_potential,"11,12",2,0,0,2,0,0.0,2,0.036509,dio_0k53,LONG,0.996669,1,dio_13wt,LONG/SHORT,0.89861,rauschen,dio_0k53<->dio_1tg9
dio_0qb3,LONG,0.226505,observed_related,observed_related_potential,"11,12,13,14",4,0,0,4,0,0.0,4,0.036137,dio_18wf,LONG,0.98156,1,dio_0nv8,LONG/SHORT,0.901665,rauschen,dio_0qb3<->dio_18wf
dio_01nf,LONG,0.22617,observed_related,observed_related_potential,"11,12,13,14",4,0,0,4,0,0.0,4,0.034277,dio_0wsj,LONG,0.983772,1,dio_0nv8,LONG/SHORT,0.958927,rauschen,dio_01nf<->dio_0wsj
dio_1rka,LONG,0.225645,observed_related,observed_related_potential,"11,12",2,0,0,2,0,0.0,2,0.03136,dio_0rgr,LONG,0.953992,1,dio_1144,LONG/SHORT,0.623316,rauschen,dio_0rgr<->dio_1rka
