family,anchor_lupe_state,cross_lupe_state,left_dominant_category,right_dominant_category,left_count,right_count,left_avg_score,right_avg_score,score_delta_right_minus_left,same_text_island,left_text_islands,right_text_islands,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_1tj7,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.5004744,0.246666667,-0.253807733,False,dio_text_10zhe22,dio_text_1vfcwaq,True,False,False,False,False,False,False,False
dio_1pvx,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,2,0.510796333,0.233333334,-0.277463,False,dio_text_1llvid6,dio_text_1d10jqz|dio_text_1rm15nd,True,False,False,False,False,False,False,False
dio_12dn,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.4142404,0.226666667,-0.187573733,False,dio_text_1e700b9,dio_text_11gnkh6,True,False,False,False,False,False,False,False
dio_130c,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.4142404,0.226666667,-0.187573733,False,dio_text_1e700b9,dio_text_11gnkh6,True,False,False,False,False,False,False,False
dio_13hp,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.4142404,0.226666667,-0.187573733,False,dio_text_1e700b9,dio_text_11gnkh6,True,False,False,False,False,False,False,False
dio_0mod,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.407346933,0.22,-0.187346933,False,dio_text_pxnfv9,dio_text_kfmtcz,True,False,False,False,False,False,False,False
dio_0p55,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.407344733,0.22,-0.187344733,False,dio_text_1ynjhxk,dio_text_1q4ywyr,True,False,False,False,False,False,False,False
dio_0r5x,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.469388933,0.22,-0.249388933,False,dio_text_139he2x,dio_text_1i3utdl,True,False,False,False,False,False,False,False
dio_0uxe,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.407346933,0.22,-0.187346933,False,dio_text_pxnfv9,dio_text_kfmtcz,True,False,False,False,False,False,False,False
dio_1215,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.407346933,0.22,-0.187346933,False,dio_text_pxnfv9,dio_text_kfmtcz,True,False,False,False,False,False,False,False
dio_1eas,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.469388933,0.22,-0.249388933,False,dio_text_139he2x,dio_text_1i3utdl,True,False,False,False,False,False,False,False
dio_1nuj,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.407344733,0.22,-0.187344733,False,dio_text_1ynjhxk,dio_text_1q4ywyr,True,False,False,False,False,False,False,False
dio_1pen,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.469388933,0.22,-0.249388933,False,dio_text_139he2x,dio_text_1i3utdl,True,False,False,False,False,False,False,False
dio_00mq,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,carried_raw_space,1,1,0.213333333,0.213333333,0.0,True,dio_text_gnlzuv,dio_text_gnlzuv,True,False,False,False,False,False,False,False
dio_02s2,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.393755467,0.213333333,-0.180422134,False,dio_text_12i41ij,dio_text_5c0370,True,False,False,False,False,False,False,False
dio_06oz,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.393754667,0.213333333,-0.180421334,False,dio_text_1qdy1d4,dio_text_188sve0,True,False,False,False,False,False,False,False
dio_0jpo,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,carried_raw_space,1,1,0.213333333,0.213333333,0.0,True,dio_text_sba9z7,dio_text_sba9z7,True,False,False,False,False,False,False,False
dio_0lxp,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,carried_raw_space,1,1,0.213333333,0.213333333,0.0,True,dio_text_gnlzuv,dio_text_gnlzuv,True,False,False,False,False,False,False,False
dio_0mtm,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.393754667,0.213333333,-0.180421334,False,dio_text_1qdy1d4,dio_text_188sve0,True,False,False,False,False,False,False,False
dio_0n61,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,carried_raw_space,1,1,0.213333333,0.213333333,0.0,True,dio_text_sba9z7,dio_text_sba9z7,True,False,False,False,False,False,False,False
dio_0p4k,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.393766267,0.213333333,-0.180432934,False,dio_text_1wsyrye,dio_text_2fv6u4,True,False,False,False,False,False,False,False
dio_0rur,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.393768667,0.213333333,-0.180435334,False,dio_text_16u5ej1,dio_text_14s5xad,True,False,False,False,False,False,False,False
dio_0ui7,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.393766267,0.213333333,-0.180432934,False,dio_text_19hwb5v,dio_text_ab0vwf,True,False,False,False,False,False,False,False
dio_0w94,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,carried_raw_space,1,1,0.213333333,0.213333333,0.0,True,dio_text_hhfioz,dio_text_hhfioz,True,False,False,False,False,False,False,False
dio_11f5,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,carried_raw_space,1,1,0.213333333,0.213333333,0.0,True,dio_text_ppv0li,dio_text_ppv0li,True,False,False,False,False,False,False,False
dio_11xf,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.393768067,0.213333333,-0.180434734,False,dio_text_1wpbm1s,dio_text_14h967m,True,False,False,False,False,False,False,False
dio_14iy,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.393769667,0.213333333,-0.180436334,False,dio_text_1hxbuwj,dio_text_lkoyvo,True,False,False,False,False,False,False,False
dio_14ls,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.475439467,0.213333333,-0.262106134,False,dio_text_1dg4vy8,dio_text_1u3qeu8,True,False,False,False,False,False,False,False
dio_14w8,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,carried_raw_space,1,1,0.213333333,0.213333333,0.0,True,dio_text_ppv0li,dio_text_ppv0li,True,False,False,False,False,False,False,False
dio_17xt,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.475437467,0.213333333,-0.262104134,False,dio_text_8wkwtq,dio_text_1wdn09y,True,False,False,False,False,False,False,False
dio_1b8t,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.393768667,0.213333333,-0.180435334,False,dio_text_16u5ej1,dio_text_14s5xad,True,False,False,False,False,False,False,False
dio_1d3k,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.393766267,0.213333333,-0.180432934,False,dio_text_19hwb5v,dio_text_ab0vwf,True,False,False,False,False,False,False,False
dio_1gyr,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.475437467,0.213333333,-0.262104134,False,dio_text_8wkwtq,dio_text_1wdn09y,True,False,False,False,False,False,False,False
dio_1k59,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.393766267,0.213333333,-0.180432934,False,dio_text_1wsyrye,dio_text_2fv6u4,True,False,False,False,False,False,False,False
dio_1mdw,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.393768067,0.213333333,-0.180434734,False,dio_text_1wpbm1s,dio_text_14h967m,True,False,False,False,False,False,False,False
dio_1og2,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.475439467,0.213333333,-0.262106134,False,dio_text_1dg4vy8,dio_text_1u3qeu8,True,False,False,False,False,False,False,False
dio_1szd,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,carried_raw_space,1,1,0.213333333,0.213333333,0.0,True,dio_text_hhfioz,dio_text_hhfioz,True,False,False,False,False,False,False,False
dio_1t1w,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,carried_raw_space,1,1,0.475436667,0.213333333,-0.262103334,False,dio_text_1sfklai,dio_text_139mrrt,True,False,False,False,False,False,False,False
dio_00wl,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,carried_raw_space,1,1,0.206666667,0.206666667,0.0,True,dio_text_1oxe3a7,dio_text_1oxe3a7,True,False,False,False,False,False,False,False
dio_01kq,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,carried_raw_space,1,1,0.206666667,0.206666667,0.0,True,dio_text_n4yben,dio_text_n4yben,True,False,False,False,False,False,False,False
dio_02cr,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_1k7vqpn,dio_text_1k7vqpn,True,False,False,False,False,False,False,False
dio_02ww,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,carried_raw_space,1,1,0.206666667,0.206666667,0.0,True,dio_text_1gnylhs,dio_text_1gnylhs,True,False,False,False,False,False,False,False
dio_037i,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_k8rtsl,dio_text_k8rtsl,True,False,False,False,False,False,False,False
dio_05pr,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_16mtr49,dio_text_16mtr49,True,False,False,False,False,False,False,False
dio_05ue,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,carried_raw_space,1,1,0.206666667,0.206666667,0.0,True,dio_text_1gwoia5,dio_text_1gwoia5,True,False,False,False,False,False,False,False
dio_06v8,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,carried_raw_space,1,1,0.206666667,0.206666667,0.0,True,dio_text_1k3l4kg,dio_text_1k3l4kg,True,False,False,False,False,False,False,False
dio_081d,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_v6pra1,dio_text_v6pra1,True,False,False,False,False,False,False,False
dio_098w,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_1swcg9i,dio_text_1swcg9i,True,False,False,False,False,False,False,False
dio_0a00,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_1asaq5b,dio_text_1asaq5b,True,False,False,False,False,False,False,False
dio_0a0v,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_1rzm35l,dio_text_1rzm35l,True,False,False,False,False,False,False,False
dio_0bhg,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,carried_raw_space,1,1,0.206666667,0.206666667,0.0,True,dio_text_rg01ur,dio_text_rg01ur,True,False,False,False,False,False,False,False
dio_0bzr,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_lkh0hi,dio_text_lkh0hi,True,False,False,False,False,False,False,False
dio_0fch,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_1gh6i8d,dio_text_1gh6i8d,True,False,False,False,False,False,False,False
dio_0fon,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_1es4uh3,dio_text_1es4uh3,True,False,False,False,False,False,False,False
dio_0fvb,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_16inwym,dio_text_16inwym,True,False,False,False,False,False,False,False
dio_0ghz,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,carried_raw_space,1,1,0.206666667,0.206666667,0.0,True,dio_text_4zlfdv,dio_text_4zlfdv,True,False,False,False,False,False,False,False
dio_0h67,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_qypegb,dio_text_qypegb,True,False,False,False,False,False,False,False
dio_0h8k,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_3n3v6t,dio_text_3n3v6t,True,False,False,False,False,False,False,False
dio_0inm,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_16jvunu,dio_text_16jvunu,True,False,False,False,False,False,False,False
dio_0jdy,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,carried_raw_space,1,1,0.206666667,0.206666667,0.0,True,dio_text_1v3fw9d,dio_text_1v3fw9d,True,False,False,False,False,False,False,False
dio_0jgl,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_1w0ccp,dio_text_1w0ccp,True,False,False,False,False,False,False,False
dio_0jhl,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_1cgwgm,dio_text_1cgwgm,True,False,False,False,False,False,False,False
dio_0juh,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_1xpijr,dio_text_1xpijr,True,False,False,False,False,False,False,False
dio_0l9d,category_shift_anchor,recurrent_category_shift_family,soft_variation_space,new_raw_extension,1,1,0.5275858,0.206666667,-0.320919133,False,dio_text_15hzmqv,dio_text_qtr0m5,True,False,False,False,False,False,False,False
dio_0mdk,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,carried_raw_space,1,1,0.206666667,0.206666667,0.0,True,dio_text_1j4naiy,dio_text_1j4naiy,True,False,False,False,False,False,False,False
dio_0mlx,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,carried_raw_space,1,1,0.206666667,0.206666667,0.0,True,dio_text_1nb8rj3,dio_text_1nb8rj3,True,False,False,False,False,False,False,False
dio_0n1z,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_j5ifpp,dio_text_j5ifpp,True,False,False,False,False,False,False,False
dio_0nwm,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_mkk94q,dio_text_mkk94q,True,False,False,False,False,False,False,False
dio_0o30,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_xqtcje,dio_text_xqtcje,True,False,False,False,False,False,False,False
dio_0oic,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_13vvpp5,dio_text_13vvpp5,True,False,False,False,False,False,False,False
dio_0pam,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_1i95c1i,dio_text_1i95c1i,True,False,False,False,False,False,False,False
dio_0pkw,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,carried_raw_space,1,1,0.206666667,0.206666667,0.0,True,dio_text_1fi99b2,dio_text_1fi99b2,True,False,False,False,False,False,False,False
dio_0pl4,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_wwblqc,dio_text_wwblqc,True,False,False,False,False,False,False,False
dio_0qsr,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_bfyz2y,dio_text_bfyz2y,True,False,False,False,False,False,False,False
dio_0qwb,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_c29c6,dio_text_c29c6,True,False,False,False,False,False,False,False
dio_0rwq,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_12o524i,dio_text_12o524i,True,False,False,False,False,False,False,False
dio_0u87,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_1dt6aka,dio_text_1dt6aka,True,False,False,False,False,False,False,False
dio_0vqe,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_1u9hanc,dio_text_1u9hanc,True,False,False,False,False,False,False,False
dio_0vtu,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_1qx4381,dio_text_1qx4381,True,False,False,False,False,False,False,False
dio_0w05,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_1yy7b02,dio_text_1yy7b02,True,False,False,False,False,False,False,False
dio_0wdq,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_n3vo3e,dio_text_n3vo3e,True,False,False,False,False,False,False,False
dio_0we7,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_1375gtt,dio_text_1375gtt,True,False,False,False,False,False,False,False
dio_0wsf,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_c8iucg,dio_text_c8iucg,True,False,False,False,False,False,False,False
dio_0wsp,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,carried_raw_space,1,1,0.206666667,0.206666667,0.0,True,dio_text_ica3lu,dio_text_ica3lu,True,False,False,False,False,False,False,False
dio_0ww2,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_xc1928,dio_text_xc1928,True,False,False,False,False,False,False,False
dio_0x0x,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_la9544,dio_text_la9544,True,False,False,False,False,False,False,False
dio_0x86,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_564ra6,dio_text_564ra6,True,False,False,False,False,False,False,False
dio_0ycr,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_1dm1pbm,dio_text_1dm1pbm,True,False,False,False,False,False,False,False
dio_0ye9,category_shift_anchor,recurrent_category_shift_family,new_raw_extension,carried_raw_space,1,1,0.206666667,0.206666667,0.0,True,dio_text_1yf1lcl,dio_text_1yf1lcl,True,False,False,False,False,False,False,False
dio_0zmc,category_shift_anchor,recurrent_category_shift_family,stable_core,carried_raw_space,1,1,0.482839133,0.206666667,-0.276172466,True,dio_text_8y31ii,dio_text_8y31ii,True,False,False,False,False,False,False,False
