family,action,count,avg_reward,trust,caution,consequence_balance,avg_timing_improvement,carrying_trace,timing_residue,timing_to_carrying
dio_066x,LONG,3,0.216702,0.047959,0.0,0.047959,0.0,0.010393,0.0,0.0
dio_1ieq,LONG,4,0.179626,0.050943,0.0,0.050943,0.0,0.009151,0.0,0.0
dio_07mf,LONG,4,0.169627,0.048108,0.0,0.048108,0.0,0.00816,0.0,0.0
dio_13ey,LONG,2,0.207837,0.031924,0.0,0.031924,0.0,0.006635,0.0,0.0
dio_0309,SHORT,2,0.205999,0.031641,0.0,0.031641,0.0,0.006518,0.0,0.0
dio_0iy2,LONG,3,0.151414,0.03351,0.0,0.03351,0.0,0.005074,0.0,0.0
dio_08wa,LONG,4,0.132496,0.037577,0.0,0.037577,0.0,0.004979,0.0,0.0
dio_0d07,LONG,2,0.151499,0.02327,0.0,0.02327,0.0,0.003525,0.0,0.0
dio_0rh0,SHORT,4,0.106638,0.030243,0.0,0.030243,0.0,0.003225,0.0,0.0
dio_0r8e,LONG,1,0.198794,0.015904,0.0,0.015904,0.0,0.003162,0.0,0.0
dio_1v23,LONG,4,0.094997,0.026942,0.0,0.026942,0.0,0.002559,0.0,0.0
dio_00eh,LONG,2,0.127131,0.019527,0.0,0.019527,0.0,0.002482,0.0,0.0
dio_01nf,LONG,4,0.085622,0.024283,0.0,0.024283,0.0,0.002079,0.0,0.0
dio_01xf,LONG,2,0.112072,0.017214,0.0,0.017214,0.0,0.001929,0.0,0.0
dio_18iw,SHORT,3,0.091755,0.020306,0.0,0.020306,0.0,0.001863,0.0,0.0
dio_00eh,SHORT,5,0.143564,0.070059,0.060361,0.009698,0.001033,0.001392,0.001033,0.741947
dio_1at7,SHORT,2,0.093779,0.014405,0.0,0.014405,0.0,0.001351,0.0,0.0
dio_018g,LONG,1,0.127131,0.010171,0.0,0.010171,0.0,0.001293,0.0,0.0
dio_0z1h,LONG,8,0.046893,0.022827,0.0,0.022827,0.0,0.00107,0.0,0.0
dio_0mp4,SHORT,1,0.112888,0.009031,0.0,0.009031,0.0,0.001019,0.0,0.0
dio_151h,LONG,4,0.045013,0.012766,0.0,0.012766,0.0,0.000575,0.0,0.0
dio_0nvr,SHORT,2,0.057016,0.008758,0.0,0.008758,0.0,0.000499,0.0,0.0
dio_1j78,LONG,2,0.048186,0.007401,0.0,0.007401,0.0,0.000357,0.0,0.0
dio_0knp,LONG,3,0.026829,0.005938,0.0,0.005938,0.0,0.000159,0.0,0.0
dio_1h37,LONG,5,0.009802,0.003342,0.0,0.003342,0.0,3.3e-05,0.0,0.0
dio_0qb3,LONG,4,0.010543,0.00299,0.0,0.00299,0.0,3.2e-05,0.0,0.0
