family_relation,reference_family,variant_family,episodes,variant_probes,same_action_rate,avg_sense_abs_delta_sum,dominant_semantic_state,semantic_states
dio_0x52->dio_1jgc,dio_0x52,dio_1jgc,2,24:2,1.0,0.051907,signaturvariante_gleicher_sinnnaehe,signaturvariante_gleicher_sinnnaehe:2
dio_0x52->dio_1rv1,dio_0x52,dio_1rv1,4,23:2;26:2,1.0,0.01849825,feine_signaturverschiebung,feine_signaturverschiebung:2;signaturvariante_gleicher_sinnnaehe:2
dio_1215->dio_00ha,dio_1215,dio_00ha,2,23:2,1.0,0.3776235,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2
dio_1215->dio_0wsp,dio_1215,dio_0wsp,2,20:2,1.0,0.1344335,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2
dio_1215->dio_13p1,dio_1215,dio_13p1,2,24:2,1.0,0.2122985,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2
dio_1215->dio_1t1w,dio_1215,dio_1t1w,6,21:2;22:2;26:2,1.0,0.113886,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:4;signaturvariante_gleicher_sinnnaehe:2
dio_15gs->dio_0cmg,dio_15gs,dio_0cmg,2,21:2,1.0,0.2784335,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2
dio_15gs->dio_0z8c,dio_15gs,dio_0z8c,2,23:2,1.0,0.2525955,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2
dio_15gs->dio_14c1,dio_15gs,dio_14c1,4,24:2;26:2,1.0,0.1352875,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:4
dio_15gs->dio_15gs,dio_15gs,dio_15gs,4,20:2;22:2,1.0,0.02875875,wiedererkennung_stabil,wiedererkennung_stabil:4
dio_19mp->dio_09od,dio_19mp,dio_09od,2,21:2,1.0,0.0614975,signaturvariante_gleicher_sinnnaehe,signaturvariante_gleicher_sinnnaehe:2
dio_19mp->dio_0jhl,dio_19mp,dio_0jhl,2,23:2,1.0,0.291675,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2
dio_19mp->dio_0kjn,dio_19mp,dio_0kjn,6,20:2;22:2;24:2,1.0,0.143375333,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:6
dio_19mp->dio_19mp,dio_19mp,dio_19mp,2,26:2,1.0,0.031705,wiedererkennung_stabil,wiedererkennung_stabil:2
dio_1aqj->dio_05c5,dio_1aqj,dio_05c5,2,23:2,1.0,1.98892,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2
dio_1aqj->dio_0p55,dio_1aqj,dio_0p55,2,24:2,1.0,0.06314,signaturvariante_gleicher_sinnnaehe,signaturvariante_gleicher_sinnnaehe:2
dio_1aqj->dio_0q96,dio_1aqj,dio_0q96,2,21:2,1.0,0.032007,signaturvariante_gleicher_sinnnaehe,signaturvariante_gleicher_sinnnaehe:2
dio_1aqj->dio_0u8f,dio_1aqj,dio_0u8f,4,20:2;22:2,1.0,0.0664475,signaturvariante_gleicher_sinnnaehe,signaturvariante_gleicher_sinnnaehe:4
dio_1aqj->dio_1jba,dio_1aqj,dio_1jba,2,26:2,1.0,0.01993,feine_signaturverschiebung,feine_signaturverschiebung:2
dio_1bwy->dio_0jhl,dio_1bwy,dio_0jhl,8,20:2;21:2;22:2;24:2,1.0,0.0388235,feine_signaturverschiebung,feine_signaturverschiebung:4;ferne_verwandtschaft_gleicher_richtung:2;signaturvariante_gleicher_sinnnaehe:2
dio_1bwy->dio_0s84,dio_1bwy,dio_0s84,2,26:2,1.0,0.0333805,signaturvariante_gleicher_sinnnaehe,signaturvariante_gleicher_sinnnaehe:2
dio_1bwy->dio_1gv7,dio_1bwy,dio_1gv7,2,23:2,0.0,2.097083,neues_praebewusstes_muster,neues_praebewusstes_muster:2
dio_1ekt->dio_08l0,dio_1ekt,dio_08l0,2,23:2,1.0,2.07389,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2
dio_1ekt->dio_1ekt,dio_1ekt,dio_1ekt,10,20:2;21:2;22:2;24:2;26:2,1.0,0.0579994,wiedererkennung_stabil,wiedererkennung_stabil:10
dio_1hs5->dio_0azl,dio_1hs5,dio_0azl,2,23:2,0.0,2.178332,neues_praebewusstes_muster,neues_praebewusstes_muster:2
dio_1hs5->dio_0wvp,dio_1hs5,dio_0wvp,6,20:2;22:2;24:2,1.0,0.022207,signaturvariante_gleicher_sinnnaehe,feine_signaturverschiebung:2;signaturvariante_gleicher_sinnnaehe:4
dio_1hs5->dio_1hs5,dio_1hs5,dio_1hs5,2,26:2,1.0,0.0097025,wiedererkennung_stabil,wiedererkennung_stabil:2
dio_1hs5->dio_1vlc,dio_1hs5,dio_1vlc,2,21:2,1.0,0.0672775,signaturvariante_gleicher_sinnnaehe,signaturvariante_gleicher_sinnnaehe:2
dio_1lno->dio_0hd3,dio_1lno,dio_0hd3,2,22:2,0.0,0.085112,neues_praebewusstes_muster,neues_praebewusstes_muster:2
dio_1lno->dio_12xn,dio_1lno,dio_12xn,2,23:2,0.0,0.2920835,neues_praebewusstes_muster,neues_praebewusstes_muster:2
dio_1lno->dio_1935,dio_1lno,dio_1935,6,20:2;21:2;24:2,0.0,0.085677833,neues_praebewusstes_muster,neues_praebewusstes_muster:6
dio_1lno->dio_1ldo,dio_1lno,dio_1ldo,2,26:2,1.0,0.0408125,signaturvariante_gleicher_sinnnaehe,signaturvariante_gleicher_sinnnaehe:2
dio_1mrs->dio_06gy,dio_1mrs,dio_06gy,2,21:2,1.0,0.4177595,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2
dio_1mrs->dio_11ex,dio_1mrs,dio_11ex,4,20:2;24:2,1.0,0.108405,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:4
dio_1mrs->dio_1nvu,dio_1mrs,dio_1nvu,4,22:2;26:2,1.0,0.0470195,signaturvariante_gleicher_sinnnaehe,signaturvariante_gleicher_sinnnaehe:4
dio_1mrs->dio_1qpi,dio_1mrs,dio_1qpi,2,23:2,1.0,0.229986,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2
dio_1noq->dio_08l0,dio_1noq,dio_08l0,2,20:2,1.0,0.043525,signaturvariante_gleicher_sinnnaehe,signaturvariante_gleicher_sinnnaehe:2
dio_1noq->dio_0brc,dio_1noq,dio_0brc,2,24:2,1.0,0.0294085,signaturvariante_gleicher_sinnnaehe,signaturvariante_gleicher_sinnnaehe:2
dio_1noq->dio_1d0v,dio_1noq,dio_1d0v,2,22:2,1.0,0.0533265,signaturvariante_gleicher_sinnnaehe,signaturvariante_gleicher_sinnnaehe:2
dio_1noq->dio_1ff0,dio_1noq,dio_1ff0,2,26:2,1.0,0.0277695,signaturvariante_gleicher_sinnnaehe,signaturvariante_gleicher_sinnnaehe:2
dio_1noq->dio_1m86,dio_1noq,dio_1m86,2,23:2,1.0,2.027481,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2
dio_1noq->dio_1w3j,dio_1noq,dio_1w3j,2,21:2,1.0,0.1710495,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2
dio_1ull->dio_09dp,dio_1ull,dio_09dp,2,23:2,1.0,0.2251365,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2
dio_1ull->dio_0xo2,dio_1ull,dio_0xo2,2,21:2,1.0,0.2061535,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2
dio_1ull->dio_1kg8,dio_1ull,dio_1kg8,2,24:2,1.0,0.145675,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2
dio_1ull->dio_1ull,dio_1ull,dio_1ull,2,26:2,1.0,0.0205015,wiedererkennung_stabil,wiedererkennung_stabil:2
dio_1ull->dio_1yvr,dio_1ull,dio_1yvr,4,20:2;22:2,1.0,0.10028925,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:4
dio_1xfw->dio_12dn,dio_1xfw,dio_12dn,10,20:2;21:2;22:2;24:2;26:2,1.0,0.0426971,feine_signaturverschiebung,feine_signaturverschiebung:4;ferne_verwandtschaft_gleicher_richtung:2;signaturvariante_gleicher_sinnnaehe:4
dio_1xfw->dio_1hs5,dio_1xfw,dio_1hs5,2,23:2,1.0,2.012006,ferne_verwandtschaft_gleicher_richtung,ferne_verwandtschaft_gleicher_richtung:2
