sentence_symbol,contact_symbol,contact_lage_state,symbol_family,episode_contact_state,count,reward_sum,actions,passive_only
dio_sentence_05t67vl,dio_contact_10rb13a,ferne_aehnlichkeit,dio_0t0v,kontakt_beobachtet_reift,4,0.0,WAIT:4,1
dio_sentence_0quaow8,dio_contact_0w23dz5,exakte_wiederbegegnung,dio_1ayy,kontakt_beobachtet_reift,4,0.0,WAIT:4,1
dio_sentence_0ulyosu,dio_contact_10rb13a,ferne_aehnlichkeit,dio_0ux2,kontakt_beobachtet_reift,4,0.0,WAIT:4,1
dio_sentence_1bj0efa,dio_contact_0w23dz5,exakte_wiederbegegnung,dio_16kb,kontakt_beobachtet_reift,4,0.0,WAIT:4,1
dio_sentence_0043l97,dio_contact_0iicj44,konflikt_wiederbegegnung,dio_1lwc,kontakt_beobachtet_reift,3,0.0,WAIT:3,1
dio_sentence_03m297v,dio_contact_10rb13a,ferne_aehnlichkeit,dio_0klc,kontakt_beobachtet_reift,3,0.0,WAIT:3,1
dio_sentence_03u0kn1,dio_contact_10rb13a,ferne_aehnlichkeit,dio_1qxd,kontakt_ruhend,3,0.0,WAIT:3,1
dio_sentence_05qas06,dio_contact_0iicj44,konflikt_wiederbegegnung,dio_0eji,kontakt_beobachtet_reift,3,0.0,WAIT:3,1
dio_sentence_08g11zh,dio_contact_10rb13a,ferne_aehnlichkeit,dio_1amw,kontakt_beobachtet_reift,3,0.0,WAIT:3,1
dio_sentence_0kguu8j,dio_contact_10rb13a,ferne_aehnlichkeit,dio_0rsw,kontakt_beobachtet_reift,3,0.0,WAIT:3,1
dio_sentence_0pyv517,dio_contact_10xiwzq,nahe_aehnlichkeit,dio_16kb,kontakt_beobachtet_reift,3,0.0,WAIT:3,1
dio_sentence_0tr8he2,dio_contact_0iicj44,konflikt_wiederbegegnung,dio_1qcm,kontakt_beobachtet_reift,3,0.0,WAIT:3,1
dio_sentence_0vddroi,dio_contact_10rb13a,ferne_aehnlichkeit,dio_06j3,kontakt_beobachtet_reift,3,0.0,WAIT:3,1
dio_sentence_11l7hhu,dio_contact_10rb13a,ferne_aehnlichkeit,dio_1m5f,kontakt_beobachtet_reift,3,0.0,WAIT:3,1
dio_sentence_1383ved,dio_contact_0iicj44,konflikt_wiederbegegnung,dio_1pgm,kontakt_beobachtet_reift,3,0.0,WAIT:3,1
dio_sentence_1bx2brq,dio_contact_10xiwzq,nahe_aehnlichkeit,dio_1l2h,kontakt_beobachtet_reift,3,0.0,WAIT:3,1
dio_sentence_1fvafmh,dio_contact_0iicj44,konflikt_wiederbegegnung,dio_0aam,kontakt_ruhend,3,0.0,WAIT:3,1
dio_sentence_1hagqud,dio_contact_0iicj44,konflikt_wiederbegegnung,dio_1p8p,kontakt_beobachtet_reift,3,0.0,WAIT:3,1
dio_sentence_1igewpc,dio_contact_10rb13a,ferne_aehnlichkeit,dio_1gp1,kontakt_beobachtet_reift,3,0.0,WAIT:3,1
dio_sentence_1jljzgz,dio_contact_0w23dz5,exakte_wiederbegegnung,dio_1l2h,kontakt_beobachtet_reift,3,0.0,WAIT:3,1
dio_sentence_1l1kmct,dio_contact_10rb13a,ferne_aehnlichkeit,dio_0y4s,kontakt_beobachtet_reift,3,0.0,WAIT:3,1
dio_sentence_1n0j5ci,dio_contact_0iicj44,konflikt_wiederbegegnung,dio_18j3,kontakt_beobachtet_reift,3,0.0,WAIT:3,1
dio_sentence_1q5iqa1,dio_contact_0iicj44,konflikt_wiederbegegnung,dio_1qyj,kontakt_beobachtet_reift,3,0.0,WAIT:3,1
dio_sentence_1rlnyhd,dio_contact_0iicj44,konflikt_wiederbegegnung,dio_02az,kontakt_beobachtet_reift,3,0.0,WAIT:3,1
dio_sentence_1shhfwx,dio_contact_0iicj44,konflikt_wiederbegegnung,dio_1985,kontakt_beobachtet_reift,3,0.0,WAIT:3,1
dio_sentence_1skbyg7,dio_contact_0iicj44,konflikt_wiederbegegnung,dio_0hli,kontakt_beobachtet_reift,3,0.0,WAIT:3,1
dio_sentence_1ss4xbn,dio_contact_0iicj44,konflikt_wiederbegegnung,dio_124d,kontakt_beobachtet_reift,3,0.0,WAIT:3,1
dio_sentence_1vxq5h4,dio_contact_0iicj44,konflikt_wiederbegegnung,dio_0aib,kontakt_beobachtet_reift,3,0.0,WAIT:3,1
dio_sentence_1yigy3t,dio_contact_10rb13a,ferne_aehnlichkeit,dio_0c1f,kontakt_beobachtet_reift,3,0.0,WAIT:3,1
dio_sentence_01gjeb5,dio_contact_10rb13a,ferne_aehnlichkeit,dio_14av,kontakt_beobachtet_reift,2,0.0,WAIT:2,1
dio_sentence_03j2qqw,dio_contact_10rb13a,ferne_aehnlichkeit,dio_0bcj,kontakt_beobachtet_reift,2,0.0,WAIT:2,1
dio_sentence_0835rab,dio_contact_10rb13a,ferne_aehnlichkeit,dio_1tqx,kontakt_beobachtet_reift,2,0.0,WAIT:2,1
dio_sentence_0pueia5,dio_contact_10rb13a,ferne_aehnlichkeit,dio_1tmf,kontakt_beobachtet_reift,2,0.0,WAIT:2,1
dio_sentence_0unjel3,dio_contact_10rb13a,ferne_aehnlichkeit,dio_1hjm,kontakt_beobachtet_reift,2,0.0,WAIT:2,1
dio_sentence_0wbn9f5,dio_contact_10rb13a,ferne_aehnlichkeit,dio_04iy,kontakt_beobachtet_reift,2,0.0,WAIT:2,1
dio_sentence_1fu4vfi,dio_contact_10rb13a,ferne_aehnlichkeit,dio_14ku,kontakt_beobachtet_reift,2,0.0,WAIT:2,1
dio_sentence_1ubo2w2,dio_contact_10rb13a,ferne_aehnlichkeit,dio_15a2,kontakt_beobachtet_reift,2,0.0,WAIT:2,1
dio_sentence_0npo3k8,dio_contact_10xiwzq,nahe_aehnlichkeit,dio_1361,kontakt_beobachtet_reift,1,0.0,WAIT:1,1
dio_sentence_1a4yk67,dio_contact_0iicj44,konflikt_wiederbegegnung,dio_1rsi,kontakt_beobachtet_reift,1,0.0,WAIT:1,1
dio_sentence_1d4gvqt,dio_contact_0w23dz5,exakte_wiederbegegnung,dio_0szn,kontakt_beobachtet_reift,1,0.0,WAIT:1,1
dio_sentence_1irwlh3,dio_contact_10rb13a,ferne_aehnlichkeit,dio_05cx,kontakt_beobachtet_reift,1,0.0,WAIT:1,1
dio_sentence_0sxgj20,dio_contact_0iicj44,konflikt_wiederbegegnung,dio_0wv3,kontakt_handlung_belastet,3,-5.29002,LONG:3,1
