symbol_family,observation_count,family_stability_state,class_counts,direction_counts,dominant_direction,avg_afterlook_best_reward,avg_reflection_carry,avg_world_carry,passive_only,read_by_mini_dio,influences_action,is_gate,is_motoric,is_future_teacher
dio_0hd3,2,family_stably_overcautious_carried,"{""overcautious_carried_context"": 2}","{""SHORT"": 2}",SHORT,1.0,0.30749825,0.279867,True,False,False,False,False,False
dio_0izw,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""SHORT"": 1}",SHORT,1.0,0.2273665,0.0,True,False,False,False,False,False
dio_0jco,1,family_stably_overcautious_carried,"{""overcautious_carried_context"": 1}","{""SHORT"": 1}",SHORT,1.0,0.2686865,0.0,True,False,False,False,False,False
dio_0n45,1,family_stably_overcautious_carried,"{""overcautious_carried_context"": 1}","{""LONG"": 1}",LONG,0.242291,0.2611625,0.0,True,False,False,False,False,False
dio_0n9e,1,family_stably_acted_carried,"{""acted_carried"": 1}","{""LONG"": 1}",LONG,1.0,0.2135575,0.0,True,False,False,False,False,False
dio_0ojr,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""SHORT"": 1}",SHORT,1.0,0.132691,0.0,True,False,False,False,False,False
dio_0qze,2,family_stably_overcautious_carried,"{""overcautious_carried_context"": 2}","{""LONG"": 2}",LONG,1.0,0.31068075,0.27362200000000003,True,False,False,False,False,False
dio_0rb2,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""SHORT"": 1}",SHORT,1.0,0.106919,0.0,True,False,False,False,False,False
dio_0szn,2,family_stably_cautious_potential,"{""cautious_potential"": 2}","{""SHORT"": 2}",SHORT,1.0,0.22942449999999998,0.0,True,False,False,False,False,False
dio_0u1i,3,family_context_switches_action_and_withholding,"{""acted_carried"": 2, ""overcautious_carried_context"": 1}","{""SHORT"": 3}",SHORT,1.0,0.2903091666666667,0.27578366666666665,True,False,False,False,False,False
dio_0u8u,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""SHORT"": 1}",SHORT,1.0,0.22961,0.0,True,False,False,False,False,False
dio_0ufv,1,family_stably_overcautious_carried,"{""overcautious_carried_context"": 1}","{""LONG"": 1}",LONG,0.36855,0.26365,0.0,True,False,False,False,False,False
dio_0vc8,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""SHORT"": 1}",SHORT,0.438144,0.1300035,0.0,True,False,False,False,False,False
dio_0x52,2,family_stably_overcautious_carried,"{""overcautious_carried_context"": 2}","{""LONG"": 2}",LONG,1.0,0.30972125,0.0,True,False,False,False,False,False
dio_0xpt,1,family_stably_overcautious_carried,"{""overcautious_carried_context"": 1}","{""SHORT"": 1}",SHORT,1.0,0.262003,0.0,True,False,False,False,False,False
dio_0y8w,1,family_stably_overcautious_carried,"{""overcautious_carried_context"": 1}","{""LONG"": 1}",LONG,1.0,0.2930075,0.0,True,False,False,False,False,False
dio_10dk,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""SHORT"": 1}",SHORT,1.0,0.1840545,0.0,True,False,False,False,False,False
dio_10kx,1,family_stably_open_potential,"{""open_potential"": 1}","{""SHORT"": 1}",SHORT,1.0,0.1416645,0.217393,True,False,False,False,False,False
dio_12jm,3,family_stably_overcautious_carried,"{""overcautious_carried_context"": 3}","{""LONG"": 3}",LONG,1.0,0.27160483333333335,0.0,True,False,False,False,False,False
dio_1361,1,family_stably_overcautious_carried,"{""overcautious_carried_context"": 1}","{""LONG"": 1}",LONG,1.0,0.2646735,0.0,True,False,False,False,False,False
dio_13u8,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""LONG"": 1}",LONG,1.0,0.210538,0.0,True,False,False,False,False,False
dio_13zu,1,family_stably_overcautious_carried,"{""overcautious_carried_context"": 1}","{""LONG"": 1}",LONG,0.023364,0.312459,0.0,True,False,False,False,False,False
dio_143d,2,family_stably_cautious_potential,"{""cautious_potential"": 2}","{""LONG"": 2}",LONG,0.307004,0.23970249999999999,0.0,True,False,False,False,False,False
dio_14eb,1,family_stably_overcautious_carried,"{""overcautious_carried_context"": 1}","{""SHORT"": 1}",SHORT,1.0,0.301077,0.278254,True,False,False,False,False,False
dio_14i8,1,family_stably_overcautious_carried,"{""overcautious_carried_context"": 1}","{""SHORT"": 1}",SHORT,1.0,0.260666,0.0,True,False,False,False,False,False
dio_14jl,3,family_stably_cautious_potential,"{""cautious_potential"": 3}","{""LONG"": 3}",LONG,0.7205373333333334,0.22331516666666668,0.0,True,False,False,False,False,False
dio_15ms,1,family_stably_overcautious_carried,"{""overcautious_carried_context"": 1}","{""SHORT"": 1}",SHORT,1.0,0.26107,0.0,True,False,False,False,False,False
dio_16yc,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""SHORT"": 1}",SHORT,1.0,0.1580165,0.0,True,False,False,False,False,False
dio_173s,2,family_context_dependent_withholding,"{""cautious_potential"": 1, ""overcautious_carried_context"": 1}","{""SHORT"": 2}",SHORT,1.0,0.260066,0.0,True,False,False,False,False,False
dio_199c,2,family_stably_overcautious_carried,"{""overcautious_carried_context"": 2}","{""LONG"": 2}",LONG,1.0,0.30158850000000004,0.27119150000000003,True,False,False,False,False,False
dio_1ayy,1,family_stably_overcautious_carried,"{""overcautious_carried_context"": 1}","{""LONG"": 1}",LONG,1.0,0.301539,0.276681,True,False,False,False,False,False
dio_1c6b,1,family_stably_open_potential,"{""open_potential"": 1}","{""SHORT"": 1}",SHORT,1.0,0.25464,0.0,True,False,False,False,False,False
dio_1d1z,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""SHORT"": 1}",SHORT,1.0,0.1581575,0.0,True,False,False,False,False,False
dio_1d3r,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""SHORT"": 1}",SHORT,1.0,0.2023375,0.0,True,False,False,False,False,False
dio_1d8w,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""LONG"": 1}",LONG,1.0,0.257405,0.0,True,False,False,False,False,False
dio_1f4v,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""SHORT"": 1}",SHORT,1.0,0.1028725,0.0,True,False,False,False,False,False
dio_1f9y,1,family_stably_open_potential,"{""open_potential"": 1}","{""LONG"": 1}",LONG,1.0,0.2566595,0.279324,True,False,False,False,False,False
dio_1g18,2,family_stably_cautious_potential,"{""cautious_potential"": 2}","{""SHORT"": 2}",SHORT,1.0,0.2332845,0.0,True,False,False,False,False,False
dio_1g2t,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""SHORT"": 1}",SHORT,1.0,0.1864245,0.0,True,False,False,False,False,False
dio_1g7l,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""SHORT"": 1}",SHORT,1.0,0.100925,0.0,True,False,False,False,False,False
dio_1guc,4,family_stably_overcautious_carried,"{""overcautious_carried_context"": 4}","{""LONG"": 4}",LONG,1.0,0.30208225,0.0,True,False,False,False,False,False
dio_1gxl,2,family_stably_overcautious_carried,"{""overcautious_carried_context"": 2}","{""SHORT"": 2}",SHORT,1.0,0.25730699999999995,0.0,True,False,False,False,False,False
dio_1jn5,1,family_stably_overcautious_carried,"{""overcautious_carried_context"": 1}","{""LONG"": 1}",LONG,1.0,0.258466,0.0,True,False,False,False,False,False
dio_1jo7,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""SHORT"": 1}",SHORT,0.541401,0.0985345,0.0,True,False,False,False,False,False
dio_1k0r,1,family_stably_open_potential,"{""open_potential"": 1}","{""SHORT"": 1}",SHORT,1.0,0.143785,0.249606,True,False,False,False,False,False
dio_1k7y,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""LONG"": 1}",LONG,1.0,0.204766,0.0,True,False,False,False,False,False
dio_1k8m,1,family_stably_overcautious_carried,"{""overcautious_carried_context"": 1}","{""LONG"": 1}",LONG,1.0,0.3172685,0.27067,True,False,False,False,False,False
dio_1m4n,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""SHORT"": 1}",SHORT,1.0,0.238926,0.0,True,False,False,False,False,False
dio_1mpo,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""SHORT"": 1}",SHORT,1.0,0.2206525,0.0,True,False,False,False,False,False
dio_1mx2,1,family_stably_overcautious_carried,"{""overcautious_carried_context"": 1}","{""LONG"": 1}",LONG,1.0,0.2989975,0.275835,True,False,False,False,False,False
dio_1pfo,2,family_stably_overcautious_carried,"{""overcautious_carried_context"": 2}","{""LONG"": 2}",LONG,0.0610015,0.300628,0.276031,True,False,False,False,False,False
dio_1q9b,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""SHORT"": 1}",SHORT,1.0,0.102764,0.0,True,False,False,False,False,False
dio_1qig,1,family_stably_open_potential,"{""open_potential"": 1}","{""LONG"": 1}",LONG,1.0,0.183022,0.182286,True,False,False,False,False,False
dio_1qwp,1,family_stably_open_potential,"{""open_potential"": 1}","{""LONG"": 1}",LONG,1.0,0.2549995,0.279482,True,False,False,False,False,False
dio_1rv1,1,family_stably_overcautious_carried,"{""overcautious_carried_context"": 1}","{""LONG"": 1}",LONG,1.0,0.3085865,0.0,True,False,False,False,False,False
dio_1t1w,1,family_stably_overcautious_carried,"{""overcautious_carried_context"": 1}","{""LONG"": 1}",LONG,1.0,0.293994,0.0,True,False,False,False,False,False
dio_1t73,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""SHORT"": 1}",SHORT,1.0,0.1361955,0.0,True,False,False,False,False,False
dio_1txv,1,family_stably_open_potential,"{""open_potential"": 1}","{""SHORT"": 1}",SHORT,1.0,0.253938,0.0,True,False,False,False,False,False
dio_1uv4,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""LONG"": 1}",LONG,1.0,0.267394,0.0,True,False,False,False,False,False
dio_1vjg,1,family_stably_open_potential,"{""open_potential"": 1}","{""LONG"": 1}",LONG,1.0,0.1830575,0.203678,True,False,False,False,False,False
dio_1vpi,1,family_stably_acted_carried,"{""acted_carried"": 1}","{""SHORT"": 1}",SHORT,1.0,0.2174365,0.277654,True,False,False,False,False,False
dio_1w4m,1,family_stably_cautious_potential,"{""cautious_potential"": 1}","{""MIXED"": 1}",MIXED,0.745399,0.16245025,0.0,True,False,False,False,False,False
dio_1wie,2,family_stably_overcautious_carried,"{""overcautious_carried_context"": 2}","{""SHORT"": 2}",SHORT,1.0,0.277744,0.0,True,False,False,False,False,False
