run,tick,symbol_family,recurrence_context_state,timestamp_ms,symbol,action,best_action_training,outcome_event,recurrence_maturity_symbol,candidate_passive_reife_state,candidate_meaning_preservation_rate,candidate_stable_recurrence_rate,candidate_variant_capacity_rate,candidate_temporal_fragility,candidate_conflict_or_new_rate,current_observation_learning_pressure,current_trade_readiness,current_reflection_alignment,current_mcm_coherence,current_mcm_tension,context_note,passive_only,writes_training_memory,read_by_mini_dio,influences_action,is_gate,is_motoric
dio_mini_lauf_1,11,dio_12dn,recurrence_context_unknown,1767563300000000,dio_12dnns3,WAIT,LONG,NO_TRADE,-,-,0.0,0.0,0.0,0.0,0.0,0.407381,0.0,0.807412,0.369061,0.254875,dio_12dn: keine passive Wiederkehrspur gefunden; nur beobachten.,1,0,0,0,0,0
dio_mini_lauf_1,12,dio_1r1g,recurrence_context_unknown,1767563600000000,dio_1r1gnnh,WAIT,LONG,NO_TRADE,-,-,0.0,0.0,0.0,0.0,0.0,0.333483,0.0,0.827097,0.299194,0.325209,dio_1r1g: keine passive Wiederkehrspur gefunden; nur beobachten.,1,0,0,0,0,0
dio_mini_lauf_1,13,dio_1ff0,recurrence_context_unknown,1767563900000000,dio_1ff06cr,WAIT,LONG,NO_TRADE,-,-,0.0,0.0,0.0,0.0,0.0,0.232866,0.0,0.869214,-0.256571,0.176888,dio_1ff0: keine passive Wiederkehrspur gefunden; nur beobachten.,1,0,0,0,0,0
dio_mini_lauf_1,14,dio_1ekt,recurrence_context_meaning_near,1767564200000000,dio_1ektc46,WAIT,LONG,NO_TRADE,dio_recur_1i4j2mq,sinnnah_variantenfaehig,1.0,0.833333,0.166667,1.0,0.0,0.430306,0.0,0.799813,0.371464,0.272932,"dio_1ekt: sinnnah_variantenfaehig; Sinn-Erhalt=1.000000; stabile Wiederkehr=0.833333; Zeitfragilitaet=1.000000; passive Kontextlesung, keine Handlung.",1,0,0,0,0,0
dio_mini_lauf_1,15,dio_17ao,recurrence_context_unknown,1767564500000000,dio_17aodmp,WAIT,LONG,NO_TRADE,-,-,0.0,0.0,0.0,0.0,0.0,0.63297,0.0,0.72271,0.925467,0.532792,dio_17ao: keine passive Wiederkehrspur gefunden; nur beobachten.,1,0,0,0,0,0
dio_mini_lauf_1,16,dio_1t1w,recurrence_context_unknown,1767564800000000,dio_1t1wbqf,WAIT,LONG,NO_TRADE,-,-,0.0,0.0,0.0,0.0,0.0,0.577762,0.0,0.74327,0.900864,0.433783,dio_1t1w: keine passive Wiederkehrspur gefunden; nur beobachten.,1,0,0,0,0,0
dio_mini_lauf_1,17,dio_1nvu,recurrence_context_unknown,1767565100000000,dio_1nvu10y,WAIT,LONG,NO_TRADE,-,-,0.0,0.0,0.0,0.0,0.0,0.610033,0.0,0.734458,0.94429,0.407508,dio_1nvu: keine passive Wiederkehrspur gefunden; nur beobachten.,1,0,0,0,0,0
dio_mini_lauf_1,18,dio_1ldo,recurrence_context_unknown,1767565400000000,dio_1ldozlb,WAIT,SHORT,NO_TRADE,-,-,0.0,0.0,0.0,0.0,0.0,0.634482,0.0,0.726742,0.977603,0.413982,dio_1ldo: keine passive Wiederkehrspur gefunden; nur beobachten.,1,0,0,0,0,0
dio_mini_lauf_2,1,dio_1rv1,recurrence_context_unknown,1767560300000000,dio_1rv13no,WAIT,SHORT,NO_TRADE,-,-,0.0,0.0,0.0,0.0,0.0,0.540187,0.007428,0.765123,0.982959,0.083083,dio_1rv1: keine passive Wiederkehrspur gefunden; nur beobachten.,1,0,0,0,0,0
dio_mini_lauf_2,2,dio_1ull,recurrence_context_meaning_near,1767560600000000,dio_1ull2yv,WAIT,SHORT,NO_TRADE,dio_recur_18qky6h,sinnnah_variantenfaehig,1.0,0.166667,0.833333,1.0,0.0,0.212676,0.002924,0.876871,-0.233868,0.104622,"dio_1ull: sinnnah_variantenfaehig; Sinn-Erhalt=1.000000; stabile Wiederkehr=0.166667; Zeitfragilitaet=1.000000; passive Kontextlesung, keine Handlung.",1,0,0,0,0,0
dio_mini_lauf_2,3,dio_14c1,recurrence_context_unknown,1767560900000000,dio_14c1zmg,WAIT,SHORT,NO_TRADE,-,-,0.0,0.0,0.0,0.0,0.0,0.321225,0.004417,0.829917,0.097707,0.356234,dio_14c1: keine passive Wiederkehrspur gefunden; nur beobachten.,1,0,0,0,0,0
dio_mini_lauf_2,4,dio_05k3,recurrence_context_meaning_near,1767561200000000,dio_05k373k,WAIT,LONG,NO_TRADE,dio_recur_x7exs,sinnnah_variantenfaehig,0.833333,0.666667,0.166667,1.0,0.166667,0.408467,0.005616,0.798975,0.289756,0.470591,"dio_05k3: sinnnah_variantenfaehig; Sinn-Erhalt=0.833333; stabile Wiederkehr=0.666667; Zeitfragilitaet=1.000000; passive Kontextlesung, keine Handlung.",1,0,0,0,0,0
dio_mini_lauf_2,5,dio_1tsz,recurrence_context_unknown,1767561500000000,dio_1tszbgb,WAIT,LONG,NO_TRADE,-,-,0.0,0.0,0.0,0.0,0.0,0.62276,0.008563,0.728861,0.992977,0.362566,dio_1tsz: keine passive Wiederkehrspur gefunden; nur beobachten.,1,0,0,0,0,0
dio_mini_lauf_2,6,dio_1jba,recurrence_context_unknown,1767561800000000,dio_1jbaunv,WAIT,LONG,NO_TRADE,-,-,0.0,0.0,0.0,0.0,0.0,0.417723,0.005744,0.798441,0.392717,0.344782,dio_1jba: keine passive Wiederkehrspur gefunden; nur beobachten.,1,0,0,0,0,0
dio_mini_lauf_2,7,dio_0ic5,recurrence_context_unknown,1767562100000000,dio_0ic5er6,WAIT,SHORT,NO_TRADE,-,-,0.0,0.0,0.0,0.0,0.0,0.218907,0.00301,0.873938,-0.209546,0.128454,dio_0ic5: keine passive Wiederkehrspur gefunden; nur beobachten.,1,0,0,0,0,0
dio_mini_lauf_2,8,dio_0s84,recurrence_context_unknown,1767562400000000,dio_0s84lnj,WAIT,SHORT,NO_TRADE,-,-,0.0,0.0,0.0,0.0,0.0,0.4449,0.006117,0.79337,0.395847,0.262513,dio_0s84: keine passive Wiederkehrspur gefunden; nur beobachten.,1,0,0,0,0,0
dio_mini_lauf_2,9,dio_19mp,recurrence_context_meaning_near,1767562700000000,dio_19mpp0p,WAIT,SHORT,NO_TRADE,dio_recur_cslksc,sinnnah_variantenfaehig,1.0,0.166667,0.833333,1.0,0.0,0.431111,0.005928,0.793177,0.372062,0.376867,"dio_19mp: sinnnah_variantenfaehig; Sinn-Erhalt=1.000000; stabile Wiederkehr=0.166667; Zeitfragilitaet=1.000000; passive Kontextlesung, keine Handlung.",1,0,0,0,0,0
dio_mini_lauf_2,10,dio_1hs5,recurrence_context_meaning_near,1767563000000000,dio_1hs5sz6,WAIT,LONG,NO_TRADE,dio_recur_2rlxa4,sinnnah_variantenfaehig,0.833333,0.166667,0.666667,1.0,0.166667,0.222348,0.003057,0.870317,-0.220085,0.194834,"dio_1hs5: sinnnah_variantenfaehig; Sinn-Erhalt=0.833333; stabile Wiederkehr=0.166667; Zeitfragilitaet=1.000000; passive Kontextlesung, keine Handlung.",1,0,0,0,0,0
dio_mini_lauf_2,11,dio_12dn,recurrence_context_unknown,1767563300000000,dio_12dnns3,WAIT,LONG,NO_TRADE,-,-,0.0,0.0,0.0,0.0,0.0,0.407381,0.005601,0.80522,0.369061,0.254875,dio_12dn: keine passive Wiederkehrspur gefunden; nur beobachten.,1,0,0,0,0,0
dio_mini_lauf_2,12,dio_1r1g,recurrence_context_unknown,1767563600000000,dio_1r1gnnh,WAIT,LONG,NO_TRADE,-,-,0.0,0.0,0.0,0.0,0.0,0.333483,0.004585,0.825303,0.299194,0.325209,dio_1r1g: keine passive Wiederkehrspur gefunden; nur beobachten.,1,0,0,0,0,0
dio_mini_lauf_2,13,dio_1ff0,recurrence_context_unknown,1767563900000000,dio_1ff06cr,WAIT,LONG,NO_TRADE,-,-,0.0,0.0,0.0,0.0,0.0,0.232866,0.003202,0.867956,-0.256571,0.176888,dio_1ff0: keine passive Wiederkehrspur gefunden; nur beobachten.,1,0,0,0,0,0
dio_mini_lauf_2,14,dio_1ekt,recurrence_context_meaning_near,1767564200000000,dio_1ektc46,WAIT,LONG,NO_TRADE,dio_recur_1i4j2mq,sinnnah_variantenfaehig,1.0,0.833333,0.166667,1.0,0.0,0.430306,0.005917,0.797498,0.371464,0.272932,"dio_1ekt: sinnnah_variantenfaehig; Sinn-Erhalt=1.000000; stabile Wiederkehr=0.833333; Zeitfragilitaet=1.000000; passive Kontextlesung, keine Handlung.",1,0,0,0,0,0
dio_mini_lauf_2,15,dio_17ao,recurrence_context_unknown,1767564500000000,dio_17aodmp,WAIT,LONG,NO_TRADE,-,-,0.0,0.0,0.0,0.0,0.0,0.63297,0.008703,0.719305,0.925467,0.532792,dio_17ao: keine passive Wiederkehrspur gefunden; nur beobachten.,1,0,0,0,0,0
dio_mini_lauf_2,16,dio_1t1w,recurrence_context_unknown,1767564800000000,dio_1t1wbqf,WAIT,LONG,NO_TRADE,-,-,0.0,0.0,0.0,0.0,0.0,0.577762,0.007944,0.740161,0.900864,0.433783,dio_1t1w: keine passive Wiederkehrspur gefunden; nur beobachten.,1,0,0,0,0,0
dio_mini_lauf_2,17,dio_1nvu,recurrence_context_unknown,1767565100000000,dio_1nvu10y,WAIT,LONG,NO_TRADE,-,-,0.0,0.0,0.0,0.0,0.0,0.610033,0.008388,0.731176,0.94429,0.407508,dio_1nvu: keine passive Wiederkehrspur gefunden; nur beobachten.,1,0,0,0,0,0
dio_mini_lauf_2,18,dio_1ldo,recurrence_context_unknown,1767565400000000,dio_1ldozlb,WAIT,SHORT,NO_TRADE,-,-,0.0,0.0,0.0,0.0,0.0,0.634482,0.008724,0.723346,0.977603,0.413982,dio_1ldo: keine passive Wiederkehrspur gefunden; nur beobachten.,1,0,0,0,0,0
