symbol_family,conflict_state,trace_count,contact_lage_states,episode_contact_states,positive_count,burden_count,positive_reward_sum,burden_reward_sum,total_reward_sum,actions,passive_only
dio_0c1f,form_beobachtungsspur,1,ferne_aehnlichkeit,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:3,1
dio_0hli,form_beobachtungsspur,1,konflikt_wiederbegegnung,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:3,1
dio_0izw,form_beobachtungsspur,1,verschobene_sensorvarianz,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:2,1
dio_0jco,form_beobachtungsspur,1,verschobene_sensorvarianz,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:4,1
dio_0klc,form_beobachtungsspur,1,ferne_aehnlichkeit,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:3,1
dio_0qze,form_beobachtungsspur,1,bestaetigte_sensorvarianz,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:1,1
dio_0rsw,form_beobachtungsspur,1,ferne_aehnlichkeit,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:3,1
dio_0t0v,form_beobachtungsspur,1,ferne_aehnlichkeit,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:4,1
dio_0u1i,form_beobachtungsspur,2,"bestaetigte_sensorvarianz,verschobene_sensorvarianz",kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:3,1
dio_0ux2,form_beobachtungsspur,1,ferne_aehnlichkeit,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:4,1
dio_0y8w,form_beobachtungsspur,1,bestaetigte_sensorvarianz,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:1,1
dio_12jm,form_beobachtungsspur,1,verschobene_sensorvarianz,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:3,1
dio_1361,form_beobachtungsspur,1,nahe_aehnlichkeit,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:1,1
dio_13zu,form_beobachtungsspur,1,verschobene_sensorvarianz,kontakt_ruhend,0,0,0.0,0.0,0.0,WAIT:2,1
dio_14av,form_beobachtungsspur,1,ferne_aehnlichkeit,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:2,1
dio_14jl,form_beobachtungsspur,1,verschobene_sensorvarianz,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:3,1
dio_14ku,form_beobachtungsspur,1,ferne_aehnlichkeit,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:2,1
dio_15a2,form_beobachtungsspur,1,ferne_aehnlichkeit,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:2,1
dio_15ms,form_beobachtungsspur,1,verschobene_sensorvarianz,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:2,1
dio_18j3,form_beobachtungsspur,1,konflikt_wiederbegegnung,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:3,1
dio_1985,form_beobachtungsspur,1,konflikt_wiederbegegnung,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:3,1
dio_199c,form_beobachtungsspur,1,verschobene_sensorvarianz,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:2,1
dio_1amw,form_beobachtungsspur,1,ferne_aehnlichkeit,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:3,1
dio_1ayy,form_beobachtungsspur,3,"bestaetigte_sensorvarianz,exakte_wiederbegegnung,nahe_aehnlichkeit",kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:12,1
dio_1cey,form_beobachtungsspur,1,bestaetigte_sensorvarianz,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:4,1
dio_1g18,form_beobachtungsspur,1,verschobene_sensorvarianz,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:4,1
dio_1guc,form_beobachtungsspur,2,"bestaetigte_sensorvarianz,verschobene_sensorvarianz",kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:3,1
dio_1hjm,form_beobachtungsspur,1,ferne_aehnlichkeit,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:2,1
dio_1jn5,form_beobachtungsspur,1,bestaetigte_sensorvarianz,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:4,1
dio_1k8m,form_beobachtungsspur,1,verschobene_sensorvarianz,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:2,1
dio_1lwc,form_beobachtungsspur,1,konflikt_wiederbegegnung,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:3,1
dio_1m5f,form_beobachtungsspur,1,ferne_aehnlichkeit,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:3,1
dio_1p8p,form_beobachtungsspur,1,konflikt_wiederbegegnung,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:3,1
dio_1pgm,form_beobachtungsspur,1,konflikt_wiederbegegnung,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:3,1
dio_1qcm,form_beobachtungsspur,1,konflikt_wiederbegegnung,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:3,1
dio_1qxd,form_beobachtungsspur,1,ferne_aehnlichkeit,kontakt_ruhend,0,0,0.0,0.0,0.0,WAIT:3,1
dio_1qyj,form_beobachtungsspur,1,konflikt_wiederbegegnung,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:3,1
dio_1rsi,form_beobachtungsspur,1,konflikt_wiederbegegnung,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:1,1
dio_1tqx,form_beobachtungsspur,1,ferne_aehnlichkeit,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:2,1
dio_1uv4,form_beobachtungsspur,1,verschobene_sensorvarianz,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:1,1
dio_1vp3,form_beobachtungsspur,1,verschobene_sensorvarianz,kontakt_beobachtet_reift,0,0,0.0,0.0,0.0,WAIT:2,1
