family,classification,count,symbol_count,action_count,trade_action_count,observation_count,trade_observation_count,reward_sum,observation_reward_sum,trust_sum,caution_sum,net_pressure,max_trust,max_caution,new_since_previous
dio_0nv8,executed_positive_trace,3,1,5,3,2,2,3.826216,1.643595,0.387766,0.0,0.387766,0.387766,0.0,False
dio_1r42,executed_positive_trace,4,1,6,4,2,2,3.75284,1.089534,0.390878,0.0,0.390878,0.390878,0.0,False
dio_14zx,executed_positive_trace,3,1,5,3,2,2,3.743262,1.604255,0.379055,0.0,0.379055,0.379055,0.0,False
dio_1h5i,executed_positive_trace,3,1,5,3,2,2,3.470073,1.487174,0.351391,0.0,0.351391,0.351391,0.0,False
dio_0kpn,executed_positive_trace,13,1,26,13,13,13,3.36208,2.750793,0.175417,0.0,0.175417,0.175417,0.0,False
dio_052z,executed_positive_trace,4,1,6,4,2,2,3.352473,0.973299,0.349178,0.0,0.349178,0.349178,0.0,False
dio_01nr,executed_positive_trace,4,1,7,4,3,3,3.280074,1.586696,0.311475,0.0,0.311475,0.311475,0.0,False
dio_1alf,executed_positive_trace,8,1,12,8,4,4,3.26625,0.948266,0.283593,0.0,0.283593,0.283593,0.0,False
dio_01yf,executed_positive_trace,4,1,6,4,2,2,3.168096,1.056651,0.317694,0.0,0.317694,0.317694,0.0,False
dio_0cn1,executed_positive_trace,4,1,7,4,3,3,3.158092,1.608839,0.291594,0.0,0.291594,0.291594,0.0,False
dio_060l,executed_positive_trace,4,1,7,4,3,3,3.155373,1.607454,0.291343,0.0,0.291343,0.291343,0.0,False
dio_1hzf,executed_positive_trace,3,1,5,3,2,2,3.126937,1.340116,0.316644,0.0,0.316644,0.316644,0.0,False
dio_0lt6,executed_positive_trace,7,1,11,8,3,3,3.079985,0.95872,0.271737,0.034929,0.236808,0.26956,0.034929,False
dio_0thk,executed_positive_trace,4,1,7,4,3,3,3.065276,1.561556,0.283024,0.0,0.283024,0.283024,0.0,False
dio_1uez,executed_positive_trace,3,1,5,3,2,2,3.038674,1.302289,0.307706,0.0,0.307706,0.307706,0.0,False
dio_179o,executed_positive_trace,3,1,5,3,2,2,3.006912,1.288676,0.30449,0.0,0.30449,0.30449,0.0,False
dio_1mc3,executed_positive_trace,3,1,5,3,2,2,2.895896,1.241098,0.293248,0.0,0.293248,0.293248,0.0,False
dio_0v15,executed_positive_trace,8,1,16,8,8,8,2.870594,2.348668,0.174669,0.0,0.174669,0.174669,0.0,False
dio_0ga4,executed_positive_trace,3,1,5,3,2,2,2.846458,1.219911,0.288242,0.0,0.288242,0.288242,0.0,False
dio_15th,executed_positive_trace,3,1,5,3,2,2,2.723361,1.167155,0.275776,0.0,0.275776,0.275776,0.0,False
dio_18jg,executed_positive_trace,8,1,12,8,4,4,2.71737,0.788914,0.235936,0.0,0.235936,0.235936,0.0,False
dio_0nm2,executed_positive_trace,4,1,7,4,3,3,2.713906,1.382556,0.250581,0.0,0.250581,0.250581,0.0,False
dio_1hkr,executed_positive_trace,11,1,15,7,4,4,2.704874,2.050259,0.13715,0.0,0.13715,0.13715,0.0,False
dio_0odx,executed_positive_trace,13,1,19,13,6,6,2.682806,0.70326,0.189463,0.0,0.189463,0.189463,0.0,False
dio_1tzc,executed_positive_trace,3,1,5,3,2,2,2.600827,1.11464,0.263368,0.0,0.263368,0.263368,0.0,False
dio_1ax9,executed_positive_trace,3,1,5,3,2,2,2.599156,1.113924,0.263199,0.0,0.263199,0.263199,0.0,False
dio_1erd,executed_positive_trace,4,1,7,4,3,3,2.594396,1.321673,0.239547,0.0,0.239547,0.239547,0.0,False
dio_0uct,executed_positive_trace,4,1,7,4,3,3,2.534359,1.291089,0.234003,0.0,0.234003,0.234003,0.0,False
dio_1sxo,executed_positive_trace,4,1,7,4,3,3,2.522153,1.250443,0.236396,0.0,0.236396,0.236396,0.0,False
dio_0wv3,executed_positive_trace,4,1,7,4,3,3,2.511392,1.279388,0.231883,0.0,0.231883,0.231883,0.0,False
dio_1e6y,executed_positive_trace,4,1,7,4,3,3,2.494851,1.270962,0.230355,0.0,0.230355,0.230355,0.0,False
dio_0v7w,executed_positive_trace,3,1,6,3,3,3,2.480788,2.029736,0.183009,0.0,0.183009,0.183009,0.0,False
dio_1kqv,executed_positive_trace,20,1,40,20,20,20,2.440962,1.997151,0.09768,0.0,0.09768,0.09768,0.0,False
dio_05z6,executed_positive_trace,4,1,7,4,3,3,2.387783,1.216418,0.22047,0.0,0.22047,0.22047,0.0,False
dio_1y2t,executed_positive_trace,8,1,16,8,8,8,2.347782,1.920912,0.142857,0.0,0.142857,0.142857,0.0,False
dio_0fp8,executed_positive_trace,4,1,7,4,3,3,2.11141,1.075624,0.194951,0.0,0.194951,0.194951,0.0,False
dio_07wx,executed_positive_trace,4,1,7,4,3,3,2.011172,1.024559,0.185696,0.0,0.185696,0.185696,0.0,False
dio_074d,executed_positive_trace,2,1,4,2,2,2,2.0,1.8,0.1536,0.0,0.1536,0.1536,0.0,False
dio_0k53,executed_positive_trace,2,1,4,2,2,2,2.0,1.745237,0.1536,0.0,0.1536,0.1536,0.0,False
dio_0olv,executed_positive_trace,2,1,4,2,2,2,2.0,1.8,0.1536,0.0,0.1536,0.1536,0.0,False
dio_0qyu,executed_positive_trace,2,1,4,2,2,2,2.0,1.8,0.1536,0.0,0.1536,0.1536,0.0,False
dio_0rej,executed_positive_trace,2,1,4,2,2,2,2.0,1.8,0.1536,0.0,0.1536,0.1536,0.0,False
dio_1144,executed_positive_trace,2,1,4,2,2,2,2.0,1.8,0.1536,0.0,0.1536,0.1536,0.0,False
dio_18wf,executed_positive_trace,2,1,4,2,2,2,2.0,1.65383,0.1536,0.0,0.1536,0.1536,0.0,False
dio_1gzm,executed_positive_trace,2,1,4,2,2,2,2.0,1.8,0.1536,0.0,0.1536,0.1536,0.0,False
dio_1sgx,executed_positive_trace,2,1,4,2,2,2,2.0,1.770891,0.1536,0.0,0.1536,0.1536,0.0,False
dio_1tg9,executed_positive_trace,2,1,4,2,2,2,2.0,1.697533,0.1536,0.0,0.1536,0.1536,0.0,False
dio_1tki,executed_positive_trace,2,1,4,2,2,2,2.0,1.8,0.1536,0.0,0.1536,0.1536,0.0,False
dio_17tf,executed_positive_trace,4,1,7,4,3,3,1.975598,1.006437,0.182411,0.0,0.182411,0.182411,0.0,False
dio_081d,executed_positive_trace,2,1,4,2,2,2,1.942378,1.589218,0.149175,0.0,0.149175,0.149175,0.0,False
dio_134j,executed_positive_trace,2,1,4,2,2,2,1.925792,1.575648,0.147901,0.0,0.147901,0.147901,0.0,False
dio_1xmg,executed_positive_trace,2,1,4,2,2,2,1.911786,1.564189,0.146825,0.0,0.146825,0.146825,0.0,False
dio_1bzs,executed_positive_trace,3,1,6,3,3,3,1.90976,1.562531,0.140884,0.0,0.140884,0.140884,0.0,False
dio_0e10,executed_positive_trace,8,1,16,8,8,8,1.905728,1.559232,0.115959,0.0,0.115959,0.115959,0.0,False
dio_1og7,executed_positive_trace,3,1,6,3,3,3,1.885606,1.542769,0.139102,0.0,0.139102,0.139102,0.0,False
dio_15r2,executed_positive_trace,3,1,6,3,3,3,1.874728,1.533868,0.1383,0.0,0.1383,0.1383,0.0,False
dio_0zlr,executed_positive_trace,3,1,6,3,3,3,1.844842,1.509416,0.136095,0.0,0.136095,0.136095,0.0,False
dio_13wt,executed_positive_trace,2,1,4,2,2,2,1.814615,1.484685,0.139362,0.0,0.139362,0.139362,0.0,False
dio_0vyd,executed_positive_trace,2,1,4,2,2,2,1.798575,1.471562,0.138131,0.0,0.138131,0.138131,0.0,False
dio_03fl,executed_positive_trace,5,1,10,5,5,5,1.760874,1.440715,0.128897,0.0,0.128897,0.093307,0.0,False
dio_0i5m,executed_positive_trace,2,1,4,2,2,2,1.723693,1.410294,0.13238,0.0,0.13238,0.13238,0.0,False
dio_0wsj,executed_positive_trace,2,1,4,2,2,2,1.703187,1.393516,0.130805,0.0,0.130805,0.130805,0.0,False
dio_0irs,executed_positive_trace,2,1,4,2,2,2,1.696882,1.388358,0.130321,0.0,0.130321,0.130321,0.0,False
dio_0av4,executed_positive_trace,3,1,6,3,3,3,1.657093,1.355803,0.122245,0.0,0.122245,0.122245,0.0,False
dio_0w1v,executed_positive_trace,2,1,4,2,2,2,1.653859,1.353157,0.127016,0.0,0.127016,0.127016,0.0,False
dio_07yj,executed_positive_trace,2,1,4,2,2,2,1.644736,1.345693,0.126316,0.0,0.126316,0.126316,0.0,False
dio_05x4,executed_positive_trace,2,1,4,2,2,2,1.633265,1.336307,0.125435,0.0,0.125435,0.125435,0.0,False
dio_16yf,executed_positive_trace,2,1,4,2,2,2,1.633265,1.336307,0.125435,0.0,0.125435,0.125435,0.0,False
dio_1hjj,executed_positive_trace,5,1,10,5,5,5,1.607933,1.315581,0.109635,0.0,0.109635,0.109635,0.0,False
dio_1pyo,executed_positive_trace,2,1,4,2,2,2,1.605138,1.313295,0.123275,0.0,0.123275,0.123275,0.0,False
dio_1hcy,executed_positive_trace,2,1,4,2,2,2,1.592328,1.302814,0.122291,0.0,0.122291,0.122291,0.0,False
dio_0oio,executed_positive_trace,3,1,6,3,3,3,1.58394,1.295951,0.116848,0.0,0.116848,0.116848,0.0,False
dio_1rka,executed_positive_trace,2,1,4,2,2,2,1.581678,1.294101,0.121473,0.0,0.121473,0.121473,0.0,False
dio_0xq8,executed_positive_trace,2,1,4,2,2,2,1.580797,1.29338,0.121405,0.0,0.121405,0.121405,0.0,False
dio_0f9v,executed_positive_trace,2,1,4,2,2,2,1.552636,1.270339,0.119242,0.0,0.119242,0.119242,0.0,False
dio_1nnb,executed_positive_trace,3,1,6,3,3,3,1.547535,1.266165,0.114163,0.0,0.114163,0.114163,0.0,False
dio_0dcm,executed_positive_trace,2,1,4,2,2,2,1.510789,1.2361,0.116029,0.0,0.116029,0.116029,0.0,False
dio_1nky,executed_positive_trace,2,1,4,2,2,2,1.492437,1.221085,0.114619,0.0,0.114619,0.114619,0.0,False
dio_18je,executed_positive_trace,2,1,4,2,2,2,1.477142,1.208571,0.113444,0.0,0.113444,0.113444,0.0,False
dio_0x50,executed_positive_trace,2,1,4,2,2,2,1.472655,1.2049,0.1131,0.0,0.1131,0.1131,0.0,False
dio_026q,executed_positive_trace,2,1,4,2,2,2,1.456952,1.192051,0.111894,0.0,0.111894,0.111894,0.0,False
dio_0hiu,executed_positive_trace,3,1,6,3,3,3,1.453938,1.189586,0.107258,0.0,0.107258,0.107258,0.0,False
dio_18fu,executed_positive_trace,2,1,4,2,2,2,1.453843,1.189508,0.111655,0.0,0.111655,0.111655,0.0,False
dio_0e6t,executed_positive_trace,2,1,4,2,2,2,1.445533,1.182709,0.111017,0.0,0.111017,0.111017,0.0,False
dio_0q8z,executed_positive_trace,2,1,4,2,2,2,1.437428,1.176077,0.110394,0.0,0.110394,0.110394,0.0,False
dio_0hzw,executed_positive_trace,2,1,4,2,2,2,1.39091,1.138017,0.106822,0.0,0.106822,0.106822,0.0,False
dio_185j,executed_positive_trace,6,1,12,6,6,6,1.3903,1.137518,0.103115,0.0,0.103115,0.059122,0.0,False
dio_1ml8,executed_positive_trace,2,1,4,2,2,2,1.349951,1.104505,0.103676,0.0,0.103676,0.103676,0.0,False
dio_1mml,executed_positive_trace,9,1,16,9,7,7,1.32176,0.69322,0.101749,0.0,0.101749,0.101749,0.0,False
dio_0wp4,executed_positive_trace,4,1,8,4,4,4,1.314014,1.075102,0.093166,0.0,0.093166,0.093166,0.0,False
dio_13ld,executed_positive_trace,2,1,4,2,2,2,1.292132,1.057199,0.099236,0.0,0.099236,0.099236,0.0,False
dio_1gj1,executed_positive_trace,2,1,4,2,2,2,1.273022,1.041563,0.097768,0.0,0.097768,0.097768,0.0,False
dio_07z2,executed_positive_trace,2,1,4,2,2,2,1.258704,1.029849,0.096668,0.0,0.096668,0.096668,0.0,False
dio_1k0x,executed_positive_trace,3,1,6,3,3,3,1.248525,1.021521,0.092105,0.0,0.092105,0.092105,0.0,False
dio_1wwt,executed_positive_trace,4,1,8,4,4,4,1.240674,1.015097,0.087966,0.0,0.087966,0.087966,0.0,False
dio_1jtc,executed_positive_trace,2,1,4,2,2,2,1.206052,0.98677,0.092625,0.0,0.092625,0.092625,0.0,False
dio_1ieq,executed_positive_trace,6,1,12,6,6,6,1.169932,0.957217,0.076577,0.0,0.076577,0.076577,0.0,False
dio_1fcl,executed_positive_trace,2,1,4,2,2,2,1.139666,0.932454,0.087526,0.0,0.087526,0.087526,0.0,False
dio_1c48,executed_positive_trace,2,1,4,2,2,2,1.126282,0.921503,0.086498,0.0,0.086498,0.086498,0.0,False
dio_1ce7,executed_positive_trace,2,1,4,2,2,2,1.126282,0.921503,0.086498,0.0,0.086498,0.086498,0.0,False
dio_0eh8,executed_positive_trace,2,1,4,2,2,2,1.124754,0.920253,0.086381,0.0,0.086381,0.086381,0.0,False
dio_1iwu,executed_positive_trace,2,1,4,2,2,2,1.108826,0.907222,0.085158,0.0,0.085158,0.085158,0.0,False
dio_1bkh,executed_positive_trace,3,1,6,3,3,3,1.08753,0.889798,0.080228,0.0,0.080228,0.080228,0.0,False
dio_0wgd,executed_positive_trace,4,1,8,4,4,4,1.086155,0.888672,0.07701,0.0,0.07701,0.07701,0.0,False
dio_09dp,executed_positive_trace,3,1,6,3,3,3,1.071264,0.876489,0.079028,0.0,0.079028,0.079028,0.0,False
dio_0nny,executed_positive_trace,2,1,4,2,2,2,1.061977,0.868891,0.08156,0.0,0.08156,0.08156,0.0,False
dio_1lz7,executed_positive_trace,2,1,4,2,2,2,1.034679,0.846556,0.079463,0.0,0.079463,0.079463,0.0,False
dio_0mlh,executed_positive_trace,2,1,4,2,2,2,1.014405,0.829968,0.077906,0.0,0.077906,0.077906,0.0,False
dio_1527,executed_positive_trace,4,1,8,4,4,4,1.009425,0.825893,0.07157,0.0,0.07157,0.07157,0.0,False
dio_0p8l,executed_positive_trace,3,1,6,3,3,3,0.989077,0.809245,0.072965,0.0,0.072965,0.072965,0.0,False
dio_00eh,executed_positive_trace,6,1,12,7,5,5,0.972081,1.044079,0.089586,0.060361,0.029225,0.070059,0.060361,False
dio_1iuq,executed_positive_trace,3,1,6,3,3,3,0.956667,0.782728,0.070574,0.0,0.070574,0.070574,0.0,False
dio_0my4,executed_positive_trace,4,1,8,4,4,4,0.943187,0.771699,0.066874,0.0,0.066874,0.066874,0.0,False
dio_017u,executed_positive_trace,3,1,6,3,3,3,0.93478,0.76482,0.068959,0.0,0.068959,0.068959,0.0,False
dio_0g8c,executed_positive_trace,3,1,6,3,3,3,0.910511,0.744964,0.067169,0.0,0.067169,0.067169,0.0,False
dio_1vb3,executed_positive_trace,4,1,8,4,4,4,0.90222,0.73818,0.063969,0.0,0.063969,0.063969,0.0,False
dio_1hhw,executed_positive_trace,3,1,6,3,3,3,0.893549,0.731086,0.065918,0.0,0.065918,0.065918,0.0,False
dio_1i0f,executed_positive_trace,2,1,4,2,2,2,0.872673,0.714005,0.067021,0.0,0.067021,0.067021,0.0,False
dio_0ifl,executed_positive_trace,1,1,2,1,1,1,0.861846,0.705147,0.068948,0.0,0.068948,0.068948,0.0,False
dio_0oqk,executed_positive_trace,4,1,8,4,4,4,0.82336,0.673659,0.058378,0.0,0.058378,0.058378,0.0,False
dio_05vm,executed_positive_trace,2,1,4,2,2,2,0.819239,0.670286,0.062918,0.0,0.062918,0.062918,0.0,False
dio_0rgr,executed_positive_trace,2,1,4,2,2,2,0.816109,0.667726,0.062677,0.0,0.062677,0.062677,0.0,False
dio_15fd,executed_positive_trace,1,1,2,1,1,1,0.789728,0.646141,0.063178,0.0,0.063178,0.063178,0.0,False
dio_0p6m,executed_positive_trace,1,1,2,1,1,1,0.76167,0.623185,0.060934,0.0,0.060934,0.060934,0.0,False
dio_09n6,executed_positive_trace,2,1,4,2,2,2,0.741508,0.606688,0.056948,0.0,0.056948,0.056948,0.0,False
dio_0rps,executed_positive_trace,8,1,16,8,8,8,0.726799,0.594654,0.044224,0.0,0.044224,0.044224,0.0,False
dio_00t3,executed_positive_trace,2,1,4,2,2,2,0.719646,0.588801,0.055269,0.0,0.055269,0.055269,0.0,False
dio_0sul,executed_positive_trace,1,1,2,1,1,1,0.709192,0.580248,0.056735,0.0,0.056735,0.056735,0.0,False
dio_1tsz,executed_positive_trace,3,1,6,3,3,3,0.697505,0.570686,0.051455,0.0,0.051455,0.051455,0.0,False
dio_19qg,executed_positive_trace,1,1,2,1,1,1,0.684984,0.560441,0.054799,0.0,0.054799,0.054799,0.0,False
dio_13ud,executed_positive_trace,1,1,2,1,1,1,0.681607,0.557679,0.054529,0.0,0.054529,0.054529,0.0,False
dio_07mf,executed_positive_trace,4,1,8,4,4,4,0.678509,0.555144,0.048108,0.0,0.048108,0.048108,0.0,False
dio_1on4,executed_positive_trace,4,1,8,4,4,4,0.675401,0.552601,0.047887,0.0,0.047887,0.047887,0.0,False
dio_0789,executed_positive_trace,1,1,2,1,1,1,0.673978,0.551436,0.053918,0.0,0.053918,0.053918,0.0,False
dio_1kfx,executed_positive_trace,3,1,6,3,3,3,0.669345,0.547646,0.049378,0.0,0.049378,0.049378,0.0,False
dio_1j0n,executed_positive_trace,1,1,2,1,1,1,0.665185,0.544243,0.053215,0.0,0.053215,0.053215,0.0,False
dio_1iwb,executed_positive_trace,4,1,8,4,4,4,0.654751,0.535706,0.046423,0.0,0.046423,0.046423,0.0,False
dio_066x,executed_positive_trace,3,1,6,3,3,3,0.650106,0.531905,0.047959,0.0,0.047959,0.047959,0.0,False
dio_1xdw,executed_positive_trace,2,1,4,2,2,2,0.633444,0.518273,0.048649,0.0,0.048649,0.048649,0.0,False
dio_0jqv,executed_positive_trace,2,1,4,2,2,2,0.589324,0.482174,0.04526,0.0,0.04526,0.04526,0.0,False
dio_0hla,executed_positive_trace,2,1,4,2,2,2,0.580205,0.474713,0.04456,0.0,0.04456,0.04456,0.0,False
dio_0if9,executed_positive_trace,2,1,4,2,2,2,0.580205,0.474713,0.04456,0.0,0.04456,0.04456,0.0,False
dio_08wa,executed_positive_trace,4,1,8,4,4,4,0.529983,0.433622,0.037577,0.0,0.037577,0.037577,0.0,False
dio_0jjv,executed_positive_trace,2,1,4,2,2,2,0.520649,0.425985,0.039986,0.0,0.039986,0.039986,0.0,False
dio_1l8g,executed_positive_trace,2,1,4,2,2,2,0.470999,0.385363,0.036173,0.0,0.036173,0.036173,0.0,False
dio_0iy2,executed_positive_trace,3,1,6,3,3,3,0.454243,0.371653,0.03351,0.0,0.03351,0.03351,0.0,False
dio_0rh0,executed_positive_trace,4,1,8,4,4,4,0.426552,0.348997,0.030243,0.0,0.030243,0.030243,0.0,False
dio_13ey,executed_positive_trace,2,1,4,2,2,2,0.415674,0.340097,0.031924,0.0,0.031924,0.031924,0.0,False
dio_0309,executed_positive_trace,2,1,4,2,2,2,0.411999,0.33709,0.031641,0.0,0.031641,0.031641,0.0,False
dio_1gz3,executed_positive_trace,2,1,4,2,2,2,0.39738,0.325129,0.030519,0.0,0.030519,0.030519,0.0,False
dio_1v23,executed_positive_trace,4,1,8,4,4,4,0.379986,0.310898,0.026942,0.0,0.026942,0.026942,0.0,False
dio_0z1h,executed_positive_trace,8,1,16,8,8,8,0.375144,0.306936,0.022827,0.0,0.022827,0.022827,0.0,False
dio_14ch,executed_positive_trace,2,1,4,2,2,2,0.353337,0.289094,0.027136,0.0,0.027136,0.027136,0.0,False
dio_01nf,executed_positive_trace,4,1,8,4,4,4,0.342487,0.280217,0.024283,0.0,0.024283,0.024283,0.0,False
dio_0ie2,executed_positive_trace,1,1,2,1,1,1,0.331469,0.271202,0.026517,0.0,0.026517,0.026517,0.0,False
dio_0d07,executed_positive_trace,2,1,4,2,2,2,0.302997,0.247907,0.02327,0.0,0.02327,0.02327,0.0,False
dio_1mic,executed_positive_trace,1,1,2,1,1,1,0.284574,0.232833,0.022766,0.0,0.022766,0.022766,0.0,False
dio_005q,executed_positive_trace,3,1,6,3,3,3,0.279355,0.228563,0.020608,0.0,0.020608,0.020608,0.0,False
dio_18iw,executed_positive_trace,3,1,6,3,3,3,0.275264,0.225216,0.020306,0.0,0.020306,0.020306,0.0,False
dio_01xf,executed_positive_trace,2,1,4,2,2,2,0.224143,0.18339,0.017214,0.0,0.017214,0.017214,0.0,False
dio_0r8e,executed_positive_trace,1,1,2,1,1,1,0.198794,0.16265,0.015904,0.0,0.015904,0.015904,0.0,False
dio_1xfl,executed_positive_trace,3,1,6,3,3,3,0.193936,0.158675,0.014307,0.0,0.014307,0.014307,0.0,False
dio_1at7,executed_positive_trace,2,1,4,2,2,2,0.187559,0.153457,0.014405,0.0,0.014405,0.014405,0.0,False
dio_151h,executed_positive_trace,4,1,8,4,4,4,0.180053,0.147316,0.012766,0.0,0.012766,0.012766,0.0,False
dio_0786,executed_positive_trace,1,1,2,1,1,1,0.173983,0.14235,0.013919,0.0,0.013919,0.013919,0.0,False
dio_0i2c,executed_positive_trace,2,1,4,2,2,2,0.151745,0.124155,0.011654,0.0,0.011654,0.011654,0.0,False
dio_05pr,executed_positive_trace,3,1,6,3,3,3,0.138776,0.113544,0.010238,0.0,0.010238,0.010238,0.0,False
dio_0i9h,executed_positive_trace,1,1,2,1,1,1,0.127894,0.104641,0.010232,0.0,0.010232,0.010232,0.0,False
dio_018g,executed_positive_trace,1,1,2,1,1,1,0.127131,0.104016,0.010171,0.0,0.010171,0.010171,0.0,False
dio_0nvr,executed_positive_trace,2,1,4,2,2,2,0.114033,0.093299,0.008758,0.0,0.008758,0.008758,0.0,False
dio_0mp4,executed_positive_trace,1,1,2,1,1,1,0.112888,0.092363,0.009031,0.0,0.009031,0.009031,0.0,False
dio_1j78,executed_positive_trace,2,1,4,2,2,2,0.096372,0.07885,0.007401,0.0,0.007401,0.007401,0.0,False
dio_1y8o,executed_positive_trace,2,1,4,2,2,2,0.096245,0.078746,0.007392,0.0,0.007392,0.007392,0.0,False
dio_0knp,executed_positive_trace,3,1,6,3,3,3,0.080487,0.065853,0.005938,0.0,0.005938,0.005938,0.0,False
dio_15bt,executed_positive_trace,3,1,6,3,3,3,0.057177,0.046781,0.004218,0.0,0.004218,0.004218,0.0,False
dio_0yok,executed_positive_trace,3,1,6,3,3,3,0.057043,0.046671,0.004208,0.0,0.004208,0.004208,0.0,False
dio_0ppq,executed_positive_trace,2,1,4,2,2,2,0.054441,0.044543,0.004181,0.0,0.004181,0.004181,0.0,False
dio_1h37,executed_positive_trace,7,1,12,5,5,5,0.049009,0.040098,0.003342,0.0,0.003342,0.003342,0.0,False
dio_11wk,executed_positive_trace,4,1,8,4,4,4,0.035085,0.028706,0.002488,0.0,0.002488,0.002488,0.0,False
dio_1et3,executed_positive_trace,3,1,6,3,3,3,0.029327,0.023995,0.002163,0.0,0.002163,0.002163,0.0,False
dio_01ql,executed_positive_trace,2,1,4,2,2,2,0.001698,0.001389,0.00013,0.0,0.00013,0.00013,0.0,False
dio_11wp,repeated_quiet_trace,4,1,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
dio_1ll4,repeated_quiet_trace,4,1,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
dio_00h2,repeated_quiet_trace,3,1,3,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
dio_12qo,repeated_quiet_trace,2,1,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
