family,relation_count,support_count,conflict_count,neutral_count,best_support_family,best_support_action,best_support_similarity,best_support_score,best_conflict_family,best_conflict_actions,best_conflict_similarity,best_conflict_score,support_ratio,conflict_ratio
dio_0uct,82,37,41,4,dio_1mml,LONG,0.982773,0.995472,dio_18iw,LONG/SHORT,0.748908,0.750181,0.45122,0.5
dio_1mml,82,37,41,4,dio_0uct,LONG,0.982773,0.995472,dio_18iw,LONG/SHORT,0.696192,0.696792,0.45122,0.5
dio_0olv,82,40,38,4,dio_0i5m,SHORT,0.992276,0.994741,dio_01nf,SHORT/LONG,0.910476,0.911292,0.487805,0.463415
dio_1r0b,82,40,38,4,dio_0fp8,SHORT,0.973423,0.994204,dio_0irs,SHORT/LONG,0.623163,0.628091,0.487805,0.463415
dio_0nmi,82,37,41,4,dio_0f4h,LONG,0.992114,0.993617,dio_1144,LONG/SHORT,0.921446,0.92198,0.45122,0.5
dio_01xf,82,37,41,4,dio_1mml,LONG,0.990985,0.991474,dio_18iw,LONG/SHORT,0.755608,0.755657,0.45122,0.5
dio_19qg,82,40,38,4,dio_0av4,SHORT,0.987415,0.98805,dio_07mf,SHORT/LONG,0.655455,0.655677,0.487805,0.463415
dio_0av4,82,40,38,4,dio_19qg,SHORT,0.987415,0.98805,dio_07mf,SHORT/LONG,0.638093,0.639418,0.487805,0.463415
dio_1cpq,82,40,38,4,dio_19qg,SHORT,0.986939,0.987757,dio_07mf,SHORT/LONG,0.689231,0.691075,0.487805,0.463415
dio_1uez,82,37,41,4,dio_1vb3,LONG,0.980632,0.987352,dio_074d,LONG/SHORT,0.907236,0.914925,0.45122,0.5
dio_1v23,82,37,41,4,dio_179o,LONG,0.984272,0.98709,dio_074d,LONG/SHORT,0.582581,0.583168,0.45122,0.5
dio_179o,82,37,41,4,dio_1v23,LONG,0.984272,0.98709,dio_1iuq,LONG/SHORT,0.54421,0.547266,0.45122,0.5
dio_0v36,82,40,38,4,dio_0nv8,SHORT,0.976786,0.98703,dio_01nf,SHORT/LONG,0.927338,0.928161,0.487805,0.463415
dio_0rh0,82,40,38,4,dio_00eh,SHORT,0.983428,0.984568,dio_1ieq,SHORT/LONG,0.844181,0.844794,0.487805,0.463415
dio_00eh,82,40,38,4,dio_0rh0,SHORT,0.983428,0.984568,dio_1ieq,SHORT/LONG,0.762137,0.763619,0.487805,0.463415
dio_01nf,82,37,41,4,dio_0wsj,LONG,0.983024,0.983772,dio_0nv8,LONG/SHORT,0.955814,0.958927,0.45122,0.5
dio_0wsj,82,37,41,4,dio_01nf,LONG,0.983024,0.983772,dio_0vyd,LONG/SHORT,0.938154,0.940264,0.45122,0.5
dio_0qb3,82,37,41,4,dio_18wf,LONG,0.981453,0.98156,dio_0nv8,LONG/SHORT,0.901303,0.901665,0.45122,0.5
dio_18wf,82,37,41,4,dio_0qb3,LONG,0.981453,0.98156,dio_0nv8,LONG/SHORT,0.849173,0.858042,0.45122,0.5
dio_0b0d,82,40,38,4,dio_0t45,SHORT,0.956875,0.974687,dio_1uez,SHORT/LONG,0.747062,0.787595,0.487805,0.463415
dio_0t45,82,40,38,4,dio_0b0d,SHORT,0.956875,0.974687,dio_1ml8,SHORT/LONG,0.662022,0.663318,0.487805,0.463415
dio_0vyd,82,40,38,4,dio_0nv8,SHORT,0.962667,0.971932,dio_0e6t,SHORT/LONG,0.988495,0.990375,0.487805,0.463415
dio_0z1h,82,37,41,4,dio_179o,LONG,0.970672,0.971474,dio_1iuq,LONG/SHORT,0.533759,0.533863,0.45122,0.5
dio_081d,82,37,41,4,dio_0nmi,LONG,0.969767,0.970342,dio_1144,LONG/SHORT,0.986766,0.989463,0.45122,0.5
dio_14zx,82,40,38,4,dio_1hzf,SHORT,0.940823,0.969528,dio_1uez,SHORT/LONG,0.785475,0.808748,0.487805,0.463415
dio_0dcm,82,40,38,4,dio_1r0h,SHORT,0.948684,0.963269,dio_0qyu,SHORT/LONG,0.953903,0.956028,0.487805,0.463415
dio_1mc3,82,40,38,4,dio_0olv,SHORT,0.953775,0.961412,dio_01nf,SHORT/LONG,0.787124,0.789064,0.487805,0.463415
dio_1jtc,82,37,41,4,dio_07yj,LONG,0.957737,0.959114,dio_13wt,LONG/SHORT,0.95348,0.955021,0.45122,0.5
dio_07yj,82,37,41,4,dio_1jtc,LONG,0.957737,0.959114,dio_13wt,LONG/SHORT,0.86717,0.869093,0.45122,0.5
dio_0odx,82,40,38,4,dio_0rh0,SHORT,0.956235,0.956787,dio_1ieq,SHORT/LONG,0.952655,0.953578,0.487805,0.463415
dio_1rka,82,37,41,4,dio_0rgr,LONG,0.953108,0.953992,dio_1144,LONG/SHORT,0.621958,0.623316,0.45122,0.5
dio_0rgr,82,37,41,4,dio_1rka,LONG,0.953108,0.953992,dio_1144,LONG/SHORT,0.573381,0.574032,0.45122,0.5
dio_13ey,82,37,41,4,dio_0oio,LONG,0.951821,0.952469,dio_0odx,LONG/SHORT,0.854659,0.854924,0.45122,0.5
dio_0oio,82,37,41,4,dio_13ey,LONG,0.951821,0.952469,dio_0odx,LONG/SHORT,0.767842,0.769143,0.45122,0.5
dio_05z6,82,40,38,4,dio_1hzf,SHORT,0.918603,0.940564,dio_1uez,SHORT/LONG,0.583074,0.596611,0.487805,0.463415
dio_1ieq,82,37,41,4,dio_13ey,LONG,0.93367,0.934034,dio_0odx,LONG/SHORT,0.952655,0.953578,0.45122,0.5
dio_1hjj,82,40,38,4,dio_1iuq,SHORT,0.931684,0.933789,dio_07mf,SHORT/LONG,0.946489,0.948432,0.487805,0.463415
dio_1iuq,82,40,38,4,dio_1hjj,SHORT,0.931684,0.933789,dio_07mf,SHORT/LONG,0.941112,0.942246,0.487805,0.463415
dio_1ml8,82,37,41,4,dio_081d,LONG,0.929522,0.931321,dio_1144,LONG/SHORT,0.901249,0.902951,0.45122,0.5
dio_0jqv,82,40,38,4,dio_0309,SHORT,0.930493,0.930662,dio_1h37,SHORT/LONG,0.952381,0.95241,0.487805,0.463415
dio_0309,82,40,38,4,dio_0jqv,SHORT,0.930493,0.930662,dio_1h37,SHORT/LONG,0.816734,0.816752,0.487805,0.463415
dio_0zlr,82,40,38,4,dio_05z6,SHORT,0.92112,0.930504,dio_1uez,SHORT/LONG,0.43856,0.443246,0.487805,0.463415
dio_0irs,82,37,41,4,dio_0byw,LONG,0.87802,0.920872,dio_0n4c,LONG/SHORT,0.8745,0.888342,0.45122,0.5
dio_05vm,82,37,41,4,dio_1ml8,LONG,0.918008,0.918745,dio_1144,LONG/SHORT,0.849673,0.850637,0.45122,0.5
dio_1tki,82,37,41,4,dio_07yj,LONG,0.912292,0.914393,dio_13wt,LONG/SHORT,0.807417,0.809507,0.45122,0.5
dio_0qyu,82,37,41,4,dio_0byw,LONG,0.866351,0.911316,dio_1r0h,LONG/SHORT,0.958105,0.975909,0.45122,0.5
dio_18iw,82,40,38,4,dio_0jqv,SHORT,0.898592,0.898745,dio_1h37,SHORT/LONG,0.98754,0.98756,0.487805,0.463415
dio_0e6t,82,37,41,4,dio_0wsj,LONG,0.896939,0.898532,dio_0vyd,LONG/SHORT,0.988495,0.990375,0.45122,0.5
dio_074d,82,40,38,4,dio_0b0d,SHORT,0.854558,0.870699,dio_1uez,SHORT/LONG,0.907236,0.914925,0.487805,0.463415
dio_0rej,82,40,38,4,dio_0v7w,SHORT,0.829541,0.83357,dio_0wsj,SHORT/LONG,0.809749,0.811666,0.487805,0.463415
dio_1144,82,40,38,4,dio_14zx,SHORT,0.796308,0.804121,dio_081d,SHORT/LONG,0.986766,0.989463,0.487805,0.463415
dio_1at7,82,40,38,4,dio_0w1v,SHORT,0.803194,0.803368,dio_07mf,SHORT/LONG,0.469093,0.469171,0.487805,0.463415
dio_1sxo,82,40,38,4,dio_1r0h,SHORT,0.747922,0.755267,dio_0qyu,SHORT/LONG,0.831829,0.833013,0.487805,0.463415
dio_13wt,82,40,38,4,dio_0nv8,SHORT,0.728453,0.735585,dio_1jtc,SHORT/LONG,0.95348,0.955021,0.487805,0.463415
dio_1lz7,82,40,38,4,dio_0w1v,SHORT,0.711438,0.712287,dio_0xq8,SHORT/LONG,0.332909,0.333289,0.487805,0.463415
dio_07mf,82,37,41,4,dio_1j78,LONG,0.693302,0.693364,dio_1hjj,LONG/SHORT,0.946489,0.948432,0.45122,0.5
dio_0nny,82,37,41,4,dio_0rgr,LONG,0.66488,0.665282,dio_0odx,LONG/SHORT,0.511297,0.511688,0.45122,0.5
dio_0xq8,82,37,41,4,dio_0rgr,LONG,0.460201,0.460615,dio_1lz7,LONG/SHORT,0.332909,0.333289,0.45122,0.5
dio_11wp,82,0,0,82,-,-,0.0,0.0,-,-,0.0,0.0,0.0,0.0
dio_12qo,82,0,0,82,-,-,0.0,0.0,-,-,0.0,0.0,0.0,0.0
dio_1hkr,82,0,0,82,-,-,0.0,0.0,-,-,0.0,0.0,0.0,0.0
dio_1ll4,82,0,0,82,-,-,0.0,0.0,-,-,0.0,0.0,0.0,0.0
