family,trace_notes,phases,phase_count,dominant_transition,executed_runs,observed_runs,held_runs,raw_runs,reward_sum,reward_per_executed_run,avg_visual_mcm_alignment_trace,avg_tone_tension_resonance_trace,sensor_relation_count,bearing_neighbor_count,same_family_relation_count,max_sensor_relation_trace
dio_1wwt,beobachtet,order_shift,1,stable_observation,0,4,0,0,0.0,0.0,0.967863,0.837527,7,0,0,0.960467
dio_03fl,beobachtet|nachhall_gehalten,order_shift_varianz,1,raw_pressure_held,0,4,1,1,0.0,0.0,0.895492,0.705145,16,0,0,0.946791
dio_151h,beobachtet,order_shift_varianz,1,stable_observation,0,4,0,0,0.0,0.0,0.884571,0.606009,11,0,0,0.958735
dio_1hkr,beobachtet|nachhall_gehalten,order_shift_varianz,1,raw_pressure_held,0,4,2,2,0.0,0.0,0.960995,0.804932,13,0,0,0.971893
dio_1ytj,beobachtet|nachhall_gehalten,order_shift_varianz,1,raw_pressure_held,0,4,2,2,0.0,0.0,0.999359,0.865305,15,0,0,0.937111
dio_0oqk,beobachtet,sensor_relation_probe2,1,stable_observation,0,4,0,0,0.0,0.0,0.95665,0.794966,4,0,0,0.899941
dio_1iwb,beobachtet,sensor_relation_probe2,1,stable_observation,0,4,0,0,0.0,0.0,0.943828,0.740879,13,0,0,0.971662
dio_1on4,beobachtet,sensor_relation_probe2,1,stable_observation,0,4,0,0,0.0,0.0,0.963578,0.665348,2,0,0,0.853098
dio_0knp,beobachtet,order_shift,1,stable_observation,0,3,0,0,0.0,0.0,0.891968,0.581614,4,0,0,0.921682
dio_066x,beobachtet,order_shift_varianz,1,stable_observation,0,3,0,0,0.0,0.0,0.958834,0.761113,6,0,0,0.949689
dio_0iy2,beobachtet,order_shift_varianz,1,stable_observation,0,3,0,0,0.0,0.0,0.869638,0.512876,4,0,0,0.951303
dio_15r2,beobachtet,sensor_relation_probe2,1,stable_observation,0,3,0,0,0.0,0.0,0.991549,0.949238,10,0,0,0.968205
dio_0g8c,beobachtet,sensor_relation_probe4,1,stable_observation,0,3,0,0,0.0,0.0,0.752575,0.927863,0,0,0,0.0
dio_0hiu,beobachtet,sensor_relation_probe4,1,stable_observation,0,3,0,0,0.0,0.0,0.98457,0.977756,11,0,0,0.934611
dio_0yok,beobachtet,sensor_relation_probe4,1,stable_observation,0,3,0,0,0.0,0.0,0.81627,0.962425,0,0,0,0.0
dio_1hhw,beobachtet,sensor_relation_probe4,1,stable_observation,0,3,0,0,0.0,0.0,0.999848,0.737125,0,0,0,0.0
dio_1og7,beobachtet,sensor_relation_probe4,1,stable_observation,0,3,0,0,0.0,0.0,0.971695,0.858656,6,0,0,0.876636
dio_0d07,beobachtet,order_shift,1,stable_observation,0,2,0,0,0.0,0.0,0.931789,0.685012,4,0,0,0.927235
dio_0nvr,beobachtet,order_shift,1,stable_observation,0,2,0,0,0.0,0.0,0.802968,0.77327,7,0,0,0.952941
dio_1i0f,beobachtet,order_shift,1,stable_observation,0,2,0,0,0.0,0.0,0.813847,0.893742,9,0,0,0.956353
dio_0q8z,beobachtet,order_shift_varianz,1,stable_observation,0,2,0,0,0.0,0.0,0.865405,0.971465,12,0,0,0.972286
dio_00t3,beobachtet,sensor_relation_probe2,1,stable_observation,0,2,0,0,0.0,0.0,0.783979,0.935124,6,0,0,0.902887
dio_01nr,beobachtet,sensor_relation_probe2,1,stable_observation,0,2,0,0,0.0,0.0,0.92632,0.992438,8,0,0,0.950662
dio_01ql,beobachtet,sensor_relation_probe2,1,stable_observation,0,2,0,0,0.0,0.0,0.935871,0.799799,5,0,0,0.927235
dio_14ch,beobachtet,sensor_relation_probe2,1,stable_observation,0,2,0,0,0.0,0.0,0.807711,0.984165,5,0,0,0.947222
dio_1c48,beobachtet,sensor_relation_probe2,1,stable_observation,0,2,0,0,0.0,0.0,0.811249,0.586853,4,0,0,1.0
dio_1ce7,beobachtet,sensor_relation_probe2,1,stable_observation,0,2,0,0,0.0,0.0,0.811249,0.586853,4,0,0,1.0
dio_1fcl,beobachtet,sensor_relation_probe2,1,stable_observation,0,2,0,0,0.0,0.0,0.976011,0.986875,10,0,0,0.965494
dio_026q,beobachtet,sensor_relation_probe3,1,stable_observation,0,2,0,0,0.0,0.0,0.913231,0.657698,2,0,0,0.922526
dio_07z2,beobachtet,sensor_relation_probe3,1,stable_observation,0,2,0,0,0.0,0.0,0.895907,0.921218,6,0,0,0.950662
dio_0hla,beobachtet,sensor_relation_probe3,1,stable_observation,0,2,0,0,0.0,0.0,0.966675,0.892163,9,0,0,1.0
dio_0if9,beobachtet,sensor_relation_probe3,1,stable_observation,0,2,0,0,0.0,0.0,0.966675,0.892163,9,0,0,1.0
dio_0x50,beobachtet,sensor_relation_probe3,1,stable_observation,0,2,0,0,0.0,0.0,0.967682,0.843545,6,0,0,0.957034
dio_09n6,beobachtet,sensor_relation_probe4,1,stable_observation,0,2,0,0,0.0,0.0,0.984898,0.887876,11,0,0,0.959453
dio_0eh8,beobachtet,sensor_relation_probe4,1,stable_observation,0,2,0,0,0.0,0.0,0.947582,0.859487,10,0,0,0.973702
dio_0f9v,beobachtet,sensor_relation_probe4,1,stable_observation,0,2,0,0,0.0,0.0,0.97858,0.85631,9,0,0,0.939241
dio_0hzw,beobachtet,sensor_relation_probe4,1,stable_observation,0,2,0,0,0.0,0.0,0.995699,0.922349,12,0,0,0.966775
dio_018g,beobachtet,order_shift,1,stable_observation,0,1,0,0,0.0,0.0,0.887779,0.66456,11,0,0,1.0
dio_1j0n,beobachtet,order_shift,1,stable_observation,0,1,0,0,0.0,0.0,0.968496,0.848788,13,0,0,0.976369
dio_0mp4,beobachtet,order_shift_varianz,1,stable_observation,0,1,0,0,0.0,0.0,0.769624,0.79681,4,0,0,0.952941
dio_0r8e,beobachtet,order_shift_varianz,1,stable_observation,0,1,0,0,0.0,0.0,0.878643,0.701743,4,0,0,0.924185
dio_0789,beobachtet,sensor_relation_probe2,1,stable_observation,0,1,0,0,0.0,0.0,0.99899,0.885374,15,0,0,0.937111
dio_1mic,beobachtet,sensor_relation_probe2,1,stable_observation,0,1,0,0,0.0,0.0,0.960269,0.837434,17,0,0,0.95243
dio_0ie2,beobachtet,sensor_relation_probe3,1,stable_observation,0,1,0,0,0.0,0.0,0.990665,0.849184,13,0,0,0.979837
dio_00eh,ausgefuehrt|beobachtet|belastete_konsequenz,order_shift,1,execution_to_nonexecution,1,1,0,1,-0.431148,-0.431148,0.887779,0.66456,11,0,0,1.0
