family,relation_count,support_count,conflict_count,neutral_count,best_support_family,best_support_action,best_support_similarity,best_support_score,best_conflict_family,best_conflict_actions,best_conflict_similarity,best_conflict_score,support_ratio,conflict_ratio
dio_18wf,68,30,33,5,dio_0qb3,LONG,0.981453,0.98156,dio_0nv8,LONG/SHORT,0.849173,0.858042,0.441176,0.485294
dio_0vyd,68,32,31,5,dio_0nv8,SHORT,0.962667,0.971932,dio_0wsj,SHORT/LONG,0.938154,0.940264,0.470588,0.455882
dio_081d,68,30,33,5,dio_0nmi,LONG,0.969767,0.970342,dio_1144,LONG/SHORT,0.986766,0.989463,0.441176,0.485294
dio_0dcm,68,32,31,5,dio_1r0h,SHORT,0.948684,0.963269,dio_0qyu,SHORT/LONG,0.953903,0.956028,0.470588,0.455882
dio_1rka,68,30,33,5,dio_0rgr,LONG,0.953108,0.953992,dio_1144,LONG/SHORT,0.621958,0.623316,0.441176,0.485294
dio_0rgr,68,30,33,5,dio_1rka,LONG,0.953108,0.953992,dio_1144,LONG/SHORT,0.573381,0.574032,0.441176,0.485294
dio_14zx,68,32,31,5,dio_1bzs,SHORT,0.936099,0.948968,dio_1uez,SHORT/LONG,0.785475,0.808748,0.470588,0.455882
dio_1bzs,68,32,31,5,dio_14zx,SHORT,0.936099,0.948968,dio_1uez,SHORT/LONG,0.680028,0.68771,0.470588,0.455882
dio_1ml8,68,30,33,5,dio_081d,LONG,0.929522,0.931321,dio_1144,LONG/SHORT,0.901249,0.902951,0.441176,0.485294
dio_0jqv,68,32,31,5,dio_0309,SHORT,0.930493,0.930662,dio_1j78,SHORT/LONG,0.943192,0.943233,0.470588,0.455882
dio_0309,68,32,31,5,dio_0jqv,SHORT,0.930493,0.930662,dio_1j78,SHORT/LONG,0.793563,0.793588,0.470588,0.455882
dio_05z6,68,32,31,5,dio_0zlr,SHORT,0.92112,0.930504,dio_1uez,SHORT/LONG,0.583074,0.596611,0.470588,0.455882
dio_0zlr,68,32,31,5,dio_05z6,SHORT,0.92112,0.930504,dio_1uez,SHORT/LONG,0.43856,0.443246,0.470588,0.455882
dio_1mc3,68,32,31,5,dio_0i5m,SHORT,0.914799,0.921049,dio_01nf,SHORT/LONG,0.787124,0.789064,0.470588,0.455882
dio_0irs,68,30,33,5,dio_0byw,LONG,0.87802,0.920872,dio_0n4c,LONG/SHORT,0.8745,0.888342,0.441176,0.485294
dio_07yj,68,30,33,5,dio_1tki,LONG,0.912292,0.914393,dio_13wt,LONG/SHORT,0.86717,0.869093,0.441176,0.485294
dio_1tki,68,30,33,5,dio_07yj,LONG,0.912292,0.914393,dio_13wt,LONG/SHORT,0.807417,0.809507,0.441176,0.485294
dio_0qyu,68,30,33,5,dio_0byw,LONG,0.866351,0.911316,dio_1r0h,LONG/SHORT,0.958105,0.975909,0.441176,0.485294
dio_18iw,68,32,31,5,dio_0jqv,SHORT,0.898592,0.898745,dio_1j78,SHORT/LONG,0.985866,0.985895,0.470588,0.455882
dio_1ieq,68,30,33,5,dio_0oio,LONG,0.886822,0.88871,dio_0rh0,LONG/SHORT,0.844181,0.844794,0.441176,0.485294
dio_0oio,68,30,33,5,dio_1ieq,LONG,0.886822,0.88871,dio_0rh0,LONG/SHORT,0.633503,0.634307,0.441176,0.485294
dio_074d,68,32,31,5,dio_0b0d,SHORT,0.854558,0.870699,dio_1uez,SHORT/LONG,0.907236,0.914925,0.470588,0.455882
dio_0b0d,68,32,31,5,dio_074d,SHORT,0.854558,0.870699,dio_1uez,SHORT/LONG,0.747062,0.787595,0.470588,0.455882
dio_0rej,68,32,31,5,dio_0v7w,SHORT,0.829541,0.83357,dio_0wsj,SHORT/LONG,0.809749,0.811666,0.470588,0.455882
dio_1iuq,68,32,31,5,dio_19qg,SHORT,0.815987,0.816291,dio_07mf,SHORT/LONG,0.941112,0.942246,0.470588,0.455882
dio_1144,68,32,31,5,dio_14zx,SHORT,0.796308,0.804121,dio_081d,SHORT/LONG,0.986766,0.989463,0.470588,0.455882
dio_1at7,68,32,31,5,dio_0w1v,SHORT,0.803194,0.803368,dio_07mf,SHORT/LONG,0.469093,0.469171,0.470588,0.455882
dio_1sxo,68,32,31,5,dio_1r0h,SHORT,0.747922,0.755267,dio_0qyu,SHORT/LONG,0.831829,0.833013,0.470588,0.455882
dio_13wt,68,32,31,5,dio_0nv8,SHORT,0.728453,0.735585,dio_1tg9,SHORT/LONG,0.896197,0.89861,0.470588,0.455882
dio_1j78,68,30,33,5,dio_01xf,LONG,0.715915,0.715926,dio_18iw,LONG/SHORT,0.985866,0.985895,0.441176,0.485294
dio_1lz7,68,32,31,5,dio_0w1v,SHORT,0.711438,0.712287,dio_0xq8,SHORT/LONG,0.332909,0.333289,0.470588,0.455882
dio_07mf,68,30,33,5,dio_1j78,LONG,0.693302,0.693364,dio_1iuq,LONG/SHORT,0.941112,0.942246,0.441176,0.485294
dio_0nny,68,30,33,5,dio_0rgr,LONG,0.66488,0.665282,dio_1144,LONG/SHORT,0.469939,0.470608,0.441176,0.485294
dio_0xq8,68,30,33,5,dio_0rgr,LONG,0.460201,0.460615,dio_1lz7,LONG/SHORT,0.332909,0.333289,0.441176,0.485294
dio_11wp,68,0,0,68,-,-,0.0,0.0,-,-,0.0,0.0,0.0,0.0
dio_12qo,68,0,0,68,-,-,0.0,0.0,-,-,0.0,0.0,0.0,0.0
dio_1h37,68,0,0,68,-,-,0.0,0.0,-,-,0.0,0.0,0.0,0.0
dio_1hkr,68,0,0,68,-,-,0.0,0.0,-,-,0.0,0.0,0.0,0.0
dio_1ll4,68,0,0,68,-,-,0.0,0.0,-,-,0.0,0.0,0.0,0.0
