symbol_family,family_temporal_kipp_state,first_kipp_probe,first_kipp_state,probe_state_path,direction_support_state,alignment_state,left_text_island_symbol,right_text_island_symbol,score_delta,passive_only,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
dio_0p12,family_neuro_temporal_reorganizes,probe26,probe_neuro_tone_reorganizes,probe_no_visible_kipp -> probe_neuro_tone_reorganizes,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_but_reife_kippt,dio_text_1nd8ac7,dio_text_1yu8n5z,-0.283333333,True,False,False,False,False,False,False,False
dio_1fz7,family_neuro_temporal_reorganizes,probe24,probe_neuro_tone_reorganizes,probe_no_visible_kipp -> probe_neuro_tone_reorganizes,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_53xiik,dio_text_53xiik,-0.276666666,True,False,False,False,False,False,False,False
dio_1si6,family_neuro_temporal_reorganizes,probe21,probe_neuro_tone_reorganizes,probe_neuro_tone_reorganizes -> probe_no_visible_kipp,direction_support_flips,same_sensory_field_visible,dio_text_1axxr0j,dio_text_1axxr0j,-0.276666666,True,False,False,False,False,False,False,False
dio_1ull,family_neuro_temporal_reorganizes,probe25,probe_neuro_tone_reorganizes,probe_neuro_tone_reorganizes -> probe_no_visible_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_11og9em,dio_text_11og9em,-0.276666666,True,False,False,False,False,False,False,False
dio_1vg2,family_neuro_temporal_reorganizes,probe21,probe_neuro_tone_reorganizes,probe_neuro_tone_reorganizes -> probe_neuro_tone_reorganizes -> probe_neuro_tone_reorganizes -> probe_neuro_tone_reorganizes -> probe_no_visible_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_1r13c5u,dio_text_1r13c5u,-0.276666666,True,False,False,False,False,False,False,False
dio_0bde,family_no_visible_temporal_kipp,-,probe_no_visible_kipp,probe_no_visible_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_wgwxxp,dio_text_wgwxxp,-0.276666666,True,False,False,False,False,False,False,False
dio_0jx1,family_no_visible_temporal_kipp,-,probe_no_visible_kipp,probe_no_visible_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_1htwnrh,dio_text_rpme7a,-0.27,True,False,False,False,False,False,False,False
dio_0ocv,family_no_visible_temporal_kipp,-,probe_no_visible_kipp,probe_no_visible_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_1dmfjko,dio_text_1dmfjko,-0.276666666,True,False,False,False,False,False,False,False
dio_0rwa,family_no_visible_temporal_kipp,-,probe_no_visible_kipp,probe_no_visible_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_y8bf0y,dio_text_y8bf0y,-0.276666666,True,False,False,False,False,False,False,False
dio_11vr,family_no_visible_temporal_kipp,-,probe_no_visible_kipp,probe_no_visible_kipp -> probe_no_visible_kipp -> probe_no_visible_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_38zk5e,dio_text_38zk5e,-0.276666666,True,False,False,False,False,False,False,False
dio_19b6,family_no_visible_temporal_kipp,-,probe_no_visible_kipp,probe_no_visible_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_qt2gbm,dio_text_qt2gbm,-0.276666666,True,False,False,False,False,False,False,False
dio_1fck,family_no_visible_temporal_kipp,-,probe_no_visible_kipp,probe_no_visible_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_but_reife_kippt,dio_text_se3c2x,dio_text_se3c2x,-0.276666666,True,False,False,False,False,False,False,False
dio_1ndv,family_no_visible_temporal_kipp,-,probe_no_visible_kipp,probe_no_visible_kipp,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_but_reife_kippt,dio_text_1tpco55,dio_text_1tpco55,-0.276666666,True,False,False,False,False,False,False,False
dio_0nrp,family_trade_readiness_softens,probe21,probe_trade_readiness_softens,probe_trade_readiness_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_k2zhzo,dio_text_k2zhzo,-0.276666666,True,False,False,False,False,False,False,False
dio_0v3a,family_trade_readiness_softens,probe24,probe_trade_readiness_softens,probe_trade_readiness_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_1rv6a3m,dio_text_1rv6a3m,-0.276666666,True,False,False,False,False,False,False,False
dio_0xkp,family_trade_readiness_softens,probe20,probe_trade_readiness_softens,probe_trade_readiness_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_je2snj,dio_text_je2snj,-0.276666666,True,False,False,False,False,False,False,False
dio_1ocs,family_trade_readiness_softens,probe24,probe_trade_readiness_softens,probe_trade_readiness_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_12jcjlq,dio_text_12jcjlq,-0.276666666,True,False,False,False,False,False,False,False
dio_1t9x,family_trade_readiness_softens,probe23,probe_trade_readiness_softens,probe_trade_readiness_softens,same_sensory_field_same_direction_but_reife_kippt,same_sensory_field_visible,dio_text_1xv5iq8,dio_text_1xv5iq8,-0.276666666,True,False,False,False,False,False,False,False
