family,stability_state,baseline_trace,current_trace,baseline_strength,current_strength,baseline_reward,current_reward,baseline_phases,current_phases
dio_01yf,stable_trace,dio_trace_direkt_reif,dio_trace_direkt_reif,0.620412,0.620412,1.876634,1.876634,"order_shift,sensor_relation_probe3","order_shift,sensor_relation_probe3"
dio_0f4h,stable_trace,dio_trace_lokal_direkt,dio_trace_lokal_direkt,0.588703,0.588703,2.0,2.0,order_shift,order_shift
dio_1h5i,stable_trace,dio_trace_lokal_reift,dio_trace_lokal_reift,0.456578,0.456578,1.652416,1.652416,order_shift,order_shift
dio_0v15,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.446224,0.446224,0.0,0.0,"sensor_relation_probe4,sensor_relation_probe4_repeat","sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_060l,stable_trace,dio_trace_lokal_reift,dio_trace_lokal_reift,0.443475,0.443475,1.190707,1.190707,sensor_relation_probe2,sensor_relation_probe2
dio_0thk,stable_trace,dio_trace_lokal_reift,dio_trace_lokal_reift,0.439039,0.439039,1.156708,1.156708,sensor_relation_probe3,sensor_relation_probe3
dio_1y2t,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.420842,0.420842,0.0,0.0,"sensor_relation_probe4,sensor_relation_probe4_repeat","sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_0nm2,stable_trace,dio_trace_lokal_reift,dio_trace_lokal_reift,0.411697,0.411697,1.024116,1.024116,sensor_relation_probe4,sensor_relation_probe4
dio_0e10,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.397462,0.397462,0.0,0.0,"sensor_relation_probe5,sensor_relation_probe5_repeat","sensor_relation_probe5,sensor_relation_probe5_repeat"
dio_1sxo,stable_trace,dio_trace_lokal_reift,dio_trace_lokal_reift,0.385548,0.385548,0.993834,0.993834,order_shift_varianz,order_shift_varianz
dio_1ax9,stable_trace,dio_trace_lokal_reift,dio_trace_lokal_reift,0.377274,0.377274,1.237693,1.237693,sensor_relation_probe2,sensor_relation_probe2
dio_0rps,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.31364,0.31364,0.0,0.0,"sensor_relation_probe4,sensor_relation_probe4_repeat","sensor_relation_probe4,sensor_relation_probe4_repeat"
dio_185j,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.278072,0.278072,0.0,0.0,"order_shift,sensor_relation_probe3","order_shift,sensor_relation_probe3"
dio_00eh,stable_trace,dio_trace_belastet,dio_trace_belastet,0.25427,0.25427,-0.431148,-0.431148,order_shift,order_shift
dio_1ytj,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.20524,0.20524,0.0,0.0,order_shift_varianz,order_shift_varianz
dio_1hkr,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.187951,0.187951,0.0,0.0,order_shift_varianz,order_shift_varianz
dio_03fl,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.163968,0.163968,0.0,0.0,order_shift_varianz,order_shift_varianz
dio_1wwt,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.160844,0.160844,0.0,0.0,order_shift,order_shift
dio_15r2,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.153562,0.153562,0.0,0.0,sensor_relation_probe2,sensor_relation_probe2
dio_1og7,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.152412,0.152412,0.0,0.0,sensor_relation_probe4,sensor_relation_probe4
dio_0oqk,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.151816,0.151816,0.0,0.0,sensor_relation_probe2,sensor_relation_probe2
dio_1on4,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.146918,0.146918,0.0,0.0,sensor_relation_probe2,sensor_relation_probe2
dio_0hiu,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.146754,0.146754,0.0,0.0,sensor_relation_probe4,sensor_relation_probe4
dio_1iwb,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.145274,0.145274,0.0,0.0,sensor_relation_probe2,sensor_relation_probe2
dio_08wa,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.141904,0.141904,0.0,0.0,order_shift,order_shift
dio_09dp,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.138144,0.138144,0.0,0.0,sensor_relation_probe5,sensor_relation_probe5
dio_0p8l,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.136734,0.136734,0.0,0.0,sensor_relation_probe5_variation,sensor_relation_probe5_variation
dio_0g8c,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.13651,0.13651,0.0,0.0,sensor_relation_probe4,sensor_relation_probe4
dio_1hhw,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.134886,0.134886,0.0,0.0,sensor_relation_probe4,sensor_relation_probe4
dio_151h,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.13312,0.13312,0.0,0.0,order_shift_varianz,order_shift_varianz
dio_1tsz,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.131186,0.131186,0.0,0.0,sensor_relation_probe5,sensor_relation_probe5
dio_1kfx,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.130944,0.130944,0.0,0.0,sensor_relation_probe5_variation,sensor_relation_probe5_variation
dio_066x,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.129108,0.129108,0.0,0.0,order_shift_varianz,order_shift_varianz
dio_0iy2,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.125586,0.125586,0.0,0.0,order_shift_varianz,order_shift_varianz
dio_16yf,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.123418,0.123418,0.0,0.0,sensor_relation_probe5,sensor_relation_probe5
dio_0f9v,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.12337,0.12337,0.0,0.0,sensor_relation_probe4,sensor_relation_probe4
dio_1xfl,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.123242,0.123242,0.0,0.0,sensor_relation_probe5,sensor_relation_probe5
dio_0q8z,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.12285,0.12285,0.0,0.0,order_shift_varianz,order_shift_varianz
dio_05pr,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.122172,0.122172,0.0,0.0,sensor_relation_probe5_variation,sensor_relation_probe5_variation
dio_026q,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.121902,0.121902,0.0,0.0,sensor_relation_probe3,sensor_relation_probe3
dio_0x50,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.121312,0.121312,0.0,0.0,sensor_relation_probe3,sensor_relation_probe3
dio_0hzw,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.121266,0.121266,0.0,0.0,sensor_relation_probe4,sensor_relation_probe4
dio_1nky,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.121158,0.121158,0.0,0.0,sensor_relation_probe5,sensor_relation_probe5
dio_18fu,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.120864,0.120864,0.0,0.0,sensor_relation_probe5,sensor_relation_probe5
dio_0knp,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.120684,0.120684,0.0,0.0,order_shift,order_shift
dio_1fcl,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.1199,0.1199,0.0,0.0,sensor_relation_probe2,sensor_relation_probe2
dio_0eh8,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.119562,0.119562,0.0,0.0,sensor_relation_probe4,sensor_relation_probe4
dio_15bt,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.119474,0.119474,0.0,0.0,sensor_relation_probe5,sensor_relation_probe5
dio_1et3,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.119334,0.119334,0.0,0.0,sensor_relation_probe5_variation,sensor_relation_probe5_variation
dio_07z2,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.119076,0.119076,0.0,0.0,sensor_relation_probe3,sensor_relation_probe3
dio_1c48,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.118722,0.118722,0.0,0.0,sensor_relation_probe2,sensor_relation_probe2
dio_1ce7,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.1186,0.1186,0.0,0.0,sensor_relation_probe2,sensor_relation_probe2
dio_0yok,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.118388,0.118388,0.0,0.0,sensor_relation_probe4,sensor_relation_probe4
dio_01nr,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.118386,0.118386,0.0,0.0,sensor_relation_probe2,sensor_relation_probe2
dio_1i0f,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.118166,0.118166,0.0,0.0,order_shift,order_shift
dio_00t3,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.116388,0.116388,0.0,0.0,sensor_relation_probe2,sensor_relation_probe2
dio_09n6,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.11527,0.11527,0.0,0.0,sensor_relation_probe4,sensor_relation_probe4
dio_0if9,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.114004,0.114004,0.0,0.0,sensor_relation_probe3,sensor_relation_probe3
dio_0hla,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.11396,0.11396,0.0,0.0,sensor_relation_probe3,sensor_relation_probe3
dio_14ch,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.112234,0.112234,0.0,0.0,sensor_relation_probe2,sensor_relation_probe2
dio_0d07,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.110486,0.110486,0.0,0.0,order_shift,order_shift
dio_0nvr,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.110122,0.110122,0.0,0.0,order_shift,order_shift
dio_01ql,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.10804,0.10804,0.0,0.0,sensor_relation_probe2,sensor_relation_probe2
dio_0mp4,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.099218,0.099218,0.0,0.0,order_shift_varianz,order_shift_varianz
dio_018g,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.099094,0.099094,0.0,0.0,order_shift,order_shift
dio_0789,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.098508,0.098508,0.0,0.0,sensor_relation_probe2,sensor_relation_probe2
dio_1j0n,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.09819,0.09819,0.0,0.0,order_shift,order_shift
dio_0r8e,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.098012,0.098012,0.0,0.0,order_shift_varianz,order_shift_varianz
dio_1mic,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.097832,0.097832,0.0,0.0,sensor_relation_probe2,sensor_relation_probe2
dio_0ie2,stable_trace,dio_trace_gehaltene_beobachtung,dio_trace_gehaltene_beobachtung,0.097738,0.097738,0.0,0.0,sensor_relation_probe3,sensor_relation_probe3
