stage_index,stage_label,family,visible,attached_base_families,coupled_degree,island_count,vector_drift_from_previous_visible,episode_count,dominant_neuro_tone,dominant_temporal_state,passive_only,controlled_dataset_scope,long_run_claim,writes_runtime_memory,read_by_mini_dio,influences_action,is_gate,is_motoric,is_entry_signal,is_direction_signal
2,N,dio_05zt,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
3,O,dio_05zt,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
0,L,dio_066y,True,-,0,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_066y,True,-,0,1,0.002319303,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_066y,True,-,0,1,0.002391352,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_066y,True,-,0,1,0.001982609,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_068l,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
1,M,dio_068l,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
2,N,dio_068l,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
3,O,dio_068l,True,-,0,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_06b8,True,-,0,1,0.0,14,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_06b8,True,-,0,1,0.00054195,14,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_06b8,True,-,0,1,0.00015989,14,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_06b8,True,-,0,1,0.006260939,12,observation_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_06gy,True,-,0,1,0.0,4,focus_tone,temporal_far_return,True,True,False,False,False,False,False,False,False,False
1,M,dio_06gy,True,-,0,1,0.00143505,4,focus_tone,temporal_far_return,True,True,False,False,False,False,False,False,False,False
2,N,dio_06gy,True,-,0,1,0.000627645,4,focus_tone,temporal_far_return,True,True,False,False,False,False,False,False,False,False
3,O,dio_06gy,True,-,0,1,0.00214708,4,focus_tone,temporal_far_return,True,True,False,False,False,False,False,False,False,False
0,L,dio_06jl,True,-,0,1,0.0,4,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_06jl,True,-,0,1,0.008170046,6,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_06jl,True,-,0,1,0.000462934,6,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_06jl,True,-,0,1,0.000662191,6,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_06qr,False,-,0,0,0.0,0,-,-,True,True,False,False,False,False,False,False,False,False
1,M,dio_06qr,True,-,0,1,0.0,1,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_06qr,True,-,0,1,0.00359891,1,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_06qr,True,-,0,1,0.00048121,1,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_0710,True,-,0,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
1,M,dio_0710,True,-,0,1,0.000545223,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
2,N,dio_0710,True,-,0,1,0.000483524,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
3,O,dio_0710,True,-,0,1,0.000687475,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
0,L,dio_07kj,True,-,0,1,0.0,2,focus_tone,temporal_first_contact,True,True,False,False,False,False,False,False,False,False
