family_action,symbol_family,action,time_maturity_state,episode_freshness_state,episode_source_labels,episode_source_count,episode_count,phase_time_states,outcome_events,event_reward_sum,avg_event_reward,avg_finite_phase_age,avg_bars_held,inner_memory_state,inner_map_count,inner_map_labels,inner_seeds,inner_real_reward_sum,has_inner_maturity,bridge_passive_family_action,bridge_maturity_state,bridge_similarity,passive_only,influences_action,is_gate,is_motoric,time_maturity_note
dio_0gmg:WAIT,dio_0gmg,WAIT,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe15,followup4_probe15,followup5_probe15",3,9,different_contact_afterimage:9,NO_TRADE:9,0.0,0.0,5.0,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_0gmg:WAIT: older_trace_without_inner_memory; Zeit=older_recurrent_episode_trace; Innen=-; Quellen=basis_probe15,followup4_probe15,followup5_probe15; reward=0.000000."
dio_0ojr:WAIT,dio_0ojr,WAIT,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe16,followup4_probe16,followup5_probe16",3,9,no_prior_phase:9,NO_TRADE:9,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_0ojr:WAIT: older_trace_without_inner_memory; Zeit=older_recurrent_episode_trace; Innen=-; Quellen=basis_probe16,followup4_probe16,followup5_probe16; reward=0.000000."
dio_0rb2:WAIT,dio_0rb2,WAIT,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe16,followup4_probe16,followup5_probe16",3,9,no_prior_phase:9,NO_TRADE:9,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_0rb2:WAIT: older_trace_without_inner_memory; Zeit=older_recurrent_episode_trace; Innen=-; Quellen=basis_probe16,followup4_probe16,followup5_probe16; reward=0.000000."
dio_0vc8:WAIT,dio_0vc8,WAIT,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe16,followup4_probe16,followup5_probe16",3,9,no_prior_phase:9,NO_TRADE:9,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_0vc8:WAIT: older_trace_without_inner_memory; Zeit=older_recurrent_episode_trace; Innen=-; Quellen=basis_probe16,followup4_probe16,followup5_probe16; reward=0.000000."
dio_0x52:WAIT,dio_0x52,WAIT,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe15,followup4_probe15,followup5_probe15",3,9,no_prior_phase:9,NO_TRADE:9,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_0x52:WAIT: older_trace_without_inner_memory; Zeit=older_recurrent_episode_trace; Innen=-; Quellen=basis_probe15,followup4_probe15,followup5_probe15; reward=0.000000."
dio_10kx:WAIT,dio_10kx,WAIT,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe16,followup4_probe16,followup5_probe16",3,9,no_prior_phase:9,NO_TRADE:9,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_10kx:WAIT: older_trace_without_inner_memory; Zeit=older_recurrent_episode_trace; Innen=-; Quellen=basis_probe16,followup4_probe16,followup5_probe16; reward=0.000000."
dio_14xc:WAIT,dio_14xc,WAIT,fresh_waiting_without_inner_memory,fresh_recurrent_episode_trace,"basis_probe18,followup4_probe18,followup5_probe18",3,9,active_afterimage_contact:9,NO_TRADE:9,0.0,0.0,5.0,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_14xc:WAIT: frisch wartend, ohne innere Reife-Memory; Quellen=basis_probe18,followup4_probe18,followup5_probe18."
dio_173s:WAIT,dio_173s,WAIT,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe15,followup4_probe15,followup5_probe15",3,9,different_contact_afterimage:9,NO_TRADE:9,0.0,0.0,7.0,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_173s:WAIT: older_trace_without_inner_memory; Zeit=older_recurrent_episode_trace; Innen=-; Quellen=basis_probe15,followup4_probe15,followup5_probe15; reward=0.000000."
dio_199c:WAIT,dio_199c,WAIT,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe15,followup4_probe15,followup5_probe15",3,9,no_prior_phase:9,NO_TRADE:9,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_199c:WAIT: older_trace_without_inner_memory; Zeit=older_recurrent_episode_trace; Innen=-; Quellen=basis_probe15,followup4_probe15,followup5_probe15; reward=0.000000."
dio_1f4v:WAIT,dio_1f4v,WAIT,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe16,followup4_probe16,followup5_probe16",3,9,no_prior_phase:9,NO_TRADE:9,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1f4v:WAIT: older_trace_without_inner_memory; Zeit=older_recurrent_episode_trace; Innen=-; Quellen=basis_probe16,followup4_probe16,followup5_probe16; reward=0.000000."
dio_1g7l:WAIT,dio_1g7l,WAIT,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe16,followup4_probe16,followup5_probe16",3,9,no_prior_phase:9,NO_TRADE:9,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1g7l:WAIT: older_trace_without_inner_memory; Zeit=older_recurrent_episode_trace; Innen=-; Quellen=basis_probe16,followup4_probe16,followup5_probe16; reward=0.000000."
dio_1guc:WAIT,dio_1guc,WAIT,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe15,followup4_probe15,followup5_probe15",3,9,no_prior_phase:9,NO_TRADE:9,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1guc:WAIT: older_trace_without_inner_memory; Zeit=older_recurrent_episode_trace; Innen=-; Quellen=basis_probe15,followup4_probe15,followup5_probe15; reward=0.000000."
dio_1jo7:WAIT,dio_1jo7,WAIT,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe16,followup4_probe16,followup5_probe16",3,9,no_prior_phase:9,NO_TRADE:9,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1jo7:WAIT: older_trace_without_inner_memory; Zeit=older_recurrent_episode_trace; Innen=-; Quellen=basis_probe16,followup4_probe16,followup5_probe16; reward=0.000000."
dio_1k0r:WAIT,dio_1k0r,WAIT,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe16,followup4_probe16,followup5_probe16",3,9,no_prior_phase:9,NO_TRADE:9,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1k0r:WAIT: older_trace_without_inner_memory; Zeit=older_recurrent_episode_trace; Innen=-; Quellen=basis_probe16,followup4_probe16,followup5_probe16; reward=0.000000."
dio_1mx2:WAIT,dio_1mx2,WAIT,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe15,followup4_probe15,followup5_probe15",3,9,different_contact_afterimage:9,NO_TRADE:9,0.0,0.0,6.0,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1mx2:WAIT: older_trace_without_inner_memory; Zeit=older_recurrent_episode_trace; Innen=-; Quellen=basis_probe15,followup4_probe15,followup5_probe15; reward=0.000000."
dio_1pfo:WAIT,dio_1pfo,WAIT,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe15,followup4_probe15,followup5_probe15",3,9,different_contact_afterimage:9,NO_TRADE:9,0.0,0.0,5.0,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1pfo:WAIT: older_trace_without_inner_memory; Zeit=older_recurrent_episode_trace; Innen=-; Quellen=basis_probe15,followup4_probe15,followup5_probe15; reward=0.000000."
dio_1q9b:WAIT,dio_1q9b,WAIT,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe16,followup4_probe16,followup5_probe16",3,9,no_prior_phase:9,NO_TRADE:9,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1q9b:WAIT: older_trace_without_inner_memory; Zeit=older_recurrent_episode_trace; Innen=-; Quellen=basis_probe16,followup4_probe16,followup5_probe16; reward=0.000000."
dio_1qig:WAIT,dio_1qig,WAIT,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe16,followup4_probe16,followup5_probe16",3,9,no_prior_phase:9,NO_TRADE:9,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1qig:WAIT: older_trace_without_inner_memory; Zeit=older_recurrent_episode_trace; Innen=-; Quellen=basis_probe16,followup4_probe16,followup5_probe16; reward=0.000000."
dio_1t73:WAIT,dio_1t73,WAIT,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe16,followup4_probe16,followup5_probe16",3,9,no_prior_phase:9,NO_TRADE:9,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1t73:WAIT: older_trace_without_inner_memory; Zeit=older_recurrent_episode_trace; Innen=-; Quellen=basis_probe16,followup4_probe16,followup5_probe16; reward=0.000000."
dio_1vjg:WAIT,dio_1vjg,WAIT,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe16,followup4_probe16,followup5_probe16",3,9,no_prior_phase:9,NO_TRADE:9,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1vjg:WAIT: older_trace_without_inner_memory; Zeit=older_recurrent_episode_trace; Innen=-; Quellen=basis_probe16,followup4_probe16,followup5_probe16; reward=0.000000."
dio_1w4m:WAIT,dio_1w4m,WAIT,older_trace_without_inner_memory,older_recurrent_episode_trace,"basis_probe16,followup4_probe16,followup5_probe16",3,18,no_prior_phase:18,NO_TRADE:18,0.0,0.0,,,,0,,,0.0,0,,,0.0,1,0,0,0,"dio_1w4m:WAIT: older_trace_without_inner_memory; Zeit=older_recurrent_episode_trace; Innen=-; Quellen=basis_probe16,followup4_probe16,followup5_probe16; reward=0.000000."
