run,tick,timestamp_ms,symbol_family,maturation_state,moment_state,binding_state,inner_state,contact_state,action,outcome_event,sight_state,hearing_state,feeling_state,reward,event_reward,maturation_reward_sum,timeline_sentence,passive_only
159,1,1767500300000000,dio_1c6b,maturation_mixed_recurrence,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_koharent_ruhig,0.0,0.0,1.0,dio_1c6b: run=159 tick=1; moment_quiet_observed; Reife=maturation_mixed_recurrence; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
160,2,1767500600000000,dio_1d1z,maturation_mixed_recurrence,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,SHORT,TP,sehen_stabile_form,hoeren_helle_spannung,fuehlen_inkoharent,1.0,1.0,1.0,dio_1d1z: run=160 tick=2; moment_carried; Reife=maturation_mixed_recurrence; Bindung=multisensory_carried_contact; Aktion=SHORT; reward=1.000000.,1
160,7,1767502100000000,dio_0ps1,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,LONG,TP,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_inkoharent,1.0,1.0,1.0,dio_0ps1: run=160 tick=7; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=LONG; reward=1.000000.,1
160,12,1767503600000000,dio_1mym,maturation_quiet_observation,moment_quiet_held,multisensory_quiet_hold,inner_consequence_quiet,held_impulse_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_mittlere_spannung,fuehlen_koharent_gespannt,0.0,0.0,0.0,dio_1mym: run=160 tick=12; moment_quiet_held; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_hold; Aktion=WAIT; reward=0.000000.,1
160,13,1767503900000000,dio_1k7y,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,LONG,TP,sehen_teilform,hoeren_mittlere_spannung,fuehlen_offen,1.0,1.0,3.0,dio_1k7y: run=160 tick=13; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=LONG; reward=1.000000.,1
160,18,1767505400000000,dio_0120,maturation_quiet_observation,moment_quiet_held,multisensory_quiet_hold,inner_consequence_quiet,held_impulse_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_mittlere_spannung,fuehlen_koharent_gespannt,0.0,0.0,0.0,dio_0120: run=160 tick=18; moment_quiet_held; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_hold; Aktion=WAIT; reward=0.000000.,1
161,1,1767500300000000,dio_1c6b,maturation_mixed_recurrence,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,SHORT,TP,sehen_stabile_form,hoeren_mittlere_spannung,fuehlen_koharent_ruhig,1.0,1.0,1.0,dio_1c6b: run=161 tick=1; moment_carried; Reife=maturation_mixed_recurrence; Bindung=multisensory_carried_contact; Aktion=SHORT; reward=1.000000.,1
161,6,1767501800000000,dio_0ofo,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,LONG,TP,sehen_bewegte_form,hoeren_leise,fuehlen_offen,1.0,1.0,1.0,dio_0ofo: run=161 tick=6; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=LONG; reward=1.000000.,1
161,11,1767503300000000,dio_14xc,maturation_quiet_observation,moment_quiet_held,multisensory_quiet_hold,inner_consequence_quiet,held_impulse_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_leise,fuehlen_koharent_gespannt,0.0,0.0,0.0,dio_14xc: run=161 tick=11; moment_quiet_held; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_hold; Aktion=WAIT; reward=0.000000.,1
161,12,1767503600000000,dio_1m4n,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_mittlere_spannung,fuehlen_koharent_gespannt,0.0,0.0,0.0,dio_1m4n: run=161 tick=12; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
161,13,1767503900000000,dio_1k7y,maturation_stable_carried,moment_carried,multisensory_carried_contact,inner_consequence_carried,real_contact_carried,LONG,TP,sehen_teilform,hoeren_mittlere_spannung,fuehlen_offen,1.0,1.0,3.0,dio_1k7y: run=161 tick=13; moment_carried; Reife=maturation_stable_carried; Bindung=multisensory_carried_contact; Aktion=LONG; reward=1.000000.,1
161,18,1767505400000000,dio_01vz,maturation_quiet_observation,moment_quiet_observed,multisensory_quiet_observation,inner_consequence_quiet,observed_without_action,WAIT,NO_TRADE,sehen_geformte_bewegung,hoeren_mittlere_spannung,fuehlen_koharent_gespannt,0.0,0.0,0.0,dio_01vz: run=161 tick=18; moment_quiet_observed; Reife=maturation_quiet_observation; Bindung=multisensory_quiet_observation; Aktion=WAIT; reward=0.000000.,1
