run,tick,symbol_family,inner_state,previous_inner_state,inner_transition,stability_kind,contact_quality,contact_state,action,reward,best_reward_training,passive_only
142,1,dio_1u7v,inner_carried,-,timeline_start,start_state,observed_potential,observed_potential_contact,WAIT,0.0,0.894392,1
142,2,dio_16yc,inner_unknown,inner_carried,inner_carried_to_inner_unknown,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.325504,1
142,3,dio_1g2t,inner_unknown,inner_unknown,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.146451,1
142,4,dio_0fiy,inner_unknown,inner_unknown,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.757407,1
142,5,dio_0ems,inner_unknown,inner_unknown,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,1.304587,1
142,6,dio_0arw,inner_carried,inner_unknown,inner_unknown_to_inner_carried,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,1.384854,1
142,7,dio_0x1o,inner_unknown,inner_carried,inner_carried_to_inner_unknown,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,1.364008,1
142,8,dio_0bmh,inner_unknown,inner_unknown,same_inner_state,stable_state,positive_real_contact,executed_positive_contact,LONG,0.817371,0.817371,1
142,13,dio_00qb,inner_unknown,inner_unknown,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.629146,1
142,14,dio_0t0v,inner_carried,inner_unknown,inner_unknown_to_inner_carried,transition_state,negative_real_contact,executed_negative_contact,SHORT,-1.236659,1.036659,1
143,1,dio_1u7v,inner_carried,-,timeline_start,start_state,observed_potential,observed_potential_contact,WAIT,0.0,0.894392,1
143,2,dio_16yc,inner_unknown,inner_carried,inner_carried_to_inner_unknown,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.325504,1
143,3,dio_1g2t,inner_unknown,inner_unknown,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.146451,1
143,4,dio_0fiy,inner_unknown,inner_unknown,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.757407,1
143,5,dio_0ems,inner_unknown,inner_unknown,same_inner_state,stable_state,positive_real_contact,executed_positive_contact,LONG,1.304587,1.304587,1
143,10,dio_1qwp,inner_unknown,inner_unknown,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.078757,1
143,11,dio_14xc,inner_open_observation,inner_unknown,inner_unknown_to_inner_open_observation,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.094515,1
143,12,dio_1vpi,inner_cautious,inner_open_observation,inner_open_observation_to_inner_cautious,transition_state,negative_real_contact,executed_negative_contact,SHORT,-0.342483,0.142483,1
143,17,dio_02qu,inner_unknown,inner_cautious,inner_cautious_to_inner_unknown,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.36744,1
143,18,dio_0120,inner_unknown,inner_unknown,same_inner_state,stable_state,observed_potential,observed_potential_contact,WAIT,0.0,0.333693,1
144,1,dio_1u7v,inner_carried,-,timeline_start,start_state,positive_real_contact,executed_positive_contact,SHORT,0.894392,0.894392,1
144,6,dio_0arw,inner_carried,inner_carried,same_inner_state,stable_state,positive_real_contact,executed_positive_contact,LONG,1.384854,1.384854,1
144,11,dio_14xc,inner_open_observation,inner_carried,inner_carried_to_inner_open_observation,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.094515,1
144,12,dio_1vpi,inner_cautious,inner_open_observation,inner_open_observation_to_inner_cautious,transition_state,negative_real_contact,executed_negative_contact,SHORT,-0.342483,0.142483,1
144,17,dio_02qu,inner_unknown,inner_cautious,inner_cautious_to_inner_unknown,transition_state,observed_potential,observed_potential_contact,WAIT,0.0,0.36744,1
144,18,dio_0120,inner_unknown,inner_unknown,same_inner_state,stable_state,positive_real_contact,executed_positive_contact,LONG,0.333693,0.333693,1
